Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Albania,eCommerce,Revenue,Total,million USD (US$),Statista,184.4,213.8,248.3,343,416.8,410.8,530.1,614,712.3,773.1,841.7
Albania,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,22.89,26.66,30.98,40.33,49.54,50.91,64.94,75.49,88.58,96.21,105
Albania,eCommerce,Revenue,Beverages,million USD (US$),Statista,4.397,5.529,6.997,11.4,17.57,18.01,22.45,25.44,29.2,32.1,35.12
Albania,eCommerce,Revenue,Electronics,million USD (US$),Statista,70.03,79.76,91.11,120.7,144,137.1,181.1,210.6,242.3,263.1,286.4
Albania,eCommerce,Revenue,Fashion,million USD (US$),Statista,42.37,49.14,56.93,81.71,96.48,98.12,123.9,142.8,166.1,180.1,195.9
Albania,eCommerce,Revenue,Food,million USD (US$),Statista,4.946,6.505,8.712,15.67,23.09,25.44,35.39,45.82,58.84,64.96,72.59
Albania,eCommerce,Revenue,Furniture,million USD (US$),Statista,18.26,20.43,22.9,29.03,34.07,29.78,40.23,45.9,52.54,56.6,61.24
Albania,eCommerce,Revenue,Media,million USD (US$),Statista,2.655,3.076,3.615,5.207,6.131,6.071,7.238,7.744,8.238,8.851,9.411
Albania,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,18.87,22.74,27.02,38.87,45.95,45.41,54.92,60.27,66.43,71.22,76.09
Albania,eCommerce,Revenue Change,Total,percent,Statista,,15.952,16.101,38.138,21.542,-1.435,29.034,15.829,15.997,8.539,8.878
Albania,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,16.461,16.204,30.205,22.834,2.769,27.557,16.24,17.342,8.608,9.13
Albania,eCommerce,Revenue Change,Beverages,percent,Statista,,25.746,26.547,62.912,54.126,2.485,24.684,13.317,14.796,9.927,9.41
Albania,eCommerce,Revenue Change,Electronics,percent,Statista,,13.887,14.232,32.518,19.265,-4.783,32.053,16.31,15.066,8.568,8.859
Albania,eCommerce,Revenue Change,Fashion,percent,Statista,,15.981,15.859,43.52,18.075,1.695,26.277,15.248,16.346,8.396,8.781
Albania,eCommerce,Revenue Change,Food,percent,Statista,,31.52,33.926,79.857,47.372,10.169,39.119,29.471,28.408,10.409,11.74
Albania,eCommerce,Revenue Change,Furniture,percent,Statista,,11.908,12.058,26.76,17.376,-12.597,35.102,14.099,14.461,7.72,8.21
Albania,eCommerce,Revenue Change,Media,percent,Statista,,15.843,17.523,44.061,17.744,-0.978,19.217,6.984,6.387,7.44,6.321
Albania,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,20.505,18.861,43.827,18.218,-1.167,20.943,9.732,10.217,7.211,6.848
Albania,eCommerce,Average Revenue per User,Total,USD (US$),Statista,226.5,238.4,243,326,380.9,373,467,535,614,659,711.7
Albania,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,77.39,79.89,82.19,94.78,105.1,98.18,116,127,141.1,144.5,149.6
Albania,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,24.06,28.13,32.56,47.98,67.62,63.85,74.2,79.69,86.97,90.44,94.07
Albania,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,154.1,156.4,157.7,184,196.5,169.7,207.3,227.4,247.7,253.3,261.5
Albania,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,95.67,98.03,100.7,128.7,136.2,125.8,147.2,159.8,175.8,179.7,185.4
Albania,eCommerce,Average Revenue per User,Food,USD (US$),Statista,28.78,35.19,43.11,70.13,94.52,95.94,124.4,152.7,186.3,194.6,206.8
Albania,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,91.05,89.76,87.96,97.44,100.4,78.45,97.22,103.8,111.7,112.2,114.1
Albania,eCommerce,Average Revenue per User,Media,USD (US$),Statista,8.41,8.667,8.978,11.38,12,10.81,11.92,11.99,12.04,12.17,12.26
Albania,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,53.92,57.36,59.78,75.59,79.02,69.97,77.42,79.65,82.65,82.77,83.22
Albania,eCommerce,Online & Offline Split,Offline,percent,Statista,96.433,95.98,95.457,93.564,92.435,91.878,91.092,90.03,88.754,,
Albania,eCommerce,Online & Offline Split,Online,percent,Statista,3.567,4.02,4.543,6.436,7.565,8.122,8.908,9.97,11.246,,
Albania,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,71.646,66.667,64.183,63.007,62.46,61.791,61.294,60.833,60.442,,
Albania,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,28.354,33.333,35.817,36.993,37.54,38.209,38.706,39.167,39.558,,
Albania,eCommerce,Users,Total,million users,Statista,0.814,0.897,1.022,1.052,1.094,1.101,1.135,1.148,1.16,1.173,1.183
Albania,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,0.296,0.334,0.377,0.426,0.472,0.519,0.56,0.594,0.628,0.666,0.702
Albania,eCommerce,Users,Beverages,million users,Statista,0.183,0.197,0.215,0.238,0.26,0.282,0.303,0.319,0.336,0.355,0.373
Albania,eCommerce,Users,Electronics,million users,Statista,0.455,0.51,0.578,0.656,0.733,0.808,0.873,0.926,0.978,1.039,1.095
Albania,eCommerce,Users,Fashion,million users,Statista,0.443,0.501,0.565,0.635,0.708,0.78,0.842,0.893,0.945,1.002,1.057
Albania,eCommerce,Users,Food,million users,Statista,0.172,0.185,0.202,0.223,0.244,0.265,0.284,0.3,0.316,0.334,0.351
Albania,eCommerce,Users,Furniture,million users,Statista,0.201,0.228,0.26,0.298,0.339,0.38,0.414,0.442,0.47,0.504,0.537
Albania,eCommerce,Users,Media,million users,Statista,0.316,0.355,0.403,0.457,0.511,0.562,0.607,0.646,0.684,0.727,0.768
Albania,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,0.35,0.396,0.452,0.514,0.581,0.649,0.709,0.757,0.804,0.86,0.914
Albania,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,10.254,11.574,13.082,14.787,16.414,18.091,19.586,20.859,22.108,23.522,24.873
Albania,eCommerce,Penetration Rate,Beverages,percent,Statista,6.337,6.819,7.46,8.256,9.043,9.838,10.584,11.202,11.822,12.539,13.237
Albania,eCommerce,Penetration Rate,eCommerce,percent,Statista,28.236,31.116,35.467,36.558,38.092,38.425,39.716,40.276,40.843,41.439,41.928
Albania,eCommerce,Penetration Rate,Electronics,percent,Statista,15.762,17.69,20.052,22.797,25.511,28.195,30.557,32.499,34.44,36.687,38.823
Albania,eCommerce,Penetration Rate,Fashion,percent,Statista,15.355,17.389,19.629,22.058,24.649,27.201,29.444,31.352,33.261,35.409,37.465
Albania,eCommerce,Penetration Rate,Food,percent,Statista,5.958,6.411,7.014,7.763,8.503,9.251,9.952,10.533,11.116,11.79,12.445
Albania,eCommerce,Penetration Rate,Furniture,percent,Statista,6.953,7.898,9.036,10.351,11.807,13.242,14.478,15.52,16.564,17.816,19.023
