Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
United Arab Emirates,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,11.157,,,,,,
United Arab Emirates,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,41.658,,,,,,
United Arab Emirates,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,29.376,,,,,,
United Arab Emirates,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,14.841,,,,,,
United Arab Emirates,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,2.968,,,,,,
United Arab Emirates,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,31.32,,,,,,
United Arab Emirates,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,68.68,,,,,,
United Arab Emirates,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,36.452,,,,,,
United Arab Emirates,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,31.227,,,,,,
United Arab Emirates,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.321,,,,,,
United Arab Emirates,eCommerce,Revenue,Total,billion USD (US$),Statista,3.646,4.52,5.57,7.88,11.49,11.58,13.78,15.23,16.86,18.35,19.83
United Arab Emirates,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.304,0.412,0.551,0.781,1.123,1.161,1.356,1.503,1.67,1.82,1.968
United Arab Emirates,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.013,0.016,0.021,0.035,0.063,0.071,0.092,0.114,0.142,0.156,0.173
United Arab Emirates,eCommerce,Revenue,Electronics,billion USD (US$),Statista,1.294,1.407,1.526,1.833,2.108,1.943,2.406,2.649,2.91,3.108,3.321
United Arab Emirates,eCommerce,Revenue,Fashion,billion USD (US$),Statista,1.091,1.427,1.831,2.716,4.418,4.572,5.328,5.87,6.457,7.098,7.71
United Arab Emirates,eCommerce,Revenue,Food,billion USD (US$),Statista,0.054,0.069,0.09,0.141,0.25,0.324,0.473,0.654,0.908,1,1.127
United Arab Emirates,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.3,0.423,0.582,0.859,1.308,1.149,1.417,1.523,1.63,1.755,1.866
United Arab Emirates,eCommerce,Revenue,Media,billion USD (US$),Statista,0.164,0.206,0.251,0.404,0.576,0.633,0.71,0.745,0.78,0.842,0.893
United Arab Emirates,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.425,0.559,0.719,1.11,1.644,1.732,1.997,2.17,2.362,2.576,2.775
United Arab Emirates,eCommerce,Revenue Change,Total,percent,Statista,,23.971,23.23,41.472,45.812,0.783,18.998,10.522,10.703,8.837,8.065
United Arab Emirates,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,35.369,33.673,41.797,43.735,3.384,16.796,10.841,11.111,8.982,8.132
United Arab Emirates,eCommerce,Revenue Change,Beverages,percent,Statista,,27.981,29.476,64.911,79.15,13.581,29.226,23.549,24.671,10.141,10.934
United Arab Emirates,eCommerce,Revenue Change,Electronics,percent,Statista,,8.733,8.458,20.118,15.003,-7.827,23.829,10.1,9.853,6.804,6.853
United Arab Emirates,eCommerce,Revenue Change,Fashion,percent,Statista,,30.797,28.311,48.334,62.666,3.486,16.535,10.173,10,9.927,8.622
United Arab Emirates,eCommerce,Revenue Change,Food,percent,Statista,,28.049,29.644,56.736,77.234,29.492,46.044,38.468,38.768,10.12,12.7
United Arab Emirates,eCommerce,Revenue Change,Furniture,percent,Statista,,40.666,37.592,47.61,52.359,-12.156,23.325,7.481,7.026,7.669,6.325
United Arab Emirates,eCommerce,Revenue Change,Media,percent,Statista,,25.365,21.64,61.308,42.507,9.856,12.115,4.945,4.699,7.924,6.047
United Arab Emirates,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,31.343,28.625,54.489,48.108,5.353,15.3,8.663,8.848,9.06,7.725
United Arab Emirates,eCommerce,Average Revenue per User,Total,USD (US$),Statista,711.8,781.9,877.1,"1,175","1,658","1,654","1,938","2,186","2,470","2,663","2,873"
United Arab Emirates,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,135.8,161.9,204.5,265.2,348.4,336.7,373.5,397.6,425.2,446,466.4
United Arab Emirates,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,10.44,11.82,14.17,21.32,34.9,36.7,44.52,52.32,62.19,65.26,69.35
United Arab Emirates,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,392.9,370.3,371.4,403.6,420,355.5,411.6,430.4,449.9,456.9,466.9
United Arab Emirates,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,336.6,381.4,455.1,618.1,920.4,880.6,963.3,"1,010","1,059","1,112","1,159"
United Arab Emirates,eCommerce,Average Revenue per User,Food,USD (US$),Statista,46.89,53.13,63.79,91.17,147.7,177,242.7,319.7,422.9,443.9,479.1
United Arab Emirates,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,210.7,251.7,314.5,416.3,566.5,453,519.9,523.7,526.9,535,539.5
United Arab Emirates,eCommerce,Average Revenue per User,Media,USD (US$),Statista,70.61,76.74,86.61,127.7,167.2,171.7,181.9,182.4,182.6,189.5,194
United Arab Emirates,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,168.6,190.1,223.8,311.8,416.1,399,426.2,436.5,448.8,462.1,472.6
