Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Argentina,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,19.018,,,,,,
Argentina,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,28.945,,,,,,
Argentina,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.601,,,,,,
Argentina,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,16.614,,,,,,
Argentina,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,9.82,,,,,,
Argentina,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.575,,,,,,
Argentina,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.425,,,,,,
Argentina,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.07,,,,,,
Argentina,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.147,,,,,,
Argentina,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.783,,,,,,
Argentina,eCommerce,Revenue,Total,billion USD (US$),Statista,3.104,4.096,5.224,7.104,9.344,9.185,12.59,15.32,18.75,20.44,22.49
Argentina,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.202,0.272,0.362,0.505,0.683,0.716,0.931,1.132,1.384,1.518,1.678
Argentina,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.054,0.07,0.092,0.153,0.222,0.224,0.28,0.327,0.384,0.423,0.465
Argentina,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.549,0.794,1.09,1.585,2.222,2.065,2.859,3.374,3.972,4.369,4.808
Argentina,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.691,0.843,0.984,1.337,1.693,1.94,2.767,3.694,4.959,5.399,6.016
Argentina,eCommerce,Revenue,Food,billion USD (US$),Statista,0.069,0.089,0.118,0.209,0.319,0.285,0.316,0.325,0.334,0.35,0.361
Argentina,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.98,1.303,1.668,2.057,2.565,2.342,3.462,4.197,5.077,5.535,6.085
Argentina,eCommerce,Revenue,Media,billion USD (US$),Statista,0.075,0.091,0.109,0.145,0.175,0.168,0.196,0.207,0.217,0.229,0.239
Argentina,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.484,0.634,0.802,1.112,1.464,1.445,1.782,2.066,2.426,2.617,2.837
Argentina,eCommerce,Revenue Change,Total,percent,Statista,,31.959,27.539,35.988,31.532,-1.702,37.071,21.684,22.389,9.013,10.029
Argentina,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,35.186,32.966,39.564,35.213,4.696,30.045,21.642,22.261,9.682,10.54
Argentina,eCommerce,Revenue Change,Beverages,percent,Statista,,28.651,31.812,66.558,45.294,0.675,24.933,16.81,17.544,10.081,10.009
Argentina,eCommerce,Revenue Change,Electronics,percent,Statista,,44.659,37.349,45.413,40.189,-7.066,38.45,18.013,17.724,9.995,10.048
Argentina,eCommerce,Revenue Change,Fashion,percent,Statista,,21.918,16.708,35.943,26.627,14.589,42.629,33.502,34.245,8.873,11.428
Argentina,eCommerce,Revenue Change,Food,percent,Statista,,28.947,31.938,77.693,52.076,-10.452,10.62,2.883,2.833,4.702,3.289
Argentina,eCommerce,Revenue Change,Furniture,percent,Statista,,32.959,28.012,23.321,24.696,-8.694,47.822,21.231,20.967,9.021,9.937
