Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Australia,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,15.795,,,,,,
Australia,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,26.641,,,,,,
Australia,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,24.027,,,,,,
Australia,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,19.744,,,,,,
Australia,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,13.793,,,,,,
Australia,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,51.39,,,,,,
Australia,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,48.61,,,,,,
Australia,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.128,,,,,,
Australia,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.042,,,,,,
Australia,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.83,,,,,,
Australia,eCommerce,Revenue,Total,billion USD (US$),Statista,19.25,21.02,23.16,31.08,40.94,39.57,50.21,57.55,65.82,70.86,76.5
Australia,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,2.204,2.46,2.771,3.438,4.453,4.408,5.381,6.1,6.9,7.467,8.083
Australia,eCommerce,Revenue,Beverages,billion USD (US$),Statista,1.282,1.431,1.609,2.135,2.594,2.755,3.605,4.376,5.296,5.728,6.26
Australia,eCommerce,Revenue,Electronics,billion USD (US$),Statista,4.015,4.238,4.558,5.992,7.372,6.231,8.168,8.95,9.781,10.4,11.06
Australia,eCommerce,Revenue,Fashion,billion USD (US$),Statista,5.192,5.663,6.253,7.68,9.602,9.802,12.3,14.29,16.49,17.66,19.02
Australia,eCommerce,Revenue,Food,billion USD (US$),Statista,0.98,1.089,1.214,2.228,3.655,3.814,4.883,5.776,6.779,7.441,8.165
Australia,eCommerce,Revenue,Furniture,billion USD (US$),Statista,2.018,2.239,2.502,3.101,3.517,3.302,4.998,6.173,7.571,8.202,9.007
Australia,eCommerce,Revenue,Media,billion USD (US$),Statista,0.57,0.597,0.625,0.749,0.818,0.741,0.823,0.846,0.864,0.884,0.901
Australia,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,2.991,3.308,3.626,5.755,8.929,8.516,10.04,11.04,12.14,13.08,14
Australia,eCommerce,Revenue Change,Total,percent,Statista,,9.195,10.181,34.197,31.725,-3.346,26.889,14.619,14.37,7.657,7.959
Australia,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,11.615,12.642,24.071,29.523,-1.011,22.074,13.362,13.115,8.217,8.25
Australia,eCommerce,Revenue Change,Beverages,percent,Statista,,11.622,12.439,32.691,21.499,6.207,30.853,21.387,21.024,8.157,9.288
Australia,eCommerce,Revenue Change,Electronics,percent,Statista,,5.554,7.551,31.461,23.031,-15.477,31.087,9.574,9.285,6.329,6.346
Australia,eCommerce,Revenue Change,Fashion,percent,Statista,,9.072,10.419,22.821,25.026,2.083,25.485,16.179,15.395,7.095,7.701
