Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Austria,Personal Care,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.085,,,,,,
Austria,Personal Care,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,25.352,,,,,,
Austria,Personal Care,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,20.322,,,,,,
Austria,Personal Care,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.139,,,,,,
Austria,Personal Care,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.103,,,,,,
Austria,Personal Care,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,63.179,,,,,,
Austria,Personal Care,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,36.821,,,,,,
Austria,Personal Care,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,32.292,,,,,,
Austria,Personal Care,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.906,,,,,,
Austria,Personal Care,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,38.802,,,,,,
Austria,Personal Care,Revenue,Total,million USD (US$),Statista,433,441.4,504.5,585.2,693.3,707.8,917.4,"1,092","1,298","1,399","1,524"
Austria,Personal Care,Revenue,Body Care,million USD (US$),Statista,61.9,64,73.44,86.55,99.24,101.9,132.8,158.9,190,204.8,223.3
Austria,Personal Care,Revenue,Eye Care,million USD (US$),Statista,41.29,43.35,46.44,56.77,65.2,64.21,80.28,92.13,105.6,113.3,122.3
Austria,Personal Care,Revenue,Hair Care,million USD (US$),Statista,67.88,69.19,79.83,93.8,93.8,95.51,123.5,146.5,173.7,185.7,201.2
Austria,Personal Care,Revenue,Oral Care,million USD (US$),Statista,40.95,41.05,47.78,53.05,63.62,65.17,84.74,101.2,120.6,130,141.6
Austria,Personal Care,Revenue,Other Personal Care,million USD (US$),Statista,144.3,147.1,168.2,195.1,231.1,235.9,305.8,363.9,432.6,466.4,508.1
Austria,Personal Care,Revenue,Skin Care,million USD (US$),Statista,76.66,76.67,88.84,99.96,140.3,145.1,190.3,229.1,275.4,299,327.8
Austria,Personal Care,Revenue Change,Total,percent,Statista,,1.94,14.295,15.996,18.472,2.091,29.613,19.032,18.864,7.781,8.935
Austria,Personal Care,Revenue Change,Body Care,percent,Statista,,3.393,14.75,17.851,14.662,2.68,30.324,19.654,19.572,7.789,9.033
Austria,Personal Care,Revenue Change,Eye Care,percent,Statista,,4.989,7.128,22.244,14.849,-1.518,25.027,14.761,14.621,7.292,7.944
Austria,Personal Care,Revenue Change,Hair Care,percent,Statista,,1.93,15.378,17.5,0,1.823,29.306,18.623,18.567,6.908,8.347
Austria,Personal Care,Revenue Change,Oral Care,percent,Statista,,0.244,16.395,11.03,19.925,2.436,30.029,19.424,19.17,7.794,8.923
Austria,Personal Care,Revenue Change,Other Personal Care,percent,Statista,,1.94,14.344,15.993,18.452,2.077,29.631,18.999,18.879,7.813,8.941
Austria,Personal Care,Revenue Change,Skin Care,percent,Statista,,0.013,15.873,12.517,40.356,3.421,31.151,20.389,20.21,8.569,9.632
Austria,Personal Care,Average Revenue per User,Total,USD (US$),Statista,297.7,279.6,292.9,312.7,341.2,328.6,407.6,467.3,537.2,559,590.7
