Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bangladesh,eCommerce,Revenue,Total,billion USD (US$),Statista,1.64,2.39,3.172,5.164,6.587,7.281,9.602,11.8,14.49,15.88,17.54
Bangladesh,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.389,0.55,0.708,1.023,1.23,1.354,1.718,2.046,2.441,2.677,2.948
Bangladesh,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.009,0.013,0.019,0.033,0.048,0.06,0.084,0.118,0.164,0.18,0.203
Bangladesh,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.64,0.909,1.177,1.849,2.209,2.325,3.16,3.874,4.698,5.118,5.615
Bangladesh,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.327,0.512,0.71,1.221,1.632,1.809,2.296,2.77,3.341,3.662,4.029
Bangladesh,eCommerce,Revenue,Food,billion USD (US$),Statista,0.118,0.182,0.256,0.546,0.819,1.015,1.426,1.904,2.554,2.823,3.173
Bangladesh,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.037,0.051,0.066,0.099,0.127,0.126,0.176,0.215,0.262,0.288,0.318
Bangladesh,eCommerce,Revenue,Media,billion USD (US$),Statista,0.027,0.043,0.063,0.106,0.143,0.165,0.203,0.225,0.246,0.275,0.301
Bangladesh,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.092,0.13,0.174,0.285,0.38,0.427,0.538,0.65,0.781,0.86,0.949
Bangladesh,eCommerce,Revenue Change,Total,percent,Statista,,45.732,32.72,62.799,27.556,10.536,31.877,22.891,22.797,9.593,10.453
Bangladesh,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,41.14,28.748,44.573,20.235,10.081,26.883,19.092,19.306,9.668,10.123
Bangladesh,eCommerce,Revenue Change,Beverages,percent,Statista,,52.658,41.901,78.242,43.055,25.389,41.133,40.261,38.696,10.012,12.597
Bangladesh,eCommerce,Revenue Change,Electronics,percent,Statista,,42.029,29.526,57.094,19.47,5.251,35.914,22.595,21.27,8.94,9.711
Bangladesh,eCommerce,Revenue Change,Fashion,percent,Statista,,56.401,38.738,71.923,33.661,10.846,26.921,20.645,20.614,9.608,10.022
Bangladesh,eCommerce,Revenue Change,Food,percent,Statista,,54.315,40.351,113.32,50.027,23.886,40.493,33.52,34.139,10.532,12.398
Bangladesh,eCommerce,Revenue Change,Furniture,percent,Statista,,36.723,29.163,50.34,27.563,-0.473,39.667,21.995,21.561,9.977,10.636
Bangladesh,eCommerce,Revenue Change,Media,percent,Statista,,59.573,45.108,68.23,35.539,14.714,23.526,10.925,9.051,11.717,9.76
Bangladesh,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,41.199,33.333,64.055,33.392,12.372,26.001,20.84,20.169,10.05,10.365
Bangladesh,eCommerce,Average Revenue per User,Total,USD (US$),Statista,87.88,94.26,91.68,121.7,130,124,146.4,167.4,191.9,196,203.7
Bangladesh,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,44.58,46.84,47.31,54.94,55.6,53.4,60.53,66.08,72.71,73.75,75.77
Bangladesh,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,2.044,2.223,2.32,3.198,3.631,3.722,4.476,5.564,6.919,6.895,7.101
Bangladesh,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,52.14,53.81,52.48,64.4,62.23,54.9,64.62,71.11,78.18,77.41,77.96
Bangladesh,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,24.47,28.99,31.67,43.96,48.65,45.75,50.87,55.28,60.6,60.66,61.5
Bangladesh,eCommerce,Average Revenue per User,Food,USD (US$),Statista,29.84,32.81,33.85,55.85,66.49,67.36,80.64,95.39,114.7,114.9,118.1
Bangladesh,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,8.434,7.761,6.928,7.63,7.307,5.68,6.486,6.839,7.306,7.229,7.257
Bangladesh,eCommerce,Average Revenue per User,Media,USD (US$),Statista,3.747,4.034,4.192,5.284,5.501,5.053,5.19,5.026,4.856,4.893,4.889
Bangladesh,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,11.06,10.81,10.27,12.65,12.97,11.61,12.25,13,13.89,13.8,13.87
Bangladesh,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Bangladesh,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Bangladesh,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Bangladesh,eCommerce,Online & Offline Split,Offline,percent,Statista,98.635,98.162,97.701,96.695,95.925,95.298,94.561,93.658,92.605,,
Bangladesh,eCommerce,Online & Offline Split,Online,percent,Statista,1.365,1.838,2.299,3.305,4.075,4.702,5.439,6.342,7.395,,
Bangladesh,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,65.721,63.863,63.154,62.512,62.737,62.353,61.923,61.38,60.815,,
Bangladesh,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,34.279,36.137,36.846,37.488,37.263,37.647,38.077,38.62,39.185,,
Bangladesh,eCommerce,Users,Total,million users,Statista,18.665,25.359,34.596,42.43,50.674,58.732,65.571,70.485,75.475,81.046,86.079
Bangladesh,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,8.734,11.732,14.955,18.627,22.117,25.361,28.375,30.965,33.567,36.305,38.903
Bangladesh,eCommerce,Users,Beverages,million users,Statista,4.214,5.912,8.042,10.4,13.104,16.029,18.812,21.223,23.673,26.132,28.576
Bangladesh,eCommerce,Users,Electronics,million users,Statista,12.269,16.887,22.421,28.716,35.494,42.349,48.904,54.477,60.087,66.121,72.022
Bangladesh,eCommerce,Users,Fashion,million users,Statista,13.376,17.657,22.422,27.785,33.533,39.533,45.141,50.104,55.133,60.367,65.522
Bangladesh,eCommerce,Users,Food,million users,Statista,3.962,5.559,7.562,9.779,12.322,15.072,17.689,19.956,22.26,24.572,26.87
Bangladesh,eCommerce,Users,Furniture,million users,Statista,4.443,6.601,9.55,13.039,17.369,22.228,27.201,31.47,35.81,39.802,43.861
Bangladesh,eCommerce,Users,Media,million users,Statista,7.25,10.744,15.002,20.024,26.072,32.554,39.158,44.842,50.619,56.111,61.646
Bangladesh,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,8.34,12.048,16.896,22.508,29.294,36.769,43.897,50.014,56.222,62.313,68.404
Bangladesh,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,5.47,7.27,9.172,11.31,13.299,15.106,16.747,18.115,19.471,20.887,22.207
Bangladesh,eCommerce,Penetration Rate,Beverages,percent,Statista,2.639,3.664,4.933,6.315,7.879,9.548,11.103,12.416,13.732,15.035,16.312
Bangladesh,eCommerce,Penetration Rate,eCommerce,percent,Statista,11.688,15.714,21.219,25.764,30.471,34.983,38.701,41.234,43.779,46.628,49.137
Bangladesh,eCommerce,Penetration Rate,Electronics,percent,Statista,7.684,10.464,13.751,17.437,21.343,25.225,28.863,31.87,34.854,38.041,41.113
Bangladesh,eCommerce,Penetration Rate,Fashion,percent,Statista,8.376,10.941,13.752,16.871,20.164,23.548,26.643,29.312,31.98,34.731,37.403
Bangladesh,eCommerce,Penetration Rate,Food,percent,Statista,2.481,3.445,4.638,5.938,7.409,8.978,10.44,11.674,12.912,14.137,15.339
Bangladesh,eCommerce,Penetration Rate,Furniture,percent,Statista,2.782,4.091,5.857,7.917,10.444,13.24,16.054,18.41,20.771,22.899,25.037
Bangladesh,eCommerce,Penetration Rate,Media,percent,Statista,4.54,6.657,9.201,12.159,15.677,19.391,23.111,26.233,29.362,32.282,35.19
Bangladesh,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,5.223,7.466,10.363,13.667,17.615,21.902,25.909,29.259,32.612,35.85,39.048
Bangladesh,Electronics,Revenue,Total,billion USD (US$),Statista,0.64,0.909,1.177,1.849,2.209,2.325,3.16,3.874,4.698,5.118,5.615
Bangladesh,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,0.489,0.695,0.89,1.414,1.665,1.652,2.258,2.724,3.245,3.527,3.851
Bangladesh,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,0.151,0.214,0.286,0.435,0.543,0.673,0.903,1.15,1.452,1.592,1.764
Bangladesh,Electronics,Revenue Change,Total,percent,Statista,,42.029,29.526,57.094,19.47,5.251,35.914,22.595,21.27,8.94,9.711
Bangladesh,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,42.182,28.185,58.787,17.751,-0.781,36.683,20.638,19.126,8.69,9.186
Bangladesh,Electronics,Revenue Change,Household Appliances,percent,Statista,,41.534,33.785,52.008,24.885,23.919,34.031,27.396,26.261,9.642,10.804
Bangladesh,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,52.14,53.81,52.48,64.4,62.23,54.9,64.62,71.11,78.18,77.41,77.96
Bangladesh,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,37.44,40.76,41.71,54.12,54.25,47.21,58.12,64.53,71.13,71.75,73.35
Bangladesh,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,22.39,21.27,19.58,21.65,20.18,19.46,21.19,23.26,25.75,25.38,25.51
Bangladesh,Electronics,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Bangladesh,Electronics,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Bangladesh,Electronics,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Bangladesh,Electronics,Online & Offline Split,Offline,percent,Statista,95.081,93.388,91.894,88.844,86.947,84.454,82.224,79.6,76.799,,
Bangladesh,Electronics,Online & Offline Split,Online,percent,Statista,4.919,6.612,8.106,11.156,13.053,15.546,17.776,20.4,23.201,,
Bangladesh,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,55.83,54.125,53.01,52.424,52.135,51.978,51.904,51.862,51.837,,
