Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Belgium,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.998,,,,,,
Belgium,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,22.269,,,,,,
Belgium,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.694,,,,,,
Belgium,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.33,,,,,,
Belgium,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.709,,,,,,
Belgium,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,49.417,,,,,,
Belgium,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,50.583,,,,,,
Belgium,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,34.353,,,,,,
Belgium,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,34.91,,,,,,
Belgium,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,30.737,,,,,,
Belgium,eCommerce,Revenue,Total,billion USD (US$),Statista,6.507,6.886,7.333,9.152,10.06,9.581,12.46,14.38,16.55,17.71,19.1
Belgium,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.736,0.773,0.818,0.922,0.991,1.026,1.35,1.633,1.977,2.117,2.303
Belgium,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.061,0.069,0.077,0.103,0.117,0.114,0.142,0.162,0.186,0.199,0.214
Belgium,eCommerce,Revenue,Electronics,billion USD (US$),Statista,1.957,2.065,2.184,2.738,2.983,2.645,3.554,4.027,4.544,4.852,5.21
Belgium,eCommerce,Revenue,Fashion,billion USD (US$),Statista,2.278,2.403,2.558,3.249,3.582,3.577,4.524,5.239,6.048,6.488,7.008
Belgium,eCommerce,Revenue,Food,billion USD (US$),Statista,0.087,0.097,0.108,0.166,0.194,0.186,0.226,0.252,0.28,0.302,0.326
Belgium,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.554,0.602,0.659,0.756,0.839,0.764,1.155,1.407,1.704,1.837,2.009
Belgium,eCommerce,Revenue,Media,billion USD (US$),Statista,0.198,0.198,0.198,0.246,0.258,0.22,0.234,0.232,0.232,0.233,0.234
Belgium,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.637,0.679,0.732,0.972,1.091,1.05,1.277,1.423,1.583,1.683,1.795
Belgium,eCommerce,Revenue Change,Total,percent,Statista,,5.823,6.497,24.808,9.875,-4.718,30.06,15.355,15.155,6.999,7.82
Belgium,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,5.084,5.814,12.694,7.561,3.488,31.566,20.964,21.079,7.067,8.791
Belgium,eCommerce,Revenue Change,Beverages,percent,Statista,,12.58,11.385,33.605,13.896,-2.536,24.094,14.303,14.652,7.093,7.663
Belgium,eCommerce,Revenue Change,Electronics,percent,Statista,,5.511,5.798,25.367,8.931,-11.34,34.391,13.296,12.844,6.79,7.366
Belgium,eCommerce,Revenue Change,Fashion,percent,Statista,,5.529,6.428,27.032,10.242,-0.149,26.475,15.821,15.433,7.28,8.013
Belgium,eCommerce,Revenue Change,Food,percent,Statista,,12.297,11.002,53.816,16.985,-4.067,21.511,11.31,11.017,8.086,7.759
Belgium,eCommerce,Revenue Change,Furniture,percent,Statista,,8.547,9.459,14.769,10.947,-8.928,51.151,21.852,21.097,7.812,9.324
Belgium,eCommerce,Revenue Change,Media,percent,Statista,,-0,-0.001,24.466,4.848,-14.739,6.426,-0.76,0.058,0.352,0.193
Belgium,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,6.593,7.764,32.835,12.297,-3.818,21.655,11.416,11.256,6.337,6.611
Belgium,eCommerce,Average Revenue per User,Total,USD (US$),Statista,992.2,"1,000","1,015","1,219","1,298","1,209","1,569","1,737","1,921","2,018","2,131"
