Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Bolivia,eCommerce,Revenue,Total,million USD (US$),Statista,735.9,864,"1,011","1,397","1,750","1,794","2,291","2,714","3,221","3,508","3,843"
Bolivia,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,99,115.7,133.5,162.9,195.4,208,258.8,302.8,351.4,381.3,415.3
Bolivia,eCommerce,Revenue,Beverages,million USD (US$),Statista,20.79,26.31,32.76,51.22,73.37,82.43,102.1,121.7,146.8,161.2,177.7
Bolivia,eCommerce,Revenue,Electronics,million USD (US$),Statista,367.4,424.2,486.1,659,773.4,750.8,975.5,"1,145","1,338","1,452","1,583"
Bolivia,eCommerce,Revenue,Fashion,million USD (US$),Statista,119.1,140.2,165,229.1,302.3,309.3,372.3,430.2,501,544,592.4
Bolivia,eCommerce,Revenue,Food,million USD (US$),Statista,43.7,54.7,68.28,122,181.7,214.1,288.5,373.3,487.5,537,600.4
Bolivia,eCommerce,Revenue,Furniture,million USD (US$),Statista,47.27,55.26,66.4,84.3,107.1,103.4,140.6,166.8,197.3,215,235.6
Bolivia,eCommerce,Revenue,Media,million USD (US$),Statista,4.476,7.012,9.739,15.62,20.13,22.06,26.37,28.93,31.28,34.3,37.04
Bolivia,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,34.14,40.6,49.49,72.46,96.16,103.9,127,145.7,167.8,183.9,201.2
Bolivia,eCommerce,Revenue Change,Total,percent,Statista,,17.407,17.014,38.18,25.268,2.514,27.703,18.464,18.681,8.91,9.55
Bolivia,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,16.869,15.385,22.022,19.951,6.448,24.423,17.002,16.05,8.509,8.917
Bolivia,eCommerce,Revenue Change,Beverages,percent,Statista,,26.551,24.515,56.349,43.245,12.348,23.863,19.197,20.624,9.809,10.236
Bolivia,eCommerce,Revenue Change,Electronics,percent,Statista,,15.46,14.592,35.569,17.36,-2.922,29.928,17.376,16.856,8.52,9.022
Bolivia,eCommerce,Revenue Change,Fashion,percent,Statista,,17.716,17.689,38.848,31.951,2.316,20.369,15.552,16.457,8.583,8.897
Bolivia,eCommerce,Revenue Change,Food,percent,Statista,,25.172,24.826,78.676,48.934,17.832,34.75,29.393,30.592,10.154,11.806
Bolivia,eCommerce,Revenue Change,Furniture,percent,Statista,,16.903,20.159,26.958,27.046,-3.455,35.977,18.634,18.285,8.971,9.581
Bolivia,eCommerce,Revenue Change,Media,percent,Statista,,56.658,38.89,60.386,28.873,9.588,19.538,9.708,8.123,9.655,7.988
Bolivia,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,18.922,21.897,46.413,32.708,8.049,22.233,14.724,15.168,9.595,9.407
Bolivia,eCommerce,Average Revenue per User,Total,USD (US$),Statista,423.2,409.6,383,459.5,504,460.6,538.4,599.2,669.5,687.3,715.2
Bolivia,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,133.1,131.6,131.3,137.7,145.3,137.7,155.1,166.9,179.3,180.6,183.7
Bolivia,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,58.84,59.73,60.18,77.53,92.12,87.28,93.96,100.2,109,109.5,111.2
Bolivia,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,356.9,336.8,319.8,361.3,359,301.6,346.9,369.1,394,393.2,397.2
Bolivia,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,106.3,106.6,108.6,129.8,148.6,133.3,143.5,151.1,161.4,162.3,164.5
Bolivia,eCommerce,Average Revenue per User,Food,USD (US$),Statista,131.5,132.1,133.4,196.4,242.6,241,282.4,326.7,384.9,388,399.7
Bolivia,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,124.8,111.3,102.2,101.8,102,79.58,90.56,93.87,98.36,97.24,97.3
Bolivia,eCommerce,Average Revenue per User,Media,USD (US$),Statista,7.232,8.646,9.531,12.28,12.77,11.6,11.79,11.4,10.99,10.97,10.86
Bolivia,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,48.87,45.22,43.24,50.68,54.03,48.01,50.08,50.85,52.38,52.24,52.38
Bolivia,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Bolivia,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Bolivia,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Bolivia,eCommerce,Online & Offline Split,Offline,percent,Statista,95.923,95.464,94.903,93.356,91.997,91.397,90.523,89.398,88.09,,
Bolivia,eCommerce,Online & Offline Split,Online,percent,Statista,4.077,4.536,5.097,6.644,8.003,8.603,9.477,10.602,11.91,,
Bolivia,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,63.237,61.586,60.767,60.013,59.509,59.072,58.696,58.337,58.029,,
Bolivia,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,36.763,38.414,39.233,39.987,40.491,40.928,41.304,41.663,41.971,,
Bolivia,eCommerce,Users,Total,million users,Statista,1.739,2.109,2.64,3.04,3.471,3.895,4.255,4.53,4.81,5.105,5.373
Bolivia,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,0.744,0.879,1.016,1.183,1.344,1.511,1.668,1.814,1.96,2.111,2.261
Bolivia,eCommerce,Users,Beverages,million users,Statista,0.353,0.44,0.544,0.661,0.797,0.944,1.086,1.215,1.347,1.472,1.598
Bolivia,eCommerce,Users,Electronics,million users,Statista,1.03,1.259,1.52,1.824,2.154,2.489,2.812,3.102,3.395,3.692,3.986
Bolivia,eCommerce,Users,Fashion,million users,Statista,1.121,1.315,1.52,1.765,2.035,2.321,2.594,2.847,3.104,3.352,3.6
Bolivia,eCommerce,Users,Food,million users,Statista,0.332,0.414,0.512,0.621,0.749,0.888,1.022,1.143,1.267,1.384,1.502
Bolivia,eCommerce,Users,Furniture,million users,Statista,0.379,0.497,0.65,0.828,1.05,1.299,1.553,1.777,2.005,2.211,2.422
Bolivia,eCommerce,Users,Media,million users,Statista,0.619,0.811,1.022,1.272,1.576,1.901,2.237,2.538,2.846,3.126,3.411
Bolivia,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,0.699,0.898,1.144,1.43,1.78,2.165,2.535,2.866,3.204,3.521,3.841
Bolivia,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,6.643,7.742,8.828,10.136,11.361,12.595,13.729,14.733,15.721,16.724,17.688
Bolivia,eCommerce,Penetration Rate,Beverages,percent,Statista,3.157,3.88,4.729,5.659,6.731,7.875,8.94,9.871,10.803,11.658,12.5
Bolivia,eCommerce,Penetration Rate,eCommerce,percent,Statista,15.536,18.579,22.935,26.04,29.337,32.479,35.019,36.798,38.581,40.432,42.039
Bolivia,eCommerce,Penetration Rate,Electronics,percent,Statista,9.198,11.091,13.205,15.626,18.205,20.755,23.144,25.197,27.23,29.24,31.185
Bolivia,eCommerce,Penetration Rate,Fashion,percent,Statista,10.014,11.582,13.2,15.119,17.197,19.351,21.348,23.123,24.896,26.549,28.17
Bolivia,eCommerce,Penetration Rate,Food,percent,Statista,2.968,3.648,4.446,5.321,6.329,7.405,8.406,9.282,10.158,10.962,11.753
Bolivia,eCommerce,Penetration Rate,Furniture,percent,Statista,3.384,4.374,5.644,7.095,8.871,10.83,12.779,14.431,16.084,17.515,18.948
Bolivia,eCommerce,Penetration Rate,Media,percent,Statista,5.53,7.143,8.875,10.896,13.32,15.855,18.412,20.619,22.827,24.758,26.686
Bolivia,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,6.242,7.908,9.94,12.248,15.04,18.052,20.864,23.283,25.7,27.888,30.053
Bolivia,Electronics,Revenue,Total,billion USD (US$),Statista,0.367,0.424,0.486,0.659,0.773,0.751,0.976,1.145,1.338,1.452,1.583
Bolivia,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,0.302,0.351,0.4,0.541,0.622,0.588,0.769,0.895,1.033,1.119,1.217
Bolivia,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,0.065,0.073,0.087,0.118,0.152,0.163,0.207,0.25,0.305,0.332,0.366
Bolivia,Electronics,Revenue Change,Total,percent,Statista,,15.46,14.592,35.569,17.36,-2.922,29.928,17.376,16.856,8.52,9.022
Bolivia,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,15.967,13.883,35.344,14.944,-5.438,30.781,16.458,15.406,8.325,8.758
Bolivia,Electronics,Revenue Change,Household Appliances,percent,Statista,,13.02,18.16,36.495,28.402,7.373,26.855,20.686,22.147,8.984,10.018
Bolivia,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,356.9,336.8,319.8,361.3,359,301.6,346.9,369.1,394,393.2,397.2
Bolivia,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,279.4,278,276.7,325.7,332.7,284.7,342.6,370.6,398.5,404,413.4
Bolivia,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,113.2,96.99,87.12,92.68,93.27,80.81,85.38,89.9,97.09,95.89,96.28
Bolivia,Electronics,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Bolivia,Electronics,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Bolivia,Electronics,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Bolivia,Electronics,Online & Offline Split,Offline,percent,Statista,83.078,81.385,79.697,75.566,73.121,69.509,66.855,63.524,60.113,,
Bolivia,Electronics,Online & Offline Split,Online,percent,Statista,16.922,18.615,20.303,24.434,26.879,30.491,33.145,36.476,39.887,,
Bolivia,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,57.397,55.792,54.671,53.811,53.196,52.771,52.475,52.271,52.131,,
Bolivia,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,42.603,44.208,45.329,46.189,46.804,47.229,47.525,47.729,47.869,,
Bolivia,Electronics,Users by Segment,Total,million users,Statista,1.03,1.259,1.52,1.824,2.154,2.489,2.812,3.102,3.395,3.692,3.986
Bolivia,Electronics,Users by Segment,Consumer Electronics,million users,Statista,1.083,1.262,1.443,1.66,1.868,2.064,2.244,2.416,2.591,2.77,2.945
Bolivia,Electronics,Users by Segment,Household Appliances,million users,Statista,0.573,0.756,0.995,1.277,1.629,2.018,2.423,2.778,3.141,3.466,3.799
Bolivia,Electronics,Penetration Rate by Segment,Consumer Electronics,percent,Statista,9.672,11.116,12.537,14.22,15.787,17.21,18.463,19.622,20.782,21.939,23.039
Bolivia,Electronics,Penetration Rate by Segment,Electronics,percent,Statista,9.198,11.091,13.205,15.626,18.205,20.755,23.144,25.197,27.23,29.24,31.185
Bolivia,Electronics,Penetration Rate by Segment,Household Appliances,percent,Statista,5.121,6.661,8.641,10.938,13.764,16.831,19.941,22.565,25.191,27.453,29.721
Bolivia,Consumer Electronics,Revenue,Total,million USD (US$),Statista,302.5,350.8,399.5,540.7,621.5,587.7,768.6,895.1,"1,033","1,119","1,217"
Bolivia,Consumer Electronics,Revenue,Computing,million USD (US$),Statista,53.35,61.95,71.62,93.04,109.7,100.4,130.6,149.4,171.3,185.2,200.8
Bolivia,Consumer Electronics,Revenue,Other Consumer Electronics,million USD (US$),Statista,110.4,128,145.7,196.6,225.3,213.1,278.7,324.6,374.4,405.7,441.3
Bolivia,Consumer Electronics,Revenue,Telephony,million USD (US$),Statista,86.84,100.7,112.7,156.8,171.8,170.3,225.2,268.8,313.1,340,371.1
Bolivia,Consumer Electronics,Revenue,"TV, Radio & Multimedia",million USD (US$),Statista,50.28,58.17,67.22,91.42,112.1,101.9,132.1,150.6,172.5,186.9,203
Bolivia,Consumer Electronics,Revenue,TV Peripheral Devices,million USD (US$),Statista,1.689,1.929,2.178,2.863,2.641,2.027,2.041,1.708,1.331,1.308,1.229
Bolivia,Consumer Electronics,Revenue Change,Total,percent,Statista,,15.967,13.883,35.344,14.944,-5.438,30.781,16.458,15.406,8.325,8.758
Bolivia,Consumer Electronics,Revenue Change,Computing,percent,Statista,,16.12,15.609,29.908,17.906,-8.478,30.08,14.395,14.659,8.114,8.423
