Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Cambodia,eCommerce,Revenue,Total,million USD (US$),Statista,317.3,429,543.6,811.9,969.9,"1,015","1,266","1,490","1,761","1,920","2,102"
Cambodia,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,88.84,120.9,150.6,200,230.5,241.8,293.9,337.6,390.1,424.1,461.9
Cambodia,eCommerce,Revenue,Beverages,million USD (US$),Statista,11.95,17.51,23.01,36.54,44.29,46.83,53.33,59.62,67.95,72.23,77.08
Cambodia,eCommerce,Revenue,Electronics,million USD (US$),Statista,97.98,130.4,162.5,218.8,254.4,269.1,350,418,495.8,542,595.2
Cambodia,eCommerce,Revenue,Fashion,million USD (US$),Statista,65.14,89.9,117.4,221.4,264.3,266.9,322.4,376.3,443,482.8,527.6
Cambodia,eCommerce,Revenue,Food,million USD (US$),Statista,12.74,17.8,23.95,38.68,57.19,68.84,94.27,123.1,161.6,178.1,199.4
Cambodia,eCommerce,Revenue,Furniture,million USD (US$),Statista,17.41,22.31,27.73,38.59,46.29,43.79,58.66,69.11,81.64,89.06,97.61
Cambodia,eCommerce,Revenue,Media,million USD (US$),Statista,3.088,4.301,5.652,8.857,11.19,12.08,14.2,15.18,16.03,17.33,18.44
Cambodia,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,20.11,25.95,32.71,49.07,61.68,65.82,79.49,91.11,104.8,114.5,124.8
Cambodia,eCommerce,Revenue Change,Total,percent,Statista,,35.203,26.713,49.356,19.461,4.65,24.729,17.694,18.188,9.029,9.479
Cambodia,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,36.087,24.566,32.802,15.25,4.902,21.547,14.869,15.551,8.716,8.913
Cambodia,eCommerce,Revenue Change,Beverages,percent,Statista,,46.527,31.411,58.801,21.21,5.735,13.88,11.794,13.972,6.299,6.715
Cambodia,eCommerce,Revenue Change,Electronics,percent,Statista,,33.088,24.617,34.646,16.271,5.778,30.063,19.429,18.612,9.318,9.815
Cambodia,eCommerce,Revenue Change,Fashion,percent,Statista,,38.01,30.59,88.586,19.377,0.984,20.794,16.718,17.725,8.984,9.279
Cambodia,eCommerce,Revenue Change,Food,percent,Statista,,39.717,34.551,61.503,47.854,20.371,36.941,30.582,31.275,10.21,11.96
Cambodia,eCommerce,Revenue Change,Furniture,percent,Statista,,28.145,24.294,39.163,19.953,-5.401,33.958,17.815,18.131,9.089,9.6
Cambodia,eCommerce,Revenue Change,Media,percent,Statista,,39.281,31.411,56.706,26.341,7.954,17.55,6.901,5.599,8.11,6.405
Cambodia,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,29.04,26.05,50.015,25.698,6.712,20.769,14.618,15.026,9.256,8.996
Cambodia,eCommerce,Average Revenue per User,Total,USD (US$),Statista,136.7,143,137,170.5,173.8,159.9,181.5,201.2,224.4,230.4,239.9
Cambodia,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,116.8,124.2,122.8,131.8,128.5,117.6,127.2,133.7,142.2,142.4,144
Cambodia,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,31.65,34.76,34.3,43.13,42.38,37.35,36.83,36.98,38.18,36.91,36.17
Cambodia,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,88.88,90.53,87.09,93.53,89.64,80.76,92.2,100.1,108.7,108.4,109.8
Cambodia,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,54.39,59.83,62.96,97.8,98.5,85.95,92.27,98.34,106.3,106.4,107.6
Cambodia,eCommerce,Average Revenue per User,Food,USD (US$),Statista,35.87,37.57,37.97,48.55,58.18,58.39,69.23,81.21,96.56,96.81,99.52
Cambodia,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,43.09,39.37,34.75,36.33,33.42,25.15,28,28.93,30.35,29.87,29.81
Cambodia,eCommerce,Average Revenue per User,Media,USD (US$),Statista,4.385,4.371,4.39,5.43,5.524,4.979,5.039,4.818,4.592,4.513,4.406
Cambodia,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,26.18,24.9,23.09,26.76,26.42,22.92,23.78,24.34,25.24,24.97,24.93
Cambodia,eCommerce,Comparable Estimates - eCommerce (Southeast Asia),*Statista,billion USD (US$),,28.85,40.7,56.22,84.2,124.6,126.4,158.5,183.2,212.5,230.3,249.7
Cambodia,eCommerce,Comparable Estimates - eCommerce (Southeast Asia),"Google, Temasek and Bain & Company",billion USD (US$),,,,,74,120,,,,,,
Cambodia,eCommerce,Online & Offline Split,Offline,percent,Statista,97.032,96.203,95.447,93.127,92.083,91.716,90.98,89.997,88.797,,
Cambodia,eCommerce,Online & Offline Split,Online,percent,Statista,2.968,3.797,4.553,6.873,7.917,8.284,9.02,10.003,11.203,,
Cambodia,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,62.129,61.465,61.528,61.128,61.497,61.329,61.056,60.698,60.33,,
Cambodia,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,37.871,38.535,38.472,38.872,38.503,38.671,38.944,39.302,39.67,,
Cambodia,eCommerce,Users,Total,million users,Statista,2.321,3,3.969,4.763,5.58,6.35,6.975,7.406,7.845,8.333,8.762
Cambodia,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,0.76,0.973,1.227,1.517,1.795,2.056,2.31,2.526,2.743,2.979,3.207
Cambodia,eCommerce,Users,Beverages,million users,Statista,0.378,0.504,0.671,0.847,1.045,1.254,1.448,1.612,1.78,1.957,2.131
Cambodia,eCommerce,Users,Electronics,million users,Statista,1.102,1.44,1.866,2.339,2.838,3.332,3.796,4.177,4.563,5,5.423
Cambodia,eCommerce,Users,Fashion,million users,Statista,1.198,1.503,1.864,2.263,2.683,3.106,3.494,3.827,4.166,4.539,4.901
Cambodia,eCommerce,Users,Food,million users,Statista,0.355,0.474,0.631,0.797,0.983,1.179,1.362,1.516,1.673,1.84,2.004
Cambodia,eCommerce,Users,Furniture,million users,Statista,0.404,0.567,0.798,1.062,1.385,1.742,2.095,2.389,2.69,2.982,3.274
Cambodia,eCommerce,Users,Media,million users,Statista,0.704,0.984,1.287,1.631,2.026,2.426,2.819,3.151,3.49,3.84,4.186
Cambodia,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,0.768,1.042,1.417,1.834,2.334,2.871,3.343,3.743,4.152,4.583,5.007
Cambodia,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,4.75,5.99,7.441,9.076,10.59,11.973,13.288,14.352,15.404,16.544,17.613
Cambodia,eCommerce,Penetration Rate,Beverages,percent,Statista,2.359,3.1,4.069,5.067,6.168,7.304,8.33,9.161,9.995,10.866,11.703
Cambodia,eCommerce,Penetration Rate,eCommerce,percent,Statista,14.5,18.462,24.072,28.49,32.929,36.985,40.118,42.084,44.062,46.273,48.125
Cambodia,eCommerce,Penetration Rate,Electronics,percent,Statista,6.886,8.862,11.321,13.992,16.747,19.409,21.835,23.738,25.624,27.765,29.783
Cambodia,eCommerce,Penetration Rate,Fashion,percent,Statista,7.481,9.246,11.307,13.538,15.835,18.09,20.095,21.746,23.398,25.204,26.92
Cambodia,eCommerce,Penetration Rate,Food,percent,Statista,2.218,2.915,3.826,4.765,5.8,6.868,7.833,8.614,9.398,10.218,11.004
Cambodia,eCommerce,Penetration Rate,Furniture,percent,Statista,2.524,3.487,4.84,6.353,8.174,10.144,12.048,13.575,15.107,16.556,17.982
Cambodia,eCommerce,Penetration Rate,Media,percent,Statista,4.398,6.056,7.808,9.757,11.954,14.128,16.214,17.904,19.599,21.325,22.992
Cambodia,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,4.798,6.413,8.592,10.967,13.774,16.725,19.229,21.272,23.318,25.45,27.498
Cambodia,Electronics,Revenue,Total,million USD (US$),Statista,97.98,130.4,162.5,218.8,254.4,269.1,350,418,495.8,542,595.2
Cambodia,Electronics,Revenue,Consumer Electronics,million USD (US$),Statista,58.21,77.83,95.48,137.3,153.5,143.7,186.2,214.8,246.5,268.2,292.1
Cambodia,Electronics,Revenue,Household Appliances,million USD (US$),Statista,39.77,52.54,67.06,81.48,100.9,125.4,163.9,203.2,249.2,273.8,303.1
Cambodia,Electronics,Revenue Change,Total,percent,Statista,,33.088,24.617,34.646,16.271,5.778,30.063,19.429,18.612,9.318,9.815
Cambodia,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,33.706,22.678,43.8,11.799,-6.384,29.576,15.36,14.758,8.803,8.911
Cambodia,Electronics,Revenue Change,Household Appliances,percent,Statista,,32.11,27.636,21.503,23.834,24.281,30.702,23.978,22.638,9.872,10.701
Cambodia,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,88.88,90.53,87.09,93.53,89.64,80.76,92.2,100.1,108.7,108.4,109.8
Cambodia,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,49.32,53.25,53.57,64.5,62.71,52.49,62.25,67.01,72.01,73.58,75.86
Cambodia,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,65.67,61.33,55.12,49.76,46.83,46.01,49.55,53.66,58.25,57.66,58.06
Cambodia,Electronics,Comparable Estimates - eCommerce (Southeast Asia),*Statista,billion USD (US$),,28.85,40.7,56.22,84.2,124.6,126.4,158.5,183.2,212.5,230.3,249.7
Cambodia,Electronics,Comparable Estimates - eCommerce (Southeast Asia),"Google, Temasek and Bain & Company",billion USD (US$),,,,,74,120,,,,,,
Cambodia,Electronics,Online & Offline Split,Offline,percent,Statista,90.671,88.229,86.061,82.463,80.305,77.463,74.985,71.969,68.681,,
Cambodia,Electronics,Online & Offline Split,Online,percent,Statista,9.329,11.771,13.939,17.537,19.695,22.537,25.015,28.031,31.319,,
Cambodia,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,51.797,51.782,51.761,51.775,51.752,51.728,51.723,51.722,51.724,,
Cambodia,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,48.203,48.218,48.239,48.225,48.248,48.272,48.277,48.278,48.276,,
Cambodia,Electronics,Users by Segment,Total,million users,Statista,1.102,1.44,1.866,2.339,2.838,3.332,3.796,4.177,4.563,5,5.423
