Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Cameroon,eCommerce,Revenue,Total,million USD (US$),Statista,101.1,134.3,174.5,282.9,371.6,379.7,489.4,593.1,711.3,776.5,852.2
Cameroon,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,22.34,28.66,35.81,52.45,63.35,69.66,91.85,114,136.6,149.1,163.9
Cameroon,eCommerce,Revenue,Beverages,million USD (US$),Statista,6.662,8.75,11.41,17.54,25.68,25.5,28.76,31.3,34.26,36.64,38.92
Cameroon,eCommerce,Revenue,Electronics,million USD (US$),Statista,22.14,29.63,39.02,59.81,73.65,79.7,110.2,137.5,168.9,186,206.3
Cameroon,eCommerce,Revenue,Fashion,million USD (US$),Statista,20.98,28.36,37.49,73.68,101.1,89.87,106.2,124.6,146,157.6,170.8
Cameroon,eCommerce,Revenue,Food,million USD (US$),Statista,3.423,4.896,6.68,11.34,17.72,22.3,31.79,42.94,57.68,63.68,71.58
Cameroon,eCommerce,Revenue,Furniture,million USD (US$),Statista,11.49,15.04,19.71,27.95,37.65,38.95,56.36,70.56,87.28,96.15,106.8
Cameroon,eCommerce,Revenue,Media,million USD (US$),Statista,3.712,5.476,7.183,11.36,14.6,16.04,19.2,20.8,22.16,24.22,26.04
Cameroon,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,10.37,13.48,17.25,28.75,37.77,37.64,45.05,51.47,58.47,63.04,67.94
Cameroon,eCommerce,Revenue Change,Total,percent,Statista,,32.839,29.933,62.12,31.354,2.18,28.891,21.189,19.929,9.166,9.749
Cameroon,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,28.29,24.948,46.467,20.782,9.961,31.855,24.115,19.825,9.151,9.926
Cameroon,eCommerce,Revenue Change,Beverages,percent,Statista,,31.342,30.4,53.725,46.408,-0.701,12.784,8.832,9.457,6.947,6.223
Cameroon,eCommerce,Revenue Change,Electronics,percent,Statista,,33.83,31.691,53.28,23.14,8.215,38.269,24.773,22.836,10.124,10.914
Cameroon,eCommerce,Revenue Change,Fashion,percent,Statista,,35.176,32.193,96.532,37.215,-11.108,18.171,17.326,17.175,7.945,8.376
Cameroon,eCommerce,Revenue Change,Food,percent,Statista,,43.032,36.438,69.76,56.261,25.847,42.556,35.074,34.327,10.402,12.406
Cameroon,eCommerce,Revenue Change,Furniture,percent,Statista,,30.896,31.051,41.806,34.705,3.453,44.698,25.195,23.696,10.163,11.076
Cameroon,eCommerce,Revenue Change,Media,percent,Statista,,47.522,31.172,58.151,28.521,9.863,19.701,8.333,6.538,9.296,7.514
Cameroon,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,29.99,27.967,66.667,31.374,-0.344,19.687,14.251,13.6,7.816,7.773
Cameroon,eCommerce,Average Revenue per User,Total,USD (US$),Statista,38.27,38.09,36.99,48.97,53.59,46.88,53.59,59.71,66.09,66.49,67.96
