Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Canada,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.35,,,,,,
Canada,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,25.211,,,,,,
Canada,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.397,,,,,,
Canada,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,19.921,,,,,,
Canada,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,18.12,,,,,,
Canada,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.872,,,,,,
Canada,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.128,,,,,,
Canada,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.892,,,,,,
Canada,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,30.184,,,,,,
Canada,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.924,,,,,,
Canada,eCommerce,Revenue,Total,billion USD (US$),Statista,31.1,33.22,35.79,46.09,58.01,57.92,75.55,87.85,102,109.5,118.2
Canada,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,3.167,3.453,3.746,4.688,6.085,6.415,8.295,9.758,11.45,12.39,13.47
Canada,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.489,0.539,0.613,0.856,1.156,1.267,1.724,2.156,2.714,2.933,3.221
Canada,eCommerce,Revenue,Electronics,billion USD (US$),Statista,6.998,7.352,7.688,9.95,12.44,10.89,13.81,14.98,16.18,17.05,17.94
Canada,eCommerce,Revenue,Fashion,billion USD (US$),Statista,7.802,8.291,8.879,10.95,14.03,15.05,19.69,23.31,27.37,29.5,32.02
Canada,eCommerce,Revenue,Food,billion USD (US$),Statista,0.484,0.537,0.606,0.88,1.106,1.409,2.197,3.109,4.374,4.766,5.345
Canada,eCommerce,Revenue,Furniture,billion USD (US$),Statista,4.635,5.009,5.482,6.793,7.672,7.315,10.65,12.98,15.72,16.89,18.4
Canada,eCommerce,Revenue,Media,billion USD (US$),Statista,1.823,1.887,1.982,2.409,2.694,2.574,2.993,3.139,3.256,3.45,3.628
Canada,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,5.698,6.15,6.796,9.571,12.84,13,16.2,18.41,20.95,22.48,24.14
Canada,eCommerce,Revenue Change,Total,percent,Statista,,6.824,7.745,28.789,25.851,-0.158,30.449,16.268,16.146,7.28,7.954
Canada,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,9.03,8.459,25.162,29.794,5.432,29.308,17.628,17.383,8.137,8.779
Canada,eCommerce,Revenue Change,Beverages,percent,Statista,,10.313,13.693,39.531,35.12,9.602,36.06,25.073,25.875,8.071,9.804
Canada,eCommerce,Revenue Change,Electronics,percent,Statista,,5.056,4.571,29.426,24.994,-12.414,26.735,8.492,8.053,5.353,5.193
Canada,eCommerce,Revenue Change,Fashion,percent,Statista,,6.271,7.086,23.308,28.111,7.271,30.891,18.384,17.409,7.781,8.534
Canada,eCommerce,Revenue Change,Food,percent,Statista,,11.063,12.756,45.293,25.655,27.362,55.957,41.492,40.677,8.98,12.132
Canada,eCommerce,Revenue Change,Furniture,percent,Statista,,8.054,9.451,23.922,12.939,-4.652,45.59,21.892,21.116,7.451,8.907
Canada,eCommerce,Revenue Change,Media,percent,Statista,,3.5,5.029,21.538,11.833,-4.457,16.305,4.857,3.744,5.953,5.151
Canada,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,7.932,10.511,40.828,34.106,1.288,24.581,13.678,13.802,7.267,7.42
Canada,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.365,1.387,1.433,1.768,2.103,2.011,2.551,2.921,3.342,3.511,3.726
Canada,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.44,0.434,0.426,0.485,0.573,0.555,0.67,0.744,0.826,0.844,0.872
Canada,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.138,0.132,0.129,0.159,0.193,0.192,0.239,0.279,0.329,0.334,0.347
Canada,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.661,0.617,0.573,0.667,0.758,0.61,0.717,0.732,0.747,0.744,0.743
Canada,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.746,0.713,0.682,0.759,0.87,0.844,1.01,1.107,1.208,1.22,1.246
Canada,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.145,0.14,0.135,0.173,0.196,0.226,0.324,0.428,0.565,0.578,0.612
Canada,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,0.972,0.931,0.894,1.004,1.038,0.915,1.256,1.458,1.684,1.733,1.817
Canada,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.226,0.216,0.209,0.232,0.239,0.213,0.234,0.229,0.223,0.224,0.224
Canada,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",thousand USD (US$),Statista,0.732,0.691,0.661,0.819,0.974,0.889,1.013,1.068,1.133,1.133,1.142
Canada,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,6.481,6.634,7.057,7.417,7.599,7.776,7.945,8.205,8.464,,
Canada,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,67.992,64.685,60.284,55.499,53.766,52.051,50.361,49.249,48.136,,
Canada,eCommerce,Revenue Share Payment Types,Cash on delivery,percent,Statista,3.619,3.705,3.5,3.28,3.182,3.101,3.032,3.009,2.986,,
Canada,eCommerce,Revenue Share Payment Types,Direct debits,percent,Statista,2.966,3.036,3.406,3.784,3.877,3.967,4.054,3.045,2.036,,
Canada,eCommerce,Revenue Share Payment Types,E-Invoice,percent,Statista,2.063,2.112,2.208,2.27,2.409,2.545,2.68,2.844,3.007,,
