Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Chile,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,16.768,,,,,,
Chile,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,27.879,,,,,,
Chile,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.838,,,,,,
Chile,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,18.788,,,,,,
Chile,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,12.727,,,,,,
Chile,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.505,,,,,,
Chile,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.495,,,,,,
Chile,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.317,,,,,,
Chile,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.669,,,,,,
Chile,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,30.013,,,,,,
Chile,eCommerce,Revenue,Total,billion USD (US$),Statista,2.929,3.756,4.589,6.335,8.695,8.681,10.97,12.56,14.41,15.73,17.15
Chile,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.126,0.158,0.192,0.253,0.336,0.372,0.482,0.588,0.72,0.788,0.87
Chile,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.037,0.049,0.062,0.084,0.111,0.119,0.151,0.182,0.224,0.242,0.264
Chile,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.797,1.081,1.407,2.135,3.288,3.044,3.853,4.3,4.795,5.275,5.752
Chile,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.573,0.696,0.804,1.001,1.287,1.386,1.744,2.054,2.424,2.631,2.872
Chile,eCommerce,Revenue,Food,billion USD (US$),Statista,0.049,0.062,0.078,0.139,0.236,0.289,0.41,0.545,0.726,0.802,0.901
Chile,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.524,0.662,0.788,0.915,1.113,1.038,1.405,1.637,1.901,2.063,2.248
Chile,eCommerce,Revenue,Media,billion USD (US$),Statista,0.097,0.111,0.129,0.188,0.226,0.233,0.271,0.288,0.305,0.328,0.349
Chile,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.725,0.938,1.129,1.62,2.098,2.201,2.654,2.963,3.318,3.602,3.892
Chile,eCommerce,Revenue Change,Total,percent,Statista,,28.235,22.178,38.048,37.253,-0.161,26.368,14.494,14.729,9.16,9.027
Chile,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,24.802,21.841,31.579,33.069,10.685,29.685,21.812,22.621,9.439,10.375
Chile,eCommerce,Revenue Change,Beverages,percent,Statista,,31.039,28.239,35.673,31.289,7.394,27.036,20.555,22.752,7.95,9.35
