Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
China,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,17.642,,,,,,
China,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,32.171,,,,,,
China,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.137,,,,,,
China,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,19.804,,,,,,
China,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,5.25,,,,,,
China,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,47.997,,,,,,
China,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,52.003,,,,,,
China,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,31.989,,,,,,
China,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.272,,,,,,
China,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,35.739,,,,,,
China,eCommerce,Revenue,Total,billion USD (US$),Statista,"1,015","1,053","1,098","1,260","1,368","1,156","1,396","1,457","1,544","1,593","1,649"
China,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,72.04,76.79,81.94,96.27,105.5,93.34,108.5,115,122.4,127.1,132.2
China,eCommerce,Revenue,Beverages,billion USD (US$),Statista,27.06,36.98,47.8,63.46,83.64,74.06,85.73,89.89,94.22,100.7,106.3
China,eCommerce,Revenue,Electronics,billion USD (US$),Statista,355.7,345.4,340.4,385.5,398,302.1,387,391.9,420.4,423.3,431.4
China,eCommerce,Revenue,Fashion,billion USD (US$),Statista,228.3,240,250.5,285.1,297.5,266,310,327.1,344.7,356.5,369.4
China,eCommerce,Revenue,Food,billion USD (US$),Statista,23.71,32.5,42.06,61.99,85.79,77.5,91.56,98.11,105.2,111.8,117.8
China,eCommerce,Revenue,Furniture,billion USD (US$),Statista,136.1,122.1,112.1,104.6,104.6,82.95,112.4,121.6,131.1,130.5,132.4
China,eCommerce,Revenue,Media,billion USD (US$),Statista,37.51,46.29,53.21,64.04,70.61,63.02,72.06,73.82,75.47,80.12,84.02
China,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,134.9,152.6,169.9,199.4,222.6,197.3,228.4,239.1,250.6,263.5,275.9
China,eCommerce,Revenue Change,Total,percent,Statista,,3.744,4.274,14.754,8.571,-15.497,20.761,4.37,5.971,3.174,3.515
China,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,6.594,6.707,17.488,9.588,-11.526,16.242,5.991,6.435,3.84,4.013
China,eCommerce,Revenue Change,Beverages,percent,Statista,,36.659,29.259,32.762,31.8,-11.454,15.757,4.852,4.817,6.878,5.561
China,eCommerce,Revenue Change,Electronics,percent,Statista,,-2.896,-1.448,13.249,3.243,-24.095,28.103,1.266,7.272,0.69,1.914
China,eCommerce,Revenue Change,Fashion,percent,Statista,,5.125,4.375,13.812,4.349,-10.588,16.541,5.516,5.381,3.423,3.619
China,eCommerce,Revenue Change,Food,percent,Statista,,37.073,29.415,47.385,38.393,-9.663,18.142,7.154,7.227,6.274,5.367
China,eCommerce,Revenue Change,Furniture,percent,Statista,,-10.287,-8.19,-6.69,0,-20.698,35.503,8.185,7.812,-0.458,1.456
China,eCommerce,Revenue Change,Media,percent,Statista,,23.407,14.949,20.353,10.259,-10.749,14.345,2.442,2.235,6.161,4.868
China,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,13.121,11.337,17.363,11.635,-11.366,15.763,4.685,4.81,5.148,4.706
China,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.438,1.364,1.275,1.352,1.377,1.104,1.268,1.25,1.255,1.242,1.236
China,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.364,0.325,0.289,0.285,0.27,0.208,0.217,0.211,0.206,0.198,0.191
China,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.265,0.304,0.317,0.336,0.368,0.276,0.277,0.261,0.248,0.242,0.236
China,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,1.237,0.98,0.785,0.74,0.644,0.423,0.487,0.447,0.437,0.404,0.382
China,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.749,0.656,0.572,0.566,0.515,0.408,0.435,0.427,0.421,0.406,0.397
China,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.247,0.284,0.296,0.349,0.401,0.307,0.314,0.303,0.294,0.286,0.278
China,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,1.014,0.744,0.563,0.442,0.373,0.253,0.299,0.292,0.285,0.26,0.244
China,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.175,0.183,0.174,0.176,0.167,0.13,0.135,0.125,0.117,0.115,0.112
