Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Costa Rica,eCommerce,Revenue,Total,million USD (US$),Statista,651.6,760.1,886.3,"1,247","1,512","1,571","1,981","2,324","2,707","2,948","3,220"
Costa Rica,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,62.99,74.23,87.21,115.8,141.3,158.8,204.7,249,298.3,326.3,359
Costa Rica,eCommerce,Revenue,Beverages,million USD (US$),Statista,9.915,12.38,15.34,21.53,32.49,37.48,47.39,56.46,67.69,74.22,81.67
Costa Rica,eCommerce,Revenue,Electronics,million USD (US$),Statista,289.3,340.8,396.2,558.2,664.3,664.4,849.6,990.1,"1,132","1,235","1,347"
Costa Rica,eCommerce,Revenue,Fashion,million USD (US$),Statista,124.3,140.3,161.2,223.1,264.7,291.1,366.9,441.7,533,580.1,636.9
Costa Rica,eCommerce,Revenue,Food,million USD (US$),Statista,22.47,27.51,33.98,58.67,85.85,95.74,121.7,148.5,183.2,201.8,223.8
Costa Rica,eCommerce,Revenue,Furniture,million USD (US$),Statista,47.75,55.49,63.92,86.63,102.8,95.16,125.1,144.8,168.1,182.2,198.3
Costa Rica,eCommerce,Revenue,Media,million USD (US$),Statista,35.45,36.87,39.8,53.14,57.88,55.59,59.44,60.49,61.26,62.78,63.88
Costa Rica,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,59.46,72.6,88.6,130,162.2,173.1,206.7,233.1,263.6,286.1,309.7
Costa Rica,eCommerce,Revenue Change,Total,percent,Statista,,16.651,16.603,40.697,21.251,3.902,26.098,17.314,16.48,8.903,9.227
Costa Rica,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,17.844,17.486,32.783,22.021,12.385,28.904,21.641,19.799,9.387,10.021
Costa Rica,eCommerce,Revenue Change,Beverages,percent,Statista,,24.861,23.91,40.352,50.906,15.359,26.441,19.139,19.89,9.647,10.038
Costa Rica,eCommerce,Revenue Change,Electronics,percent,Statista,,17.802,16.256,40.888,19.008,0.015,27.875,16.537,14.332,9.099,9.069
Costa Rica,eCommerce,Revenue Change,Fashion,percent,Statista,,12.872,14.897,38.4,18.646,9.974,26.039,20.387,20.67,8.837,9.791
Costa Rica,eCommerce,Revenue Change,Food,percent,Statista,,22.43,23.519,72.66,46.327,11.52,27.115,22.021,23.367,10.153,10.902
Costa Rica,eCommerce,Revenue Change,Furniture,percent,Statista,,16.209,15.192,35.529,18.666,-7.432,31.463,15.747,16.091,8.388,8.836
Costa Rica,eCommerce,Revenue Change,Media,percent,Statista,,4.006,7.947,33.518,8.92,-3.956,6.926,1.766,1.273,2.481,1.752
Costa Rica,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,22.099,22.039,46.727,24.769,6.72,19.411,12.772,13.085,8.536,8.249
Costa Rica,eCommerce,Average Revenue per User,Total,USD (US$),Statista,499.6,505.3,475.1,597.6,646.6,631.5,757.5,860.4,971,"1,025","1,093"
Costa Rica,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,114,116.7,117.3,133,143.8,144.4,169.7,191.9,214.7,218.7,225.8
Costa Rica,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,33.18,35.49,36.96,44.31,57.81,58.66,66.79,73.18,81.14,82.31,84.4
Costa Rica,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,360.5,359.8,350.7,416.2,430.8,380.9,439.9,474.7,505,510.6,520.5
Costa Rica,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,153.3,149.2,145.5,171.9,177,172,195.2,216.3,241.4,243.4,249.2
Costa Rica,eCommerce,Average Revenue per User,Food,USD (US$),Statista,79.99,83.85,87.08,128.4,162.4,159.4,182.4,204.7,233.5,238,246
Costa Rica,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,148.9,140.2,128.7,142.2,139.2,109.3,125.4,131,138.5,137.3,137.8
Costa Rica,eCommerce,Average Revenue per User,Media,USD (US$),Statista,52.88,49.03,47.24,56.82,56.89,50.77,51.21,49.32,47.38,46.34,45.2
Costa Rica,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,103.9,103.9,101.9,123.7,128.3,116.6,122.8,126,130.5,129.8,130
Costa Rica,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Costa Rica,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Costa Rica,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Costa Rica,eCommerce,Online & Offline Split,Offline,percent,Statista,95.876,95.39,94.842,92.853,91.662,90.88,89.952,88.726,87.41,,
Costa Rica,eCommerce,Online & Offline Split,Online,percent,Statista,4.124,4.61,5.158,7.147,8.338,9.12,10.048,11.274,12.59,,
Costa Rica,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,65.298,62.672,61.474,60.836,60.47,59.866,59.427,58.999,58.671,,
Costa Rica,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,34.702,37.328,38.526,39.164,39.53,40.134,40.573,41.001,41.329,,
Costa Rica,eCommerce,Users,Total,million users,Statista,1.304,1.504,1.866,2.087,2.338,2.488,2.616,2.701,2.788,2.876,2.947
Costa Rica,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,0.553,0.636,0.743,0.87,0.982,1.1,1.206,1.298,1.389,1.492,1.59
Costa Rica,eCommerce,Users,Beverages,million users,Statista,0.299,0.349,0.415,0.486,0.562,0.639,0.71,0.771,0.834,0.902,0.968
Costa Rica,eCommerce,Users,Electronics,million users,Statista,0.803,0.947,1.13,1.341,1.542,1.744,1.931,2.086,2.242,2.418,2.587
Costa Rica,eCommerce,Users,Fashion,million users,Statista,0.811,0.94,1.108,1.298,1.496,1.693,1.879,2.043,2.208,2.383,2.556
Costa Rica,eCommerce,Users,Food,million users,Statista,0.281,0.328,0.39,0.457,0.529,0.601,0.667,0.725,0.784,0.848,0.91
Costa Rica,eCommerce,Users,Furniture,million users,Statista,0.321,0.396,0.497,0.609,0.739,0.871,0.998,1.105,1.214,1.327,1.439
