Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Croatia,eCommerce,Revenue,Total,million USD (US$),Statista,698,753.4,849.8,"1,116","1,373","1,227","1,657","1,915","2,199","2,375","2,576"
Croatia,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,76.61,84.35,95.25,102.7,131.8,135.6,187.8,224.7,262.5,285.4,311.8
Croatia,eCommerce,Revenue,Beverages,million USD (US$),Statista,9.492,11.11,15.03,20.83,30.56,28.78,36.36,41,46.94,51.01,55.4
Croatia,eCommerce,Revenue,Electronics,million USD (US$),Statista,259.4,289.4,331.7,440.2,544.6,464.8,653.5,750.7,846.8,920.1,999.3
Croatia,eCommerce,Revenue,Fashion,million USD (US$),Statista,196.3,195.2,210.2,286.5,342.7,308.8,398.4,468.4,554,594.6,645.3
Croatia,eCommerce,Revenue,Food,million USD (US$),Statista,7.924,9.472,11.73,18.42,26.59,24.63,31.45,36.67,43.33,47.46,52.11
Croatia,eCommerce,Revenue,Furniture,million USD (US$),Statista,53.08,58.97,67.17,78.37,93.14,79.27,120,142.6,169.6,183.2,200
Croatia,eCommerce,Revenue,Media,million USD (US$),Statista,13.8,14.95,16.86,23.07,25.94,22.08,25.54,26.18,26.68,27.31,27.79
Croatia,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,81.4,89.92,101.9,145.6,177.6,163.5,203.5,224.8,249.2,266.3,284.5
Croatia,eCommerce,Revenue Change,Total,percent,Statista,,7.937,12.795,31.325,23.029,-10.634,35.045,15.57,14.83,8.004,8.463
Croatia,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,10.103,12.922,7.822,28.335,2.883,38.496,19.649,16.822,8.724,9.25
Croatia,eCommerce,Revenue Change,Beverages,percent,Statista,,17.046,35.284,38.589,46.711,-5.825,26.338,12.761,14.488,8.671,8.606
Croatia,eCommerce,Revenue Change,Electronics,percent,Statista,,11.565,14.616,32.71,23.716,-14.653,40.598,14.874,12.801,8.656,8.608
Croatia,eCommerce,Revenue Change,Fashion,percent,Statista,,-0.56,7.684,36.299,19.616,-9.892,29.016,17.57,18.275,7.329,8.527
