Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ecuador,eCommerce,Revenue,Total,billion USD (US$),Statista,1.279,1.504,1.807,2.494,3.316,3.455,4.379,5.15,6.035,6.596,7.226
Ecuador,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.13,0.156,0.191,0.251,0.341,0.372,0.471,0.557,0.644,0.707,0.776
Ecuador,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.028,0.036,0.047,0.08,0.138,0.154,0.186,0.213,0.247,0.274,0.302
Ecuador,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.515,0.593,0.7,0.931,1.172,1.158,1.5,1.76,2.041,2.223,2.428
Ecuador,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.284,0.328,0.384,0.505,0.676,0.725,0.89,1.037,1.206,1.314,1.435
Ecuador,eCommerce,Revenue,Food,billion USD (US$),Statista,0.072,0.098,0.14,0.26,0.408,0.469,0.622,0.782,0.993,1.098,1.226
Ecuador,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.123,0.141,0.166,0.216,0.263,0.245,0.322,0.37,0.425,0.461,0.502
Ecuador,eCommerce,Revenue,Media,billion USD (US$),Statista,0.022,0.027,0.029,0.041,0.047,0.048,0.054,0.056,0.058,0.06,0.063
Ecuador,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.105,0.126,0.149,0.21,0.27,0.282,0.334,0.375,0.422,0.457,0.493
Ecuador,eCommerce,Revenue Change,Total,percent,Statista,,17.592,20.146,38.019,32.959,4.192,26.744,17.607,17.184,9.296,9.551
Ecuador,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,19.877,22.751,31.309,35.965,9.15,26.652,18.265,15.444,9.913,9.754
Ecuador,eCommerce,Revenue Change,Beverages,percent,Statista,,29.307,32.707,68.675,72.306,12.218,20.415,14.478,16.079,10.976,10.328
Ecuador,eCommerce,Revenue Change,Electronics,percent,Statista,,14.998,18.12,32.981,25.886,-1.195,29.534,17.333,15.966,8.917,9.222
Ecuador,eCommerce,Revenue Change,Fashion,percent,Statista,,15.458,17.139,31.502,33.795,7.325,22.68,16.543,16.297,8.955,9.209
Ecuador,eCommerce,Revenue Change,Food,percent,Statista,,37.193,42.567,85.735,56.759,15.017,32.46,25.744,26.918,10.63,11.658
Ecuador,eCommerce,Revenue Change,Furniture,percent,Statista,,14.529,17.364,30.495,21.888,-6.948,31.212,14.988,14.981,8.467,8.76
Ecuador,eCommerce,Revenue Change,Media,percent,Statista,,19.456,10.086,39.158,15.703,1.855,11.939,3.586,2.873,4.926,3.687
Ecuador,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,19.658,18.492,40.455,28.708,4.52,18.469,12.268,12.553,8.193,7.989
Ecuador,eCommerce,Average Revenue per User,Total,USD (US$),Statista,405.7,403.5,399.3,497,602.4,581.4,698,796.1,905.3,960.2,"1,027"
Ecuador,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,113.1,112.3,117.2,132.6,157.9,153.1,176.9,194.9,210.7,216.5,223.8
Ecuador,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,38.48,43.32,50.71,75.57,116.8,119,132.2,142.6,156.2,163.4,171
Ecuador,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,302.3,285.5,283.1,319.3,346.5,302.1,354.7,386.1,417.4,422.9,433.1
Ecuador,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,165.4,158.3,157.8,179,208.8,198.2,220.2,237,255.8,258.6,263.8
Ecuador,eCommerce,Average Revenue per User,Food,USD (US$),Statista,106.4,127.1,159.9,262.2,368.6,385.1,470.6,557.3,667.8,696.6,737.7
Ecuador,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,168.8,155.4,150.2,163.2,168.4,135.3,158.4,167.6,178.3,177.8,179.6
Ecuador,eCommerce,Average Revenue per User,Media,USD (US$),Statista,18.07,17.91,17.04,20.17,20.19,18.13,18.31,17.58,16.82,16.35,15.83
Ecuador,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,85.25,80.97,78.46,91.75,100.1,90.64,95.76,99.09,103.3,103,103.5
Ecuador,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Ecuador,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Ecuador,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Ecuador,eCommerce,Online & Offline Split,Offline,percent,Statista,95.792,95.196,94.379,92.521,90.02,89.004,87.653,85.937,84.089,,
Ecuador,eCommerce,Online & Offline Split,Online,percent,Statista,4.208,4.804,5.621,7.479,9.98,10.996,12.347,14.063,15.911,,
Ecuador,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,66.219,65.217,64.344,63.764,62.661,61.931,61.259,60.639,60.11,,
Ecuador,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,33.781,34.783,35.656,36.236,37.339,38.069,38.741,39.361,39.89,,
Ecuador,eCommerce,Users,Total,million users,Statista,3.154,3.728,4.526,5.018,5.504,5.942,6.273,6.468,6.666,6.869,7.033
Ecuador,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,1.148,1.386,1.63,1.891,2.16,2.43,2.665,2.861,3.055,3.268,3.468
Ecuador,eCommerce,Users,Beverages,million users,Statista,0.717,0.823,0.933,1.056,1.178,1.296,1.406,1.492,1.581,1.677,1.767
Ecuador,eCommerce,Users,Electronics,million users,Statista,1.705,2.076,2.473,2.916,3.383,3.834,4.229,4.557,4.89,5.258,5.607
Ecuador,eCommerce,Users,Fashion,million users,Statista,1.717,2.071,2.434,2.821,3.237,3.659,4.041,4.375,4.715,5.083,5.441
Ecuador,eCommerce,Users,Food,million users,Statista,0.674,0.774,0.877,0.993,1.107,1.219,1.322,1.403,1.486,1.577,1.662
Ecuador,eCommerce,Users,Furniture,million users,Statista,0.73,0.908,1.103,1.324,1.564,1.812,2.03,2.206,2.385,2.594,2.794
Ecuador,eCommerce,Users,Media,million users,Statista,1.24,1.494,1.73,2.033,2.35,2.666,2.954,3.188,3.427,3.7,3.962
Ecuador,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,1.236,1.557,1.903,2.285,2.698,3.113,3.49,3.786,4.088,4.435,4.765
Ecuador,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,6.838,8.111,9.381,10.719,12.073,13.417,14.543,15.438,16.3,17.239,18.091
Ecuador,eCommerce,Penetration Rate,Beverages,percent,Statista,4.27,4.817,5.37,5.985,6.584,7.157,7.67,8.053,8.434,8.846,9.219
Ecuador,eCommerce,Penetration Rate,eCommerce,percent,Statista,18.79,21.822,26.052,28.442,30.766,32.805,34.235,34.906,35.57,36.24,36.684
Ecuador,eCommerce,Penetration Rate,Electronics,percent,Statista,10.159,12.151,14.236,16.526,18.911,21.165,23.079,24.589,26.091,27.738,29.246
Ecuador,eCommerce,Penetration Rate,Fashion,percent,Statista,10.23,12.123,14.01,15.99,18.094,20.203,22.053,23.609,25.158,26.817,28.379
Ecuador,eCommerce,Penetration Rate,Food,percent,Statista,4.015,4.529,5.049,5.628,6.191,6.73,7.212,7.572,7.93,8.318,8.668
Ecuador,eCommerce,Penetration Rate,Furniture,percent,Statista,4.35,5.314,6.346,7.504,8.743,10.002,11.079,11.904,12.727,13.683,14.571
Ecuador,eCommerce,Penetration Rate,Media,percent,Statista,7.389,8.747,9.958,11.523,13.138,14.717,16.119,17.205,18.288,19.52,20.668
Ecuador,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,7.361,9.112,10.955,12.953,15.08,17.185,19.047,20.433,21.814,23.396,24.854
Ecuador,Electronics,Revenue,Total,billion USD (US$),Statista,0.515,0.593,0.7,0.931,1.172,1.158,1.5,1.76,2.041,2.223,2.428
Ecuador,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,0.39,0.446,0.524,0.704,0.877,0.833,1.093,1.277,1.468,1.598,1.742
Ecuador,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,0.126,0.147,0.176,0.227,0.296,0.326,0.407,0.482,0.573,0.625,0.686
Ecuador,Electronics,Revenue Change,Total,percent,Statista,,14.998,18.12,32.981,25.886,-1.195,29.534,17.333,15.966,8.917,9.222
Ecuador,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,14.451,17.515,34.389,24.496,-5.019,31.26,16.834,14.957,8.856,9.011
Ecuador,Electronics,Revenue Change,Household Appliances,percent,Statista,,16.773,19.946,28.717,30.335,10.115,25.038,18.501,18.702,9.258,9.736
Ecuador,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,302.3,285.5,283.1,319.3,346.5,302.1,354.7,386.1,417.4,422.9,433.1
Ecuador,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,250.9,235.2,231.8,265.4,286,241.1,288.3,313.5,336.6,342.1,350.9
Ecuador,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,106.5,102.3,102.8,111.1,123.5,118.8,133.5,146.1,160.9,162.3,165.9
Ecuador,Electronics,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Ecuador,Electronics,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Ecuador,Electronics,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Ecuador,Electronics,Online & Offline Split,Offline,percent,Statista,84.082,82.241,79.781,75.111,70.636,66.418,63.103,59.059,55.058,,
Ecuador,Electronics,Online & Offline Split,Online,percent,Statista,15.918,17.759,20.219,24.889,29.364,33.582,36.897,40.941,44.942,,
Ecuador,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,57.788,57.029,56.289,55.6,54.981,54.435,53.965,53.568,53.236,,
Ecuador,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,42.212,42.971,43.711,44.4,45.019,45.565,46.035,46.432,46.764,,
Ecuador,Electronics,Users by Segment,Total,million users,Statista,1.705,2.076,2.473,2.916,3.383,3.834,4.229,4.557,4.89,5.258,5.607
Ecuador,Electronics,Users by Segment,Consumer Electronics,million users,Statista,1.553,1.895,2.26,2.653,3.065,3.454,3.791,4.074,4.362,4.672,4.963
Ecuador,Electronics,Users by Segment,Household Appliances,million users,Statista,1.181,1.436,1.714,2.041,2.393,2.739,3.049,3.301,3.558,3.854,4.138
Ecuador,Electronics,Penetration Rate by Segment,Consumer Electronics,percent,Statista,9.253,11.095,13.01,15.038,17.134,19.068,20.69,21.986,23.278,24.647,25.889
Ecuador,Electronics,Penetration Rate by Segment,Electronics,percent,Statista,10.159,12.151,14.236,16.526,18.911,21.165,23.079,24.589,26.091,27.738,29.246
