Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Egypt,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,25.157,,,,,,
Egypt,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,34.382,,,,,,
Egypt,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,24.738,,,,,,
Egypt,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,12.264,,,,,,
Egypt,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,3.46,,,,,,
Egypt,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,45.493,,,,,,
Egypt,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,54.507,,,,,,
Egypt,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.559,,,,,,
Egypt,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,26.13,,,,,,
Egypt,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,35.311,,,,,,
Egypt,eCommerce,Revenue,Total,billion USD (US$),Statista,1.581,2.045,2.75,4.627,6.567,6.852,8.97,10.75,12.97,14.28,15.76
Egypt,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.186,0.238,0.335,0.605,0.946,1.035,1.333,1.618,1.986,2.197,2.44
Egypt,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.018,0.023,0.032,0.072,0.111,0.12,0.151,0.18,0.216,0.24,0.266
Egypt,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.528,0.676,0.881,1.348,1.8,1.784,2.434,2.948,3.589,3.931,4.334
Egypt,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.312,0.411,0.554,0.938,1.311,1.46,1.918,2.379,2.982,3.267,3.618
Egypt,eCommerce,Revenue,Food,billion USD (US$),Statista,0.039,0.05,0.071,0.152,0.237,0.246,0.298,0.338,0.386,0.429,0.472
Egypt,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.223,0.28,0.372,0.6,0.839,0.774,1.041,1.211,1.41,1.553,1.708
Egypt,eCommerce,Revenue,Media,billion USD (US$),Statista,0.038,0.054,0.073,0.127,0.172,0.197,0.255,0.296,0.338,0.376,0.415
Egypt,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.238,0.313,0.431,0.786,1.15,1.235,1.539,1.781,2.067,2.282,2.509
Egypt,eCommerce,Revenue Change,Total,percent,Statista,,29.349,34.474,68.255,41.928,4.34,30.911,19.844,20.651,10.1,10.364
Egypt,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,28.233,40.882,80.495,56.345,9.385,28.792,21.38,22.744,10.624,11.061
Egypt,eCommerce,Revenue Change,Beverages,percent,Statista,,27.556,40.592,122.181,54.908,7.831,26.461,19.076,20.011,10.947,10.866
Egypt,eCommerce,Revenue Change,Electronics,percent,Statista,,28.155,30.322,52.921,33.531,-0.889,36.435,21.118,21.744,9.529,10.252
Egypt,eCommerce,Revenue Change,Fashion,percent,Statista,,31.721,34.785,69.211,39.825,11.365,31.37,24.035,25.347,9.557,10.744
Egypt,eCommerce,Revenue Change,Food,percent,Statista,,28.759,41.246,116.14,55.577,3.627,21.123,13.575,14.142,11.172,10.166
Egypt,eCommerce,Revenue Change,Furniture,percent,Statista,,25.763,32.655,61.286,40.017,-7.791,34.496,16.33,16.433,10.142,9.981
Egypt,eCommerce,Revenue Change,Media,percent,Statista,,43.032,35.656,74.128,35.647,14.36,29.792,15.864,14.233,11.335,10.367
Egypt,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,31.208,37.852,82.189,46.385,7.391,24.615,15.724,16.058,10.402,9.947
Egypt,eCommerce,Average Revenue per User,Total,USD (US$),Statista,79.05,79.12,79.75,111.9,135.4,122.9,143.7,158.9,177.7,181.4,187.6
Egypt,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,23.74,23.92,26.81,39.56,51.99,47.81,52.81,56.35,61.36,62.08,63.32
Egypt,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,4.578,4.43,4.754,8.396,10.59,9.466,10.19,10.65,11.37,11.47,11.65
Egypt,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,47.32,46.57,46.91,57.16,62.51,51.89,60.68,64.83,70.42,70.28,71.07
Egypt,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,26.69,27.73,29.77,41.09,47.92,45.11,51.14,56.11,62.84,62.97,64.1
Egypt,eCommerce,Average Revenue per User,Food,USD (US$),Statista,10.48,10.24,11.04,18.97,24.03,20.64,21.28,21.23,21.54,21.79,21.98
Egypt,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,50.49,46.57,45.31,55.98,61.42,45.18,50.2,50.46,51.57,51.39,51.44
Egypt,eCommerce,Average Revenue per User,Media,USD (US$),Statista,5.17,5.437,5.671,7.71,8.334,7.798,8.468,8.552,8.626,8.715,8.783
Egypt,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,30.41,29.47,30.12,42.49,49.15,42.61,44.29,44.52,45.5,45.51,45.63
Egypt,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Egypt,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Egypt,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Egypt,eCommerce,Online & Offline Split,Offline,percent,Statista,98.843,98.677,98.411,97.658,96.885,96.649,96.35,95.964,95.515,,
Egypt,eCommerce,Online & Offline Split,Online,percent,Statista,1.157,1.323,1.589,2.342,3.115,3.351,3.65,4.036,4.485,,
Egypt,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,61.899,60.003,59.499,58.649,57.596,56.711,55.707,54.897,54.039,,
Egypt,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,38.101,39.997,40.501,41.351,42.404,43.289,44.293,45.103,45.961,,
Egypt,eCommerce,Users,Total,million users,Statista,19.999,25.848,34.478,41.364,48.485,55.736,62.411,67.645,73.019,78.703,84.041
Egypt,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,7.819,9.949,12.506,15.299,18.2,21.659,25.235,28.717,32.364,35.388,38.539
Egypt,eCommerce,Users,Beverages,million users,Statista,3.933,5.184,6.79,8.542,10.497,12.66,14.877,16.931,19.046,20.931,22.861
Egypt,eCommerce,Users,Electronics,million users,Statista,11.154,14.522,18.791,23.586,28.795,34.39,40.12,45.468,50.969,55.93,60.99
Egypt,eCommerce,Users,Fashion,million users,Statista,11.693,14.826,18.613,22.821,27.353,32.379,37.509,42.407,47.448,51.885,56.438
Egypt,eCommerce,Users,Food,million users,Statista,3.698,4.875,6.385,8.032,9.87,11.904,13.989,15.92,17.909,19.682,21.496
Egypt,eCommerce,Users,Furniture,million users,Statista,4.413,6.016,8.204,10.709,13.667,17.132,20.738,23.989,27.339,30.225,33.207
Egypt,eCommerce,Users,Media,million users,Statista,7.259,9.873,12.841,16.446,20.641,25.226,30.152,34.594,39.168,43.163,47.276
Egypt,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,7.84,10.614,14.316,18.486,23.403,28.985,34.749,40.006,45.421,50.139,54.998
Egypt,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,8.108,10.108,12.458,14.95,17.456,20.403,23.359,26.133,28.967,31.164,33.406
Egypt,eCommerce,Penetration Rate,Beverages,percent,Statista,4.078,5.267,6.764,8.347,10.068,11.926,13.771,15.408,17.047,18.433,19.816
Egypt,eCommerce,Penetration Rate,eCommerce,percent,Statista,20.737,26.262,34.345,40.42,46.505,52.503,57.771,61.558,65.354,69.309,72.847
Egypt,eCommerce,Penetration Rate,Electronics,percent,Statista,11.566,14.755,18.718,23.048,27.619,32.396,37.137,41.377,45.619,49.254,52.866
Egypt,eCommerce,Penetration Rate,Fashion,percent,Statista,12.124,15.064,18.541,22.3,26.236,30.501,34.72,38.591,42.468,45.692,48.921
Egypt,eCommerce,Penetration Rate,Food,percent,Statista,3.835,4.953,6.36,7.849,9.467,11.214,12.949,14.488,16.029,17.333,18.633
Egypt,eCommerce,Penetration Rate,Furniture,percent,Statista,4.575,6.112,8.172,10.465,13.109,16.139,19.196,21.831,24.469,26.617,28.784
Egypt,eCommerce,Penetration Rate,Media,percent,Statista,7.527,10.031,12.791,16.071,19.798,23.763,27.911,31.481,35.056,38.011,40.979
Egypt,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,8.129,10.784,14.26,18.065,22.447,27.304,32.165,36.406,40.654,44.154,47.672
