Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Finland,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.037,,,,,,
Finland,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,23.286,,,,,,
Finland,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.633,,,,,,
Finland,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,20.457,,,,,,
Finland,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,19.587,,,,,,
Finland,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.871,,,,,,
Finland,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.129,,,,,,
Finland,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.851,,,,,,
Finland,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,29.911,,,,,,
Finland,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.238,,,,,,
Finland,eCommerce,Revenue,Total,billion USD (US$),Statista,4.875,5.24,5.655,7.427,8.022,7.394,9.376,10.56,11.92,12.68,13.55
Finland,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.393,0.41,0.428,0.532,0.548,0.553,0.709,0.836,0.985,1.053,1.139
Finland,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.129,0.142,0.158,0.212,0.226,0.221,0.278,0.324,0.384,0.408,0.439
Finland,eCommerce,Revenue,Electronics,billion USD (US$),Statista,1.713,1.845,1.98,2.425,2.555,2.044,2.549,2.656,2.767,2.833,2.899
Finland,eCommerce,Revenue,Fashion,billion USD (US$),Statista,1.14,1.24,1.348,1.811,1.944,1.888,2.324,2.62,2.945,3.159,3.398
Finland,eCommerce,Revenue,Food,billion USD (US$),Statista,0.194,0.214,0.238,0.372,0.416,0.495,0.746,1.031,1.425,1.554,1.74
Finland,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.324,0.356,0.392,0.529,0.575,0.509,0.747,0.884,1.038,1.123,1.225
Finland,eCommerce,Revenue,Media,billion USD (US$),Statista,0.175,0.177,0.179,0.227,0.241,0.21,0.232,0.234,0.236,0.238,0.24
Finland,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.806,0.856,0.934,1.318,1.517,1.475,1.792,1.97,2.141,2.308,2.475
Finland,eCommerce,Revenue Change,Total,percent,Statista,,7.487,7.92,31.335,8.011,-7.828,26.806,12.628,12.879,6.376,6.861
Finland,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,4.144,4.419,24.41,2.913,0.931,28.261,17.859,17.917,6.882,8.167
Finland,eCommerce,Revenue Change,Beverages,percent,Statista,,10.575,10.83,34.772,6.309,-2.17,25.668,16.787,18.322,6.257,7.655
Finland,eCommerce,Revenue Change,Electronics,percent,Statista,,7.706,7.317,22.475,5.361,-20,24.706,4.198,4.179,2.385,2.33
Finland,eCommerce,Revenue Change,Fashion,percent,Statista,,8.772,8.71,34.347,7.344,-2.881,23.093,12.737,12.405,7.267,7.566
Finland,eCommerce,Revenue Change,Food,percent,Statista,,10.572,10.961,56.242,12.053,18.872,50.677,38.204,38.215,9.053,11.969
Finland,eCommerce,Revenue Change,Furniture,percent,Statista,,9.88,10.003,35.223,8.632,-11.511,46.807,18.297,17.447,8.189,9.083
Finland,eCommerce,Revenue Change,Media,percent,Statista,,0.912,1.13,26.704,6.261,-12.863,10.333,1.036,0.683,1.103,0.755
Finland,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,6.214,9.014,41.174,15.099,-2.769,21.492,9.933,8.68,7.8,7.236
Finland,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.446,1.501,1.531,1.932,2.01,1.807,2.27,2.567,2.912,3.072,3.273
Finland,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.288,0.281,0.27,0.312,0.296,0.283,0.348,0.395,0.451,0.466,0.488
Finland,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.171,0.177,0.18,0.223,0.218,0.198,0.233,0.258,0.29,0.293,0.3
Finland,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.853,0.853,0.83,0.922,0.881,0.65,0.759,0.744,0.732,0.707,0.686
Finland,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.563,0.575,0.575,0.712,0.706,0.637,0.735,0.788,0.844,0.86,0.881
Finland,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.275,0.284,0.289,0.415,0.428,0.472,0.667,0.874,1.147,1.186,1.265
