Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
France,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,15.715,,,,,,
France,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,22.442,,,,,,
France,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.668,,,,,,
France,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,21.99,,,,,,
France,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.185,,,,,,
France,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,52.007,,,,,,
France,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,47.993,,,,,,
France,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,33.108,,,,,,
France,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.905,,,,,,
France,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.986,,,,,,
France,eCommerce,Revenue,Total,billion USD (US$),Statista,49.08,53.76,58.89,79.68,92.02,83.74,106.5,119.3,133.8,142.3,151.7
France,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,6.971,7.591,8.25,10.53,11.73,11.31,14.27,16.31,18.65,19.91,21.4
France,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.803,0.889,0.985,1.485,1.846,1.815,2.361,2.818,3.404,3.662,3.985
France,eCommerce,Revenue,Electronics,billion USD (US$),Statista,10.02,11.14,12.32,17.18,20.16,16.56,21.47,23.08,24.71,25.88,27.03
France,eCommerce,Revenue,Fashion,billion USD (US$),Statista,16.36,17.96,19.69,26.26,30.08,28.01,34.01,37.3,40.77,43.39,46.12
France,eCommerce,Revenue,Food,billion USD (US$),Statista,1.571,1.737,1.919,3.081,4.004,4.603,6.909,9.38,12.73,13.83,15.4
France,eCommerce,Revenue,Furniture,billion USD (US$),Statista,4.849,5.383,5.996,8.063,9.313,7.903,11.46,13.21,15.13,16.31,17.65
France,eCommerce,Revenue,Media,billion USD (US$),Statista,1.865,1.861,1.857,2.301,2.411,2.044,2.264,2.269,2.269,2.286,2.297
France,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,6.645,7.198,7.869,10.79,12.48,11.49,13.8,14.93,16.12,16.98,17.87
France,eCommerce,Revenue Change,Total,percent,Statista,,9.535,9.54,35.319,15.482,-8.999,27.237,11.973,12.135,6.33,6.671
France,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,8.902,8.678,27.636,11.387,-3.574,26.156,14.322,14.358,6.757,7.438
France,eCommerce,Revenue Change,Beverages,percent,Statista,,10.791,10.757,50.806,24.283,-1.688,30.128,19.33,20.785,7.598,8.804
France,eCommerce,Revenue Change,Electronics,percent,Statista,,11.194,10.593,39.451,17.331,-17.824,29.638,7.496,7.059,4.732,4.43
France,eCommerce,Revenue Change,Fashion,percent,Statista,,9.794,9.643,33.356,14.542,-6.883,21.438,9.673,9.308,6.42,6.288
France,eCommerce,Revenue Change,Food,percent,Statista,,10.584,10.486,60.561,29.961,14.97,50.073,35.769,35.699,8.637,11.346
France,eCommerce,Revenue Change,Furniture,percent,Statista,,11.018,11.39,34.468,15.511,-15.139,45.062,15.242,14.501,7.791,8.23
France,eCommerce,Revenue Change,Media,percent,Statista,,-0.212,-0.212,23.91,4.777,-15.205,10.759,0.19,0.022,0.75,0.47
France,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,8.316,9.325,37.067,15.739,-7.932,20.039,8.226,7.929,5.378,5.235
France,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.206,1.264,1.32,1.726,1.898,1.668,2.087,2.326,2.596,2.726,2.884
France,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.492,0.499,0.5,0.591,0.612,0.559,0.679,0.752,0.835,0.864,0.904
France,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.105,0.107,0.109,0.149,0.169,0.153,0.186,0.209,0.239,0.243,0.251
France,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.49,0.499,0.498,0.625,0.668,0.51,0.624,0.634,0.644,0.641,0.639
France,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.812,0.818,0.815,0.988,1.041,0.901,1.033,1.087,1.142,1.164,1.191
France,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.219,0.223,0.225,0.329,0.391,0.414,0.579,0.741,0.95,0.975,1.03
