Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Germany,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,12.538,,,,,,
Germany,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,20.969,,,,,,
Germany,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,21.091,,,,,,
Germany,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.268,,,,,,
Germany,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,22.134,,,,,,
Germany,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,48.222,,,,,,
Germany,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,51.778,,,,,,
Germany,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,32.814,,,,,,
Germany,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.597,,,,,,
Germany,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.589,,,,,,
Germany,eCommerce,Revenue,Total,billion USD (US$),Statista,65.3,71.78,79.05,102.4,127.5,115.5,147.6,165.4,185.5,197.7,211.2
Germany,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,7.78,8.994,10.23,12.42,15.42,14.62,18.14,20.41,22.99,24.67,26.51
Germany,eCommerce,Revenue,Beverages,billion USD (US$),Statista,1.146,1.265,1.446,2.058,3.156,3.169,4.185,5.034,6.087,6.625,7.264
Germany,eCommerce,Revenue,Electronics,billion USD (US$),Statista,12.15,13.42,14.9,19.66,24.54,19.73,24.91,26.21,27.52,28.93,30.22
Germany,eCommerce,Revenue,Fashion,billion USD (US$),Statista,18.98,20.6,22.39,27.67,34.38,32.69,40.56,45.47,50.83,54.04,57.58
Germany,eCommerce,Revenue,Food,billion USD (US$),Statista,1.697,1.857,2.057,3.102,4.641,5.271,7.816,10.48,14.05,15.29,17
Germany,eCommerce,Revenue,Furniture,billion USD (US$),Statista,10.09,11.18,12.41,16.61,20.56,17.03,24.1,27.11,30.29,32.35,34.59
Germany,eCommerce,Revenue,Media,billion USD (US$),Statista,3.75,3.989,4.257,5.679,6.36,5.743,6.733,7.092,7.402,7.804,8.172
Germany,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,9.712,10.48,11.36,15.24,18.44,17.29,21.2,23.59,26.3,28.02,29.89
Germany,eCommerce,Revenue Change,Total,percent,Statista,,9.934,10.125,29.577,24.471,-9.389,27.797,12.027,12.137,6.605,6.829
Germany,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,15.605,13.714,21.449,24.124,-5.197,24.104,12.533,12.644,7.28,7.45
Germany,eCommerce,Revenue Change,Beverages,percent,Statista,,10.399,14.269,42.297,53.357,0.418,32.063,20.287,20.919,8.837,9.651
Germany,eCommerce,Revenue Change,Electronics,percent,Statista,,10.529,10.987,31.926,24.875,-19.616,26.238,5.248,4.998,5.124,4.452
Germany,eCommerce,Revenue Change,Fashion,percent,Statista,,8.572,8.688,23.571,24.247,-4.92,24.076,12.114,11.787,6.316,6.56
Germany,eCommerce,Revenue Change,Food,percent,Statista,,9.419,10.778,50.762,49.639,13.579,48.264,34.135,34.061,8.758,11.246
Germany,eCommerce,Revenue Change,Furniture,percent,Statista,,10.746,11.089,33.76,23.817,-17.192,41.556,12.46,11.739,6.825,6.897
Germany,eCommerce,Revenue Change,Media,percent,Statista,,6.38,6.731,33.388,12.004,-9.712,17.252,5.327,4.374,5.434,4.711
Germany,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,7.875,8.415,34.201,20.976,-6.259,22.662,11.249,11.481,6.534,6.693
Germany,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.165,1.228,1.319,1.642,1.974,1.719,2.174,2.426,2.712,2.859,3.032
Germany,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.346,0.373,0.392,0.443,0.518,0.463,0.551,0.597,0.65,0.674,0.703
Germany,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.095,0.097,0.101,0.131,0.185,0.173,0.214,0.245,0.282,0.292,0.306
Germany,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.376,0.38,0.382,0.455,0.515,0.382,0.452,0.449,0.446,0.444,0.44
Germany,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.585,0.585,0.582,0.661,0.755,0.668,0.781,0.837,0.896,0.909,0.929
Germany,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.15,0.151,0.153,0.211,0.289,0.305,0.426,0.543,0.693,0.717,0.762
Germany,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,0.711,0.709,0.705,0.846,0.935,0.706,0.931,0.977,1.023,1.027,1.036
Germany,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.162,0.158,0.154,0.188,0.194,0.164,0.182,0.184,0.185,0.187,0.189
