Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ghana,eCommerce,Revenue,Total,million USD (US$),Statista,194.5,250.8,313.7,478.3,637.9,696.6,898.8,"1,087","1,323","1,453","1,606"
Ghana,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,47.27,57.41,67.32,87.14,106.3,117.3,145.5,168.3,195.4,213,232.6
Ghana,eCommerce,Revenue,Beverages,million USD (US$),Statista,2.241,3.153,4.223,7.873,12.34,13.38,16.76,20.31,24.92,27.39,30.27
Ghana,eCommerce,Revenue,Electronics,million USD (US$),Statista,49.87,62.41,76.03,109.7,137,146.5,195.8,239.4,291.9,320,353.4
Ghana,eCommerce,Revenue,Fashion,million USD (US$),Statista,38.77,53.53,68.76,112.9,157,166.2,208.2,251.1,304.1,334.2,369
Ghana,eCommerce,Revenue,Food,million USD (US$),Statista,12.66,17.19,23.34,47.24,73.53,90.12,125.6,166.8,223.3,246.6,276.9
Ghana,eCommerce,Revenue,Furniture,million USD (US$),Statista,14.22,17.71,22.04,30.29,39.6,39.49,55,66.56,80.21,88,97.09
Ghana,eCommerce,Revenue,Media,million USD (US$),Statista,8.259,11.06,14.33,22.19,28.2,30.5,36.58,40.32,44.9,49.46,53.96
Ghana,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,21.26,28.39,37.71,60.91,84.03,93.06,115.4,134.6,158.2,174.5,192.3
Ghana,eCommerce,Revenue Change,Total,percent,Statista,,28.946,25.08,52.471,33.368,9.202,29.027,20.939,21.711,9.826,10.53
Ghana,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,21.451,17.262,29.441,21.988,10.348,24.041,15.67,16.102,9.007,9.202
Ghana,eCommerce,Revenue Change,Beverages,percent,Statista,,40.696,33.936,86.431,56.738,8.428,25.262,21.181,22.698,9.912,10.515
Ghana,eCommerce,Revenue Change,Electronics,percent,Statista,,25.145,21.823,44.285,24.886,6.934,33.652,22.268,21.93,9.627,10.437
Ghana,eCommerce,Revenue Change,Fashion,percent,Statista,,38.071,28.451,64.194,39.061,5.86,25.271,20.605,21.107,9.898,10.413
Ghana,eCommerce,Revenue Change,Food,percent,Statista,,35.782,35.777,102.399,55.652,22.562,39.37,32.803,33.873,10.434,12.287
Ghana,eCommerce,Revenue Change,Furniture,percent,Statista,,24.543,24.449,37.432,30.736,-0.278,39.276,21.018,20.508,9.712,10.33
Ghana,eCommerce,Revenue Change,Media,percent,Statista,,33.915,29.566,54.85,27.084,8.156,19.934,10.224,11.359,10.156,9.098
Ghana,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,33.537,32.828,61.522,37.958,10.746,24.006,16.638,17.533,10.303,10.201
Ghana,eCommerce,Average Revenue per User,Total,USD (US$),Statista,57.9,59.31,56.49,72.21,82.04,78.45,91.29,102,115.1,117.6,121.8
