Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Greece,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.851,,,,,,
Greece,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,20.825,,,,,,
Greece,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,26.621,,,,,,
Greece,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.379,,,,,,
Greece,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,15.324,,,,,,
Greece,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,49.607,,,,,,
Greece,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,50.393,,,,,,
Greece,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.72,,,,,,
Greece,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,33.137,,,,,,
Greece,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,29.142,,,,,,
Greece,eCommerce,Revenue,Total,million USD (US$),Statista,"1,760","2,035","2,368","3,244","4,259","3,803","5,017","5,661","6,380","6,916","7,486"
Greece,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,309.3,391.9,490.8,666.4,893.4,800.3,997.3,"1,100","1,218","1,309","1,401"
Greece,eCommerce,Revenue,Beverages,million USD (US$),Statista,10.44,12.62,15.24,19.55,26.86,24.48,31.04,34.88,39.36,42.4,45.69
Greece,eCommerce,Revenue,Electronics,million USD (US$),Statista,403.4,449.7,504.3,685.1,897.2,754,"1,092","1,260","1,451","1,579","1,722"
Greece,eCommerce,Revenue,Fashion,million USD (US$),Statista,688.6,771.9,873.7,"1,156","1,475","1,379","1,787","2,040","2,325","2,521","2,737"
