Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Hong Kong,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,11.579,,,,,,
Hong Kong,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,25.848,,,,,,
Hong Kong,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.602,,,,,,
Hong Kong,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,26.199,,,,,,
Hong Kong,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,8.772,,,,,,
Hong Kong,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,52.749,,,,,,
Hong Kong,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,47.251,,,,,,
Hong Kong,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,33.019,,,,,,
Hong Kong,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.48,,,,,,
Hong Kong,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.501,,,,,,
Hong Kong,eCommerce,Revenue,Total,billion USD (US$),Statista,12.82,14.18,15.31,19.61,22.21,22.33,28.68,32.91,37.56,40.33,43.49
Hong Kong,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.669,0.732,0.8,0.967,1.106,1.149,1.493,1.773,2.069,2.238,2.436
Hong Kong,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.194,0.218,0.256,0.335,0.402,0.447,0.604,0.744,0.912,0.994,1.095
Hong Kong,eCommerce,Revenue,Electronics,billion USD (US$),Statista,1.901,2.016,2.12,2.714,2.837,2.369,2.909,3.038,3.153,3.249,3.343
Hong Kong,eCommerce,Revenue,Fashion,billion USD (US$),Statista,6.63,7.331,7.846,9.633,11.08,11.83,15.35,17.96,20.81,22.48,24.39
Hong Kong,eCommerce,Revenue,Food,billion USD (US$),Statista,0.883,0.983,1.049,1.56,1.931,1.801,2.066,2.128,2.192,2.299,2.384
Hong Kong,eCommerce,Revenue,Furniture,billion USD (US$),Statista,1.464,1.582,1.707,2.337,2.402,2.181,3.053,3.617,4.291,4.613,5.014
Hong Kong,eCommerce,Revenue,Media,billion USD (US$),Statista,0.174,0.209,0.227,0.306,0.35,0.335,0.388,0.41,0.428,0.45,0.469
Hong Kong,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.9,1.106,1.3,1.761,2.103,2.216,2.823,3.24,3.7,4.015,4.356
Hong Kong,eCommerce,Revenue Change,Total,percent,Statista,,10.608,7.969,28.086,13.259,0.54,28.437,14.749,14.129,7.375,7.835
Hong Kong,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,9.382,9.273,20.91,14.327,3.888,29.939,18.754,16.695,8.168,8.847
Hong Kong,eCommerce,Revenue Change,Beverages,percent,Statista,,12.693,17.125,30.923,20.006,11.247,35.115,23.092,22.62,9.026,10.15
Hong Kong,eCommerce,Revenue Change,Electronics,percent,Statista,,6.049,5.159,28.019,4.532,-16.496,22.794,4.435,3.785,3.045,2.893
Hong Kong,eCommerce,Revenue Change,Fashion,percent,Statista,,10.573,7.025,22.776,15.021,6.769,29.755,17.003,15.869,8.025,8.496
Hong Kong,eCommerce,Revenue Change,Food,percent,Statista,,11.252,6.736,48.713,23.782,-6.732,14.714,3.001,3.008,4.881,3.697
Hong Kong,eCommerce,Revenue Change,Furniture,percent,Statista,,8.06,7.901,36.907,2.781,-9.201,39.982,18.474,18.634,7.504,8.693
Hong Kong,eCommerce,Revenue Change,Media,percent,Statista,,20.264,8.353,35.022,14.356,-4.394,15.816,5.54,4.59,5.089,4.22
Hong Kong,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,22.821,17.541,35.462,19.421,5.373,27.392,14.772,14.198,8.514,8.493
Hong Kong,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,2.975,2.924,2.605,3.255,3.438,3.828,4.731,5.242,5.781,6.158,6.572
Hong Kong,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.596,0.524,0.501,0.535,0.53,0.562,0.658,0.719,0.776,0.799,0.83
Hong Kong,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.439,0.349,0.319,0.332,0.326,0.361,0.426,0.47,0.521,0.53,0.546
Hong Kong,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,1.284,1.051,0.915,0.974,0.862,0.732,0.805,0.768,0.732,0.716,0.7
Hong Kong,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,5.203,4.117,3.548,3.574,3.405,3.647,4.203,4.462,4.729,4.82,4.953
Hong Kong,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,2.127,1.669,1.391,1.645,1.668,1.545,1.55,1.43,1.333,1.303,1.264
Hong Kong,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,4.173,2.454,1.813,1.848,1.464,1.274,1.54,1.615,1.717,1.703,1.719
Hong Kong,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.149,0.147,0.136,0.158,0.156,0.154,0.163,0.157,0.152,0.152,0.152
Hong Kong,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",thousand USD (US$),Statista,1.605,1.008,0.808,0.807,0.744,0.75,0.818,0.832,0.852,0.853,0.86
Hong Kong,eCommerce,Comparable Estimates - eCommerce (Hong Kong),*Statista,billion USD (US$),,12.82,14.18,15.31,19.61,22.21,22.33,28.68,32.91,37.56,40.33,43.49
Hong Kong,eCommerce,Comparable Estimates - eCommerce (Hong Kong),UNCTAD,billion USD (US$),,,,38,,,,,,,,
Hong Kong,eCommerce,Online & Offline Split,Offline,percent,Statista,85.264,84.541,83.843,78.994,77.328,75.674,73.423,70.772,67.914,,
Hong Kong,eCommerce,Online & Offline Split,Online,percent,Statista,14.736,15.459,16.157,21.006,22.672,24.326,26.577,29.228,32.086,,
Hong Kong,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,61.402,61.006,61.004,60.874,60.484,60.432,60.407,60.468,60.592,,
Hong Kong,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,38.598,38.994,38.996,39.126,39.516,39.568,39.593,39.532,39.408,,
Hong Kong,eCommerce,Users,Total,million users,Statista,4.308,4.849,5.876,6.026,6.461,5.834,6.062,6.279,6.497,6.55,6.618
Hong Kong,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,1.123,1.398,1.598,1.807,2.085,2.046,2.269,2.466,2.666,2.8,2.937
Hong Kong,eCommerce,Users,Beverages,million users,Statista,0.442,0.626,0.802,1.009,1.231,1.24,1.418,1.583,1.749,1.877,2.006
Hong Kong,eCommerce,Users,Electronics,million users,Statista,1.48,1.919,2.318,2.786,3.292,3.236,3.611,3.956,4.305,4.539,4.777
Hong Kong,eCommerce,Users,Fashion,million users,Statista,1.274,1.781,2.211,2.695,3.255,3.244,3.651,4.025,4.401,4.663,4.926
Hong Kong,eCommerce,Users,Food,million users,Statista,0.415,0.589,0.754,0.949,1.158,1.166,1.333,1.488,1.645,1.765,1.886
Hong Kong,eCommerce,Users,Furniture,million users,Statista,0.351,0.645,0.942,1.265,1.64,1.712,1.982,2.239,2.5,2.709,2.918
Hong Kong,eCommerce,Users,Media,million users,Statista,1.171,1.428,1.664,1.942,2.253,2.171,2.389,2.603,2.82,2.952,3.09
Hong Kong,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,0.561,1.097,1.61,2.183,2.828,2.957,3.449,3.893,4.341,4.706,5.067
Hong Kong,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,15.372,18.97,21.492,24.101,27.604,26.907,29.641,32.017,34.381,35.84,37.322
Hong Kong,eCommerce,Penetration Rate,Beverages,percent,Statista,6.045,8.497,10.788,13.456,16.3,16.307,18.522,20.544,22.558,24.028,25.494
Hong Kong,eCommerce,Penetration Rate,eCommerce,percent,Statista,58.959,65.778,79.015,80.378,85.543,76.718,79.21,81.508,83.777,83.856,84.11
Hong Kong,eCommerce,Penetration Rate,Electronics,percent,Statista,20.262,26.031,31.172,37.156,43.586,42.561,47.187,51.359,55.504,58.108,60.704
Hong Kong,eCommerce,Penetration Rate,Fashion,percent,Statista,17.441,24.156,29.737,35.951,43.097,42.663,47.708,52.255,56.744,59.692,62.597
Hong Kong,eCommerce,Penetration Rate,Food,percent,Statista,5.684,7.99,10.144,12.653,15.327,15.334,17.416,19.317,21.211,22.593,23.972
Hong Kong,eCommerce,Penetration Rate,Furniture,percent,Statista,4.801,8.743,12.663,16.871,21.72,22.511,25.9,29.07,32.23,34.683,37.082
Hong Kong,eCommerce,Penetration Rate,Media,percent,Statista,16.029,19.374,22.38,25.909,29.828,28.546,31.216,33.793,36.357,37.789,39.265
Hong Kong,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,7.681,14.88,21.646,29.122,37.448,38.88,45.069,50.536,55.978,60.248,64.394
Hong Kong,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.471,,,,,,
Hong Kong,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,25.702,,,,,,
Hong Kong,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,26.782,,,,,,
Hong Kong,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,25.486,,,,,,
Hong Kong,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,7.56,,,,,,
Hong Kong,Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,40.389,,,,,,
Hong Kong,Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,59.611,,,,,,
