Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Hungary,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,15.168,,,,,,
Hungary,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,24.339,,,,,,
Hungary,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.75,,,,,,
Hungary,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.751,,,,,,
Hungary,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,11.993,,,,,,
Hungary,Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,44.974,,,,,,
Hungary,Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,55.026,,,,,,
Hungary,Electronics,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.269,,,,,,
Hungary,Electronics,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,24.601,,,,,,
Hungary,Electronics,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,37.13,,,,,,
Hungary,Electronics,Revenue,Total,billion USD (US$),Statista,0.319,0.448,0.626,0.995,1.416,1.196,1.814,2.149,2.539,2.806,3.1
Hungary,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,0.234,0.336,0.475,0.756,1.08,0.864,1.33,1.543,1.781,1.971,2.173
Hungary,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,0.085,0.112,0.151,0.239,0.336,0.332,0.484,0.606,0.758,0.835,0.928
Hungary,Electronics,Revenue Change,Total,percent,Statista,,40.423,39.853,58.999,42.273,-15.523,51.65,18.469,18.168,10.513,10.49
Hungary,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,43.533,41.497,59.194,42.789,-20.044,53.945,16.043,15.462,10.661,10.206
Hungary,Electronics,Revenue Change,Household Appliances,percent,Statista,,31.832,34.91,58.385,40.634,-0.967,45.685,25.131,25.062,10.164,11.161
Hungary,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,154.3,189.9,228.9,316.7,399.8,304.5,425.5,474.8,530.6,551.9,578.3
Hungary,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,122,154,189.2,264.5,340,249.8,360.3,399,440.6,465.4,493
Hungary,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,61.56,70.32,80.27,108.5,132,114.3,149.5,172.8,200.9,204.7,212.2
Hungary,Electronics,Online & Offline Split,Offline,percent,Statista,88.443,84.031,78.107,68.016,57.291,48.43,40.723,31.754,22.673,,
Hungary,Electronics,Online & Offline Split,Online,percent,Statista,11.557,15.969,21.893,31.984,42.709,51.57,59.277,68.246,77.327,,
Hungary,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,72.518,68.233,64.034,60.406,58.07,56.703,55.596,55.173,54.763,,
Hungary,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,27.482,31.767,35.966,39.594,41.93,43.297,44.404,44.827,45.237,,
Hungary,Electronics,Users by Segment,Total,million users,Statista,2.065,2.356,2.734,3.142,3.541,3.928,4.263,4.525,4.785,5.084,5.361
Hungary,Electronics,Users by Segment,Consumer Electronics,million users,Statista,1.918,2.181,2.511,2.86,3.177,3.457,3.69,3.867,4.043,4.235,4.406
Hungary,Electronics,Users by Segment,Household Appliances,million users,Statista,1.376,1.588,1.877,2.2,2.543,2.908,3.239,3.506,3.771,4.077,4.372
Hungary,Electronics,Penetration Rate by Segment,Consumer Electronics,percent,Statista,19.717,22.467,25.933,29.602,32.978,35.988,38.528,40.51,42.497,44.67,46.64
Hungary,Electronics,Penetration Rate by Segment,Electronics,percent,Statista,21.227,24.272,28.231,32.529,36.755,40.891,44.509,47.402,50.292,53.619,56.742
Hungary,Electronics,Penetration Rate by Segment,Household Appliances,percent,Statista,14.14,16.358,19.378,22.77,26.392,30.269,33.818,36.725,39.636,42.999,46.273
Hungary,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.139,,,,,,
Hungary,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,22.732,,,,,,
Hungary,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,26.382,,,,,,
Hungary,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.836,,,,,,
Hungary,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,14.911,,,,,,
Hungary,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,51.721,,,,,,
Hungary,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,48.279,,,,,,
Hungary,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.705,,,,,,
Hungary,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.591,,,,,,
Hungary,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,35.705,,,,,,
Hungary,eCommerce,Revenue,Total,million USD (US$),Statista,"1,269","1,622","2,090","3,070","4,084","3,603","5,149","6,038","7,076","7,757","8,516"
Hungary,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,203.8,277.7,377.4,550.3,757.3,689.9,927,"1,073","1,246","1,370","1,503"
Hungary,eCommerce,Revenue,Beverages,million USD (US$),Statista,10.15,14.13,19.75,32.27,46.79,40.88,52.52,57.96,63.94,69.46,74.84
