Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Iceland,eCommerce,Revenue,Total,million USD (US$),Statista,413.8,468.1,525.3,712.7,806,781.8,"1,002","1,149","1,320","1,419","1,533"
Iceland,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,34.63,39.21,44.47,56.69,67.58,70.75,91.57,107,125.3,136.1,148.6
Iceland,eCommerce,Revenue,Beverages,million USD (US$),Statista,30.24,34.74,38.88,63.43,63.62,75.02,101.1,125.7,156.8,171.2,189.2
Iceland,eCommerce,Revenue,Electronics,million USD (US$),Statista,86.7,92.73,100,123.9,132.9,108.7,132.5,137.7,142.6,146.2,149.7
Iceland,eCommerce,Revenue,Fashion,million USD (US$),Statista,96.95,115.4,134,193.1,223.5,223.4,283.6,332.2,386.8,420.7,459.2
Iceland,eCommerce,Revenue,Food,million USD (US$),Statista,49.97,55.36,61,80.12,94.52,87.93,100.6,102.7,104.8,108.8,111.9
Iceland,eCommerce,Revenue,Furniture,million USD (US$),Statista,70.76,79.07,88.62,116.8,132.3,124,178,214.4,257.3,279,305.6
Iceland,eCommerce,Revenue,Media,million USD (US$),Statista,8.563,9.42,9.813,12.76,13.99,12.92,14.51,14.84,15.07,15.49,15.8
Iceland,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,35.97,42.09,48.47,65.97,77.53,79.14,99.6,114.3,131.1,141.7,153.5
Iceland,eCommerce,Revenue Change,Total,percent,Statista,,13.122,12.22,35.675,13.091,-3.002,28.166,14.671,14.883,7.5,8.034
Iceland,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,13.226,13.415,27.479,19.21,4.691,29.428,16.85,17.103,8.619,9.184
Iceland,eCommerce,Revenue Change,Beverages,percent,Statista,,14.881,11.917,63.143,0.3,17.919,34.764,24.332,24.741,9.184,10.514
Iceland,eCommerce,Revenue Change,Electronics,percent,Statista,,6.955,7.84,23.9,7.264,-18.209,21.895,3.925,3.558,2.525,2.394
Iceland,eCommerce,Revenue Change,Fashion,percent,Statista,,19.03,16.118,44.104,15.743,-0.045,26.947,17.137,16.436,8.764,9.151
Iceland,eCommerce,Revenue Change,Food,percent,Statista,,10.786,10.188,31.344,17.973,-6.972,14.409,2.087,2.045,3.817,2.849
Iceland,eCommerce,Revenue Change,Furniture,percent,Statista,,11.744,12.078,31.799,13.271,-6.274,43.548,20.449,20.009,8.434,9.534
Iceland,eCommerce,Revenue Change,Media,percent,Statista,,10.008,4.172,30.032,9.639,-7.648,12.307,2.274,1.55,2.787,2.001
Iceland,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,17.014,15.158,36.105,17.523,2.077,25.853,14.759,14.698,8.085,8.327
