Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
India,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,30.315,,,,,,
India,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,37.908,,,,,,
India,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.301,,,,,,
India,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,5.7,,,,,,
India,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,0.774,,,,,,
India,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,41.003,,,,,,
India,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,58.997,,,,,,
India,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,33.553,,,,,,
India,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.465,,,,,,
India,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.982,,,,,,
India,eCommerce,Revenue,Total,billion USD (US$),Statista,28.77,36.28,45.77,64.77,85.42,88.29,113.5,135.1,162.1,175.5,191.4
India,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,1.134,1.599,2.184,3.065,3.927,4.349,5.504,6.684,8.225,8.959,9.85
India,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.372,0.53,0.735,1.082,1.542,1.61,1.927,2.228,2.629,2.831,3.065
India,eCommerce,Revenue,Electronics,billion USD (US$),Statista,4.136,5.47,7.158,10.36,12.36,11.83,15.05,17.37,20.25,21.82,23.59
India,eCommerce,Revenue,Fashion,billion USD (US$),Statista,3.761,5.373,7.488,11.77,16.85,18.51,23.11,27.54,33.09,36.01,39.42
India,eCommerce,Revenue,Food,billion USD (US$),Statista,1.928,2.753,3.82,7.583,11.35,13.65,18.65,24.3,31.93,34.91,38.83
India,eCommerce,Revenue,Furniture,billion USD (US$),Statista,13.47,15.65,18.33,22.12,28.4,26.53,35.11,40.85,47.7,51.1,55.14
India,eCommerce,Revenue,Media,billion USD (US$),Statista,1.222,1.592,2.03,3.087,3.8,4.026,4.656,4.973,5.21,5.729,6.182
India,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,2.746,3.311,4.025,5.704,7.191,7.787,9.541,11.13,13.09,14.15,15.36
India,eCommerce,Revenue Change,Total,percent,Statista,,26.104,26.158,41.512,31.882,3.36,28.554,19.031,19.985,8.267,9.06
India,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,41.005,36.585,40.339,28.124,10.746,26.558,21.439,23.055,8.924,9.945
India,eCommerce,Revenue Change,Beverages,percent,Statista,,42.581,38.631,47.151,42.514,4.41,19.689,15.62,17.998,7.684,8.266
India,eCommerce,Revenue Change,Electronics,percent,Statista,,32.253,30.859,44.733,19.305,-4.288,27.219,15.415,16.58,7.753,8.112
India,eCommerce,Revenue Change,Fashion,percent,Statista,,42.861,39.363,57.185,43.161,9.852,24.851,19.169,20.153,8.824,9.47
India,eCommerce,Revenue Change,Food,percent,Statista,,42.79,38.758,98.508,49.677,20.264,36.63,30.295,31.399,9.333,11.229
India,eCommerce,Revenue Change,Furniture,percent,Statista,,16.184,17.125,20.676,28.391,-6.585,32.341,16.349,16.769,7.128,7.906
India,eCommerce,Revenue Change,Media,percent,Statista,,30.278,27.513,52.069,23.097,5.947,15.648,6.808,4.766,9.962,7.907
India,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,20.575,21.564,41.714,26.069,8.288,22.525,16.654,17.61,8.098,8.551
India,eCommerce,Average Revenue per User,Total,USD (US$),Statista,89.47,96.02,91.91,118.1,132.7,119.4,137.9,152.7,170.9,171.8,175.6
India,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,19.81,20.14,18.08,19.66,20.69,19.35,21.2,23.02,25.45,25.16,25.34
India,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,10.74,11.39,10.54,12.43,14.22,12.18,12.42,12.68,13.3,12.99,12.85
India,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,41.7,41.46,36.85,43.12,42.25,34.2,37.81,39.17,41.24,40.41,40.12
India,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,33.64,38.18,38.21,50.59,61.32,57.77,63.53,68.2,74.16,73.87,74.57
India,eCommerce,Average Revenue per User,Food,USD (US$),Statista,59.22,62.88,58.21,92.63,111.3,109.9,127.8,147.1,171.8,170.3,173.1
India,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,380.3,306,222.4,202.6,196.8,144.5,155.8,155.7,157.8,152.2,148.9
India,eCommerce,Average Revenue per User,Media,USD (US$),Statista,22.48,20.26,16.04,18.42,17.15,14.28,13.45,12.34,11.22,11.11,10.87
India,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,41.67,35.73,27.73,30.27,29.52,25.46,25.83,26.18,27,26.31,25.96
India,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,15.176,14.746,16,16.121,15.99,16.059,16.215,16.384,16.554,,
