Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ireland,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.533,,,,,,
Ireland,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,21.138,,,,,,
Ireland,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.744,,,,,,
Ireland,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.154,,,,,,
Ireland,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,14.431,,,,,,
Ireland,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,52.337,,,,,,
Ireland,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,47.663,,,,,,
Ireland,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,32.967,,,,,,
Ireland,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,33.211,,,,,,
Ireland,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.822,,,,,,
Ireland,eCommerce,Revenue,Total,billion USD (US$),Statista,2.942,3.475,4.103,5.578,7.017,6.721,8.668,9.995,11.54,12.51,13.59
Ireland,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.321,0.364,0.41,0.511,0.599,0.64,0.846,1.041,1.282,1.39,1.528
Ireland,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.142,0.171,0.204,0.262,0.327,0.318,0.385,0.436,0.498,0.531,0.569
Ireland,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.547,0.647,0.741,0.982,1.208,1.018,1.284,1.367,1.464,1.553,1.639
Ireland,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.99,1.103,1.223,1.602,2.031,2.051,2.553,2.95,3.399,3.674,3.986
Ireland,eCommerce,Revenue,Food,billion USD (US$),Statista,0.101,0.126,0.145,0.218,0.269,0.314,0.45,0.601,0.802,0.878,0.981
Ireland,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.378,0.53,0.766,1.138,1.5,1.307,1.837,2.109,2.406,2.653,2.912
Ireland,eCommerce,Revenue,Media,billion USD (US$),Statista,0.109,0.112,0.116,0.15,0.163,0.147,0.163,0.167,0.169,0.173,0.176
Ireland,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.353,0.422,0.499,0.714,0.92,0.927,1.151,1.325,1.524,1.658,1.804
Ireland,eCommerce,Revenue Change,Total,percent,Statista,,18.117,18.072,35.949,25.798,-4.218,28.969,15.309,15.458,8.406,8.633
Ireland,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,13.383,12.49,24.719,17.14,6.882,32.146,23.108,23.151,8.424,9.928
Ireland,eCommerce,Revenue Change,Beverages,percent,Statista,,20.141,19.578,28.382,24.78,-2.723,20.981,13.313,14.204,6.651,7.234
Ireland,eCommerce,Revenue Change,Electronics,percent,Statista,,18.325,14.544,32.438,23.077,-15.728,26.13,6.464,7.096,6.079,5.538
Ireland,eCommerce,Revenue Change,Fashion,percent,Statista,,11.369,10.879,30.989,26.779,0.985,24.476,15.55,15.22,8.091,8.492
Ireland,eCommerce,Revenue Change,Food,percent,Statista,,24.257,15.458,50.725,23.214,16.499,43.636,33.489,33.472,9.435,11.731
Ireland,eCommerce,Revenue Change,Furniture,percent,Statista,,40.307,44.526,48.622,31.81,-12.867,40.551,14.807,14.083,10.266,9.763
Ireland,eCommerce,Revenue Change,Media,percent,Statista,,2.836,3.47,29.063,8.794,-9.798,10.591,2.21,1.622,2.246,1.734
Ireland,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,19.525,18.063,43.232,28.867,0.75,24.11,15.117,15.019,8.793,8.806
Ireland,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.043,1.164,1.291,1.662,1.992,1.751,2.212,2.538,2.917,3.095,3.317
Ireland,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.275,0.296,0.315,0.363,0.395,0.392,0.489,0.574,0.676,0.699,0.734
Ireland,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.239,0.263,0.286,0.333,0.379,0.341,0.385,0.411,0.444,0.448,0.456
Ireland,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.342,0.369,0.381,0.453,0.502,0.387,0.454,0.453,0.456,0.455,0.454
Ireland,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.621,0.635,0.642,0.763,0.885,0.822,0.952,1.042,1.139,1.163,1.197
Ireland,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.181,0.206,0.216,0.296,0.332,0.357,0.479,0.604,0.762,0.788,0.836
Ireland,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,0.539,0.678,0.872,1.156,1.351,1.066,1.386,1.474,1.565,1.617,1.669
Ireland,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.096,0.09,0.085,0.099,0.098,0.083,0.086,0.084,0.081,0.079,0.077
Ireland,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",thousand USD (US$),Statista,0.291,0.311,0.328,0.42,0.485,0.441,0.503,0.54,0.582,0.593,0.608
Ireland,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,10.901,10.802,10.733,10.638,10.296,10.032,9.77,9.524,9.278,,
Ireland,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,36.735,37.311,37.531,37.749,37.145,36.802,36.461,36.109,35.758,,
Ireland,eCommerce,Revenue Share Payment Types,Cash on delivery,percent,Statista,9.133,9.05,8.452,7.893,7.21,6.67,6.206,5.803,5.399,,
Ireland,eCommerce,Revenue Share Payment Types,Direct debits,percent,Statista,14.066,13.938,13.85,13.727,13.285,12.945,12.607,12.289,11.971,,
Ireland,eCommerce,Revenue Share Payment Types,E-Invoice,percent,Statista,0.456,0.452,0.467,0.48,0.48,0.481,0.482,0.482,0.482,,
Ireland,eCommerce,Revenue Share Payment Types,E-wallet,percent,Statista,20.185,20.001,20.678,21.277,23.615,25.302,26.91,28.42,29.929,,
Ireland,eCommerce,Revenue Share Payment Types,Other,percent,Statista,8.524,8.447,8.289,8.236,7.971,7.767,7.564,7.373,7.183,,
Ireland,eCommerce,Revenue Share Cross-border,Cross-border,percent,Statista|ecommercedb.com,26.464,26.731,27,27.216,27.391,27.532,27.646,27.737,27.81,,
Ireland,eCommerce,Revenue Share Cross-border,Domestic,percent,Statista|ecommercedb.com,73.536,73.269,73,72.784,72.609,72.468,72.354,72.263,72.19,,
Ireland,eCommerce,Comparable Estimates - eCommerce (Ireland),*Statista,billion USD (US$),,2.942,3.475,4.103,5.578,7.017,6.721,8.668,9.995,11.54,12.51,13.59
Ireland,eCommerce,Comparable Estimates - eCommerce (Ireland),UNCTAD,billion USD (US$),,,,25,,,,,,,,
Ireland,eCommerce,Online & Offline Split,Offline,percent,Statista,91.504,90.352,88.943,84.651,81.259,80.032,78.041,75.735,73.233,,
Ireland,eCommerce,Online & Offline Split,Online,percent,Statista,8.496,9.648,11.057,15.349,18.741,19.968,21.959,24.265,26.767,,
Ireland,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,66.184,62.158,59.768,57.382,55.652,53.417,51.129,48.952,46.661,,
Ireland,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,33.816,37.842,40.232,42.618,44.348,46.583,48.871,51.048,53.339,,
Ireland,eCommerce,Users,Total,million users,Statista,2.821,2.985,3.178,3.356,3.522,3.837,3.918,3.938,3.958,4.042,4.099
Ireland,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,1.168,1.229,1.302,1.407,1.516,1.632,1.73,1.814,1.896,1.99,2.08
Ireland,eCommerce,Users,Beverages,million users,Statista,0.594,0.648,0.713,0.786,0.862,0.934,1,1.059,1.12,1.186,1.25
Ireland,eCommerce,Users,Electronics,million users,Statista,1.599,1.754,1.947,2.169,2.407,2.629,2.828,3.019,3.213,3.414,3.612
Ireland,eCommerce,Users,Fashion,million users,Statista,1.595,1.737,1.905,2.099,2.294,2.495,2.681,2.832,2.984,3.159,3.329
Ireland,eCommerce,Users,Food,million users,Statista,0.558,0.61,0.671,0.739,0.81,0.878,0.94,0.996,1.053,1.114,1.174
Ireland,eCommerce,Users,Furniture,million users,Statista,0.7,0.781,0.878,0.985,1.11,1.225,1.325,1.43,1.538,1.641,1.745
Ireland,eCommerce,Users,Media,million users,Statista,1.143,1.248,1.374,1.512,1.659,1.781,1.889,1.983,2.077,2.179,2.274
Ireland,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,1.216,1.357,1.523,1.7,1.896,2.103,2.288,2.452,2.618,2.795,2.968
Ireland,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,24.564,25.513,26.661,28.492,30.434,32.503,34.243,35.71,37.113,38.724,40.261
Ireland,eCommerce,Penetration Rate,Beverages,percent,Statista,12.493,13.456,14.613,15.908,17.291,18.597,19.794,20.852,21.917,23.073,24.184
Ireland,eCommerce,Penetration Rate,eCommerce,percent,Statista,59.345,61.95,65.082,67.956,70.688,76.441,77.555,77.511,77.466,78.655,79.331
Ireland,eCommerce,Penetration Rate,Electronics,percent,Statista,33.643,36.404,39.878,43.925,48.312,52.368,55.975,59.424,62.883,66.446,69.915
Ireland,eCommerce,Penetration Rate,Fashion,percent,Statista,33.561,36.042,39.023,42.501,46.042,49.693,53.071,55.738,58.4,61.489,64.423
Ireland,eCommerce,Penetration Rate,Food,percent,Statista,11.747,12.652,13.74,14.958,16.259,17.486,18.612,19.607,20.609,21.684,22.718
Ireland,eCommerce,Penetration Rate,Furniture,percent,Statista,14.727,16.207,17.987,19.944,22.28,24.411,26.227,28.156,30.097,31.944,33.776
Ireland,eCommerce,Penetration Rate,Media,percent,Statista,24.054,25.907,28.135,30.629,33.292,35.471,37.398,39.022,40.658,42.398,44.005
Ireland,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,25.573,28.167,31.185,34.428,38.056,41.881,45.289,48.263,51.249,54.389,57.435
Ireland,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,15.091,,,,,,
Ireland,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,20.73,,,,,,
Ireland,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.695,,,,,,
Ireland,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.217,,,,,,
Ireland,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,13.267,,,,,,
Ireland,Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,49.917,,,,,,
Ireland,Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,50.083,,,,,,
Ireland,Electronics,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.598,,,,,,
Ireland,Electronics,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.756,,,,,,
Ireland,Electronics,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.646,,,,,,
Ireland,Electronics,Revenue,Total,billion USD (US$),Statista,0.547,0.647,0.741,0.982,1.208,1.018,1.284,1.367,1.464,1.553,1.639
Ireland,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,0.363,0.45,0.519,0.716,0.857,0.683,0.889,0.934,0.99,1.043,1.092
Ireland,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,0.184,0.197,0.222,0.266,0.351,0.335,0.395,0.433,0.474,0.51,0.547
Ireland,Electronics,Revenue Change,Total,percent,Statista,,18.325,14.544,32.438,23.077,-15.728,26.13,6.464,7.096,6.079,5.538
Ireland,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,23.884,15.521,37.786,19.754,-20.369,30.179,5.087,6.061,5.311,4.698
Ireland,Electronics,Revenue Change,Household Appliances,percent,Statista,,7.345,12.316,19.901,32.104,-4.501,17.87,9.593,9.469,7.637,7.272
Ireland,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,341.9,368.8,380.6,452.5,501.9,387.1,454,452.7,455.8,454.8,453.7
Ireland,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,243.3,276.1,289.8,362.7,395.9,293.7,360.4,354.1,352.3,350.9,348.4
Ireland,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,175.3,168.7,166.6,175,203.2,172.7,184.8,189.3,194.4,195,196.3
Ireland,Electronics,Comparable Estimates - eCommerce (Ireland),*Statista,billion USD (US$),,2.942,3.475,4.103,5.578,7.017,6.721,8.668,9.995,11.54,12.51,13.59
Ireland,Electronics,Comparable Estimates - eCommerce (Ireland),UNCTAD,billion USD (US$),,,,25,,,,,,,,
