Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Italy,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.05,,,,,,
Italy,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,19.731,,,,,,
Italy,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.993,,,,,,
Italy,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,26.359,,,,,,
Italy,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.866,,,,,,
Italy,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,49.819,,,,,,
Italy,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,50.181,,,,,,
Italy,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,32.852,,,,,,
Italy,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,30.618,,,,,,
Italy,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,36.531,,,,,,
Italy,eCommerce,Revenue,Total,billion USD (US$),Statista,17.32,20.84,25.12,36.82,47.37,45.19,60.14,70.45,82.6,89.2,96.79
Italy,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,1.98,2.518,3.199,4.6,5.981,5.943,7.742,9.157,10.86,11.73,12.75
Italy,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.322,0.407,0.511,0.735,1.02,0.937,1.128,1.232,1.35,1.446,1.543
Italy,eCommerce,Revenue,Electronics,billion USD (US$),Statista,4.309,5.187,6.217,9.141,11.73,9.983,13.52,15.1,16.83,18.08,19.38
Italy,eCommerce,Revenue,Fashion,billion USD (US$),Statista,5.973,7.132,8.541,12.38,15.78,16.51,22.56,27.87,34.35,37.18,40.73
Italy,eCommerce,Revenue,Food,billion USD (US$),Statista,0.781,0.972,1.21,2.097,3.048,2.817,3.398,3.707,4.037,4.39,4.722
Italy,eCommerce,Revenue,Furniture,billion USD (US$),Statista,1.173,1.436,1.758,2.606,3.392,2.914,4.285,5.013,5.835,6.364,6.95
Italy,eCommerce,Revenue,Media,billion USD (US$),Statista,0.806,0.931,1.084,1.542,1.812,1.678,1.982,2.08,2.15,2.26,2.349
Italy,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,1.981,2.256,2.596,3.719,4.61,4.408,5.525,6.293,7.196,7.749,8.366
Italy,eCommerce,Revenue Change,Total,percent,Statista,,20.323,20.537,46.576,28.653,-4.602,33.083,17.143,17.246,7.99,8.509
Italy,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,27.172,27.045,43.795,30.022,-0.635,30.271,18.277,18.598,8.011,8.696
Italy,eCommerce,Revenue Change,Beverages,percent,Statista,,26.249,25.657,43.751,38.776,-8.127,20.371,9.22,9.578,7.111,6.708
Italy,eCommerce,Revenue Change,Electronics,percent,Statista,,20.376,19.857,47.032,28.323,-14.893,35.43,11.686,11.457,7.427,7.19
Italy,eCommerce,Revenue Change,Fashion,percent,Statista,,19.404,19.756,44.948,27.464,4.626,36.644,23.537,23.251,8.239,9.548
Italy,eCommerce,Revenue Change,Food,percent,Statista,,24.468,24.537,73.306,45.351,-7.579,20.625,9.094,8.902,8.744,7.563
Italy,eCommerce,Revenue Change,Furniture,percent,Statista,,22.421,22.423,48.237,30.161,-14.092,47.049,16.989,16.397,9.066,9.208
Italy,eCommerce,Revenue Change,Media,percent,Statista,,15.513,16.459,42.251,17.51,-7.395,18.117,4.945,3.365,5.116,3.938
Italy,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,13.882,15.071,43.259,23.958,-4.382,25.34,13.9,14.349,7.685,7.962
Italy,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,0.643,0.71,0.791,1.105,1.33,1.212,1.497,1.749,2.044,2.153,2.299
Italy,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.198,0.223,0.251,0.322,0.377,0.339,0.409,0.456,0.511,0.521,0.537
Italy,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.06,0.066,0.073,0.092,0.112,0.093,0.103,0.106,0.11,0.11,0.111
Italy,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.288,0.306,0.322,0.415,0.469,0.357,0.444,0.468,0.493,0.497,0.503
Italy,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.407,0.428,0.452,0.581,0.663,0.634,0.809,0.95,1.114,1.146,1.201
Italy,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.153,0.169,0.184,0.28,0.357,0.297,0.33,0.339,0.348,0.355,0.361
Italy,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,0.173,0.185,0.199,0.261,0.298,0.23,0.315,0.347,0.381,0.392,0.405
Italy,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.075,0.077,0.079,0.1,0.107,0.091,0.101,0.101,0.099,0.1,0.099
Italy,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",thousand USD (US$),Statista,0.165,0.166,0.169,0.215,0.237,0.203,0.234,0.251,0.271,0.273,0.278
Italy,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,8.87,8.975,9.355,9.683,9.999,10.257,10.365,10.347,10.33,,
Italy,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,49.43,48.827,47.525,46.215,41.692,37.779,34.208,30.807,27.406,,
Italy,eCommerce,Revenue Share Payment Types,Cash on delivery,percent,Statista,10.592,10.719,10.171,9.683,9.255,8.871,8.48,8.039,7.599,,
Italy,eCommerce,Revenue Share Payment Types,Direct debits,percent,Statista,3.677,3.72,3.792,3.961,4.09,4.196,4.24,4.233,4.226,,
Italy,eCommerce,Revenue Share Payment Types,E-Invoice,percent,Statista,2.061,2.086,2.191,2.289,3.102,4.099,5.261,6.986,8.712,,
Italy,eCommerce,Revenue Share Payment Types,E-wallet,percent,Statista,19.424,19.655,20.646,21.567,25.045,27.804,30.379,32.532,34.684,,
Italy,eCommerce,Revenue Share Payment Types,Other,percent,Statista,5.946,6.017,6.32,6.602,6.817,6.994,7.067,7.055,7.043,,
Italy,eCommerce,Revenue Share Cross-border,Cross-border,percent,Statista|ecommercedb.com,6.951,7.222,7.504,7.742,7.946,8.115,8.253,8.363,8.45,,
Italy,eCommerce,Revenue Share Cross-border,Domestic,percent,Statista|ecommercedb.com,93.049,92.778,92.496,92.258,92.054,91.885,91.747,91.637,91.55,,
Italy,eCommerce,Comparable Estimates - eCommerce (Italy),*Statista,billion USD (US$),,17.32,20.84,25.12,36.82,47.37,45.19,60.14,70.45,82.6,89.2,96.79
Italy,eCommerce,Comparable Estimates - eCommerce (Italy),UNCTAD,billion USD (US$),,,,35,,,,,,,,
Italy,eCommerce,Online & Offline Split,Offline,percent,Statista,95.911,95.176,94.215,91.247,88.887,87.653,86.02,84.024,81.701,,
Italy,eCommerce,Online & Offline Split,Online,percent,Statista,4.089,4.824,5.785,8.753,11.113,12.347,13.98,15.976,18.299,,
Italy,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,70.924,67.341,64.803,62.826,61.672,60.609,60.027,59.444,58.857,,
Italy,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,29.076,32.659,35.197,37.174,38.328,39.391,39.973,40.556,41.143,,
Italy,eCommerce,Users,Total,million users,Statista,26.957,29.351,31.732,33.308,35.619,37.298,40.159,40.29,40.413,41.425,42.104
Italy,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,9.989,11.29,12.748,14.296,15.873,17.547,18.928,20.074,21.243,22.537,23.761
Italy,eCommerce,Users,Beverages,million users,Statista,5.408,6.129,6.98,7.982,9.078,10.089,10.958,11.634,12.322,13.133,13.892
Italy,eCommerce,Users,Electronics,million users,Statista,14.939,16.926,19.338,22.039,25.013,27.969,30.462,32.283,34.134,36.398,38.502
Italy,eCommerce,Users,Fashion,million users,Statista,14.667,16.67,18.919,21.324,23.811,26.025,27.896,29.348,30.823,32.439,33.915
Italy,eCommerce,Users,Food,million users,Statista,5.086,5.763,6.563,7.505,8.536,9.487,10.303,10.94,11.586,12.349,13.063
Italy,eCommerce,Users,Furniture,million users,Statista,6.768,7.754,8.83,10.007,11.382,12.649,13.609,14.45,15.304,16.255,17.145
Italy,eCommerce,Users,Media,million users,Statista,10.721,12.15,13.685,15.368,17.007,18.38,19.589,20.6,21.628,22.671,23.631
Italy,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,12.044,13.598,15.34,17.274,19.481,21.67,23.596,25.083,26.594,28.391,30.096
Italy,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,16.463,18.622,21.054,23.644,26.293,29.118,31.47,33.446,35.477,37.736,39.897
Italy,eCommerce,Penetration Rate,Beverages,percent,Statista,8.914,10.11,11.527,13.201,15.038,16.741,18.218,19.384,20.579,21.991,23.326
Italy,eCommerce,Penetration Rate,eCommerce,percent,Statista,44.429,48.412,52.407,55.09,59.004,61.893,66.767,67.129,67.493,69.364,70.696
Italy,eCommerce,Penetration Rate,Electronics,percent,Statista,24.622,27.919,31.937,36.451,41.434,46.412,50.646,53.788,57.007,60.947,64.649
Italy,eCommerce,Penetration Rate,Fashion,percent,Statista,24.174,27.496,31.245,35.269,39.443,43.185,46.38,48.897,51.477,54.318,56.946
Italy,eCommerce,Penetration Rate,Food,percent,Statista,8.382,9.506,10.839,12.413,14.141,15.742,17.13,18.227,19.351,20.678,21.933
Italy,eCommerce,Penetration Rate,Furniture,percent,Statista,11.155,12.79,14.583,16.551,18.854,20.989,22.627,24.075,25.56,27.218,28.788
Italy,eCommerce,Penetration Rate,Media,percent,Statista,17.67,20.04,22.601,25.417,28.172,30.499,32.569,34.323,36.121,37.962,39.679
Italy,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,19.85,22.429,25.335,28.57,32.27,35.959,39.23,41.791,44.415,47.54,50.534
Italy,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.763,,,,,,
Italy,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,20.207,,,,,,
Italy,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,21.082,,,,,,
Italy,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,26.969,,,,,,
Italy,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.979,,,,,,
Italy,Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,43.039,,,,,,
Italy,Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,56.961,,,,,,
Italy,Electronics,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,33.466,,,,,,
Italy,Electronics,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.103,,,,,,
Italy,Electronics,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,38.431,,,,,,
Italy,Electronics,Revenue,Total,billion USD (US$),Statista,4.309,5.187,6.217,9.141,11.73,9.983,13.52,15.1,16.83,18.08,19.38
Italy,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,3.236,3.844,4.541,6.747,8.663,7.095,9.95,11.11,12.37,13.26,14.19
Italy,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,1.073,1.342,1.676,2.394,3.063,2.888,3.565,3.989,4.464,4.821,5.192
Italy,Electronics,Revenue Change,Total,percent,Statista,,20.376,19.857,47.032,28.323,-14.893,35.43,11.686,11.457,7.427,7.19
Italy,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,18.789,18.132,48.58,28.398,-18.1,40.24,11.658,11.341,7.195,7.014
Italy,Electronics,Revenue Change,Household Appliances,percent,Statista,,25.07,24.888,42.84,27.945,-5.713,23.442,11.893,11.908,7.997,7.695
Italy,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,288.4,306.4,321.5,414.8,468.8,356.9,443.7,467.7,493.1,496.7,503.3
Italy,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,236,247.4,256.6,336.4,379.8,279.9,361.4,383.7,406.8,411.2,418.3
Italy,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,104.7,115.6,125.3,155.2,174.5,145.4,163.8,170.9,179.1,179.9,181.6
Italy,Electronics,Comparable Estimates - eCommerce (Italy),*Statista,billion USD (US$),,17.32,20.84,25.12,36.82,47.37,45.19,60.14,70.45,82.6,89.2,96.79
Italy,Electronics,Comparable Estimates - eCommerce (Italy),UNCTAD,billion USD (US$),,,,35,,,,,,,,
Italy,Electronics,Online & Offline Split,Offline,percent,Statista,81.915,78.506,74.516,64.085,57.548,51.45,47.125,41.721,36.757,,
Italy,Electronics,Online & Offline Split,Online,percent,Statista,18.085,21.494,25.484,35.915,42.452,48.55,52.875,58.279,63.243,,
Italy,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,70.203,66.332,63.594,61.375,60.091,59.02,58.473,57.932,57.388,,
Italy,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,29.797,33.668,36.406,38.625,39.909,40.98,41.527,42.068,42.612,,
Italy,Electronics,Users by Segment,Total,million users,Statista,14.939,16.926,19.338,22.039,25.013,27.969,30.462,32.283,34.134,36.398,38.502
Italy,Electronics,Users by Segment,Consumer Electronics,million users,Statista,13.713,15.541,17.697,20.055,22.811,25.35,27.533,28.954,30.399,32.246,33.914
