Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Japan,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,11.538,,,,,,
Japan,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,19.355,,,,,,
Japan,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.821,,,,,,
Japan,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,25.931,,,,,,
Japan,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,19.355,,,,,,
Japan,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,55.335,,,,,,
Japan,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,44.665,,,,,,
Japan,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.58,,,,,,
Japan,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.791,,,,,,
Japan,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.63,,,,,,
Japan,eCommerce,Revenue,Total,billion USD (US$),Statista,94.23,104.6,115.2,142.6,188,181.2,232.2,267.5,308.1,330,355.4
Japan,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,11.65,13.47,15.31,18.01,21.98,22.36,28.09,32.83,38.36,41.12,44.41
Japan,eCommerce,Revenue,Beverages,billion USD (US$),Statista,4.33,5.447,6.664,9.205,14.6,15.1,19.28,22.88,27.13,29.56,32.33
Japan,eCommerce,Revenue,Electronics,billion USD (US$),Statista,18.15,19.83,21.5,27.45,35.41,30.14,38.69,41.95,45.32,48.07,50.83
Japan,eCommerce,Revenue,Fashion,billion USD (US$),Statista,25.34,27.21,29.07,35.6,48.44,47.59,57.59,64.63,72.33,77.09,82.31
Japan,eCommerce,Revenue,Food,billion USD (US$),Statista,4.945,6.234,7.652,10.08,15.35,16.93,23.01,29.03,36.56,39.74,43.77
Japan,eCommerce,Revenue,Furniture,billion USD (US$),Statista,16.85,18.18,19.51,22.24,27.24,24.85,36.57,43.92,52.41,56.36,61.33
Japan,eCommerce,Revenue,Media,billion USD (US$),Statista,3.482,3.812,4.143,5.61,6.325,5.915,6.796,7.23,7.657,7.926,8.187
Japan,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,9.486,10.41,11.38,14.43,18.61,18.27,22.17,25.05,28.31,30.18,32.26
Japan,eCommerce,Revenue Change,Total,percent,Statista,,11.005,10.134,23.785,31.837,-3.617,28.146,15.202,15.178,7.108,7.697
Japan,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,15.622,13.66,17.636,22.043,1.729,25.626,16.874,16.844,7.195,8.001
Japan,eCommerce,Revenue Change,Beverages,percent,Statista,,25.797,22.343,38.13,58.609,3.425,27.682,18.672,18.575,8.957,9.371
Japan,eCommerce,Revenue Change,Electronics,percent,Statista,,9.256,8.422,27.674,28.998,-14.883,28.368,8.426,8.033,6.068,5.742
Japan,eCommerce,Revenue Change,Fashion,percent,Statista,,7.38,6.836,22.463,36.067,-1.755,21.013,12.224,11.914,6.581,6.771
Japan,eCommerce,Revenue Change,Food,percent,Statista,,26.067,22.746,31.73,52.282,10.293,35.913,26.163,25.939,8.698,10.141
Japan,eCommerce,Revenue Change,Furniture,percent,Statista,,7.893,7.316,13.993,22.482,-8.774,47.163,20.098,19.331,7.537,8.818
Japan,eCommerce,Revenue Change,Media,percent,Statista,,9.477,8.683,35.409,12.745,-6.482,14.894,6.386,5.906,3.513,3.293
Japan,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,9.741,9.318,26.801,28.967,-1.827,21.346,12.991,13.014,6.605,6.892
Japan,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.15,1.225,1.313,1.563,1.99,1.881,2.4,2.635,2.898,3.032,3.176
Japan,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.39,0.423,0.447,0.478,0.532,0.511,0.615,0.693,0.782,0.807,0.843
Japan,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.26,0.305,0.344,0.438,0.64,0.618,0.743,0.839,0.95,0.985,1.029
Japan,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.409,0.413,0.408,0.473,0.554,0.437,0.526,0.539,0.552,0.554,0.556
Japan,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.57,0.57,0.563,0.634,0.797,0.733,0.839,0.907,0.979,1.001,1.03
Japan,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.316,0.371,0.42,0.509,0.716,0.736,0.943,1.132,1.361,1.407,1.481
Japan,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,0.86,0.845,0.819,0.844,0.927,0.774,1.063,1.193,1.336,1.353,1.391
Japan,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.109,0.111,0.111,0.139,0.144,0.127,0.139,0.142,0.144,0.144,0.143
Japan,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",thousand USD (US$),Statista,0.28,0.279,0.276,0.317,0.37,0.331,0.373,0.397,0.424,0.425,0.43
Japan,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,15.877,16.741,17.574,21.459,20.475,19.292,17.758,16.017,14.276,,
Japan,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,56.778,54.426,51.83,40.773,38.07,35.11,31.475,27.649,23.822,,
Japan,eCommerce,Revenue Share Payment Types,Cash on delivery,percent,Statista,9.676,10.202,10.171,11.803,10.689,9.607,8.474,7.354,6.233,,
Japan,eCommerce,Revenue Share Payment Types,Direct debits,percent,Statista,6.491,6.844,7.553,9.657,9.214,8.681,7.991,7.208,6.424,,
Japan,eCommerce,Revenue Share Payment Types,E-Invoice,percent,Statista,1.587,1.673,1.846,2.361,2.337,2.278,2.164,2.008,1.851,,
Japan,eCommerce,Revenue Share Payment Types,E-wallet,percent,Statista,7.212,7.604,8.392,10.73,16.144,22.138,29.473,37.363,45.252,,
Japan,eCommerce,Revenue Share Payment Types,Other,percent,Statista,2.38,2.51,2.634,3.219,3.071,2.894,2.664,2.403,2.141,,
Japan,eCommerce,Revenue Share Cross-border,Cross-border,percent,Statista|ecommercedb.com,1.764,1.783,1.802,1.818,1.831,1.843,1.852,1.861,1.868,,
Japan,eCommerce,Revenue Share Cross-border,Domestic,percent,Statista|ecommercedb.com,98.236,98.217,98.198,98.182,98.169,98.157,98.148,98.139,98.132,,
Japan,eCommerce,Comparable Estimates - eCommerce (Japan),*Statista,trillion USD (US$),,0.094,0.105,0.115,0.143,0.188,0.181,0.232,0.268,0.308,0.33,0.355
Japan,eCommerce,Comparable Estimates - eCommerce (Japan),"Ministry of Economy, Trade and Industry Report",trillion USD (US$),,,1.988,,,,,,,,,
Japan,eCommerce,Online & Offline Split,Offline,percent,Statista,91.582,90.808,89.978,87.308,83.916,82.272,80.319,78.023,75.445,,
Japan,eCommerce,Online & Offline Split,Online,percent,Statista,8.418,9.192,10.022,12.692,16.084,17.728,19.681,21.977,24.555,,
Japan,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,61.255,57.434,56.232,55.162,54.102,53.407,52.711,52.111,51.504,,
Japan,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,38.745,42.566,43.768,44.838,45.898,46.593,47.289,47.889,48.496,,
Japan,eCommerce,Users,Total,million users,Statista,81.955,85.403,87.762,91.234,94.432,96.326,96.729,101.515,106.298,108.863,111.908
Japan,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,29.895,31.811,34.216,37.663,41.35,43.726,45.697,47.375,49.044,50.97,52.705
Japan,eCommerce,Users,Beverages,million users,Statista,16.625,17.865,19.359,21.029,22.803,24.462,25.963,27.265,28.567,30.028,31.432
Japan,eCommerce,Users,Electronics,million users,Statista,44.416,48.064,52.681,58.064,63.883,69.023,73.533,77.802,82.064,86.771,91.339
Japan,eCommerce,Users,Fashion,million users,Statista,44.481,47.717,51.624,56.181,60.802,64.934,68.603,71.255,73.88,77.032,79.901
Japan,eCommerce,Users,Food,million users,Statista,15.632,16.798,18.203,19.773,21.442,23.001,24.413,25.638,26.862,28.236,29.555
Japan,eCommerce,Users,Furniture,million users,Statista,19.598,21.518,23.83,26.364,29.383,32.11,34.401,36.815,39.229,41.668,44.085
Japan,eCommerce,Users,Media,million users,Statista,32.008,34.396,37.273,40.488,43.904,46.658,49.053,51.024,52.994,55.163,57.16
Japan,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,33.903,37.299,41.258,45.51,50.251,55.143,59.448,63.145,66.839,70.998,75.023
Japan,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,23.446,25.008,26.971,29.779,32.804,34.818,36.534,38.039,39.559,41.311,42.936
Japan,eCommerce,Penetration Rate,Beverages,percent,Statista,13.039,14.044,15.26,16.627,18.09,19.478,20.757,21.892,23.043,24.338,25.605
