Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Luxembourg,eCommerce,Revenue,Total,million USD (US$),Statista,774.7,838.5,912.1,"1,156","1,318","1,259","1,564","1,732","1,915","2,040","2,176"
Luxembourg,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,55.05,59.12,64.09,76.73,89.15,91.62,116.1,133,152.2,164,177.6
Luxembourg,eCommerce,Revenue,Beverages,million USD (US$),Statista,48.28,52.68,57.84,78.13,95.48,98.32,129.7,155.4,185.1,201.1,220.2
Luxembourg,eCommerce,Revenue,Electronics,million USD (US$),Statista,139.6,148.1,156.8,197.6,211.9,170.4,206.7,213,218.6,222.5,226.1
Luxembourg,eCommerce,Revenue,Fashion,million USD (US$),Statista,281.1,303.1,328,388,459.4,469.7,588.7,666.3,747.5,805.9,869.7
Luxembourg,eCommerce,Revenue,Food,million USD (US$),Statista,56.42,63.13,68.89,105.4,123.3,112.6,126.5,128.4,131.1,135.4,138.6
Luxembourg,eCommerce,Revenue,Furniture,million USD (US$),Statista,95.97,101.3,107.7,144.3,151.4,133.8,181.8,208.8,239.8,256.7,276.9
Luxembourg,eCommerce,Revenue,Media,million USD (US$),Statista,15.11,16.12,16.7,21.52,23.09,20.83,22.88,22.89,22.71,23.05,23.23
Luxembourg,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,83.16,94.99,112.1,144.6,164.6,161.2,191.3,204.6,218.5,231.4,244.1
Luxembourg,eCommerce,Revenue Change,Total,percent,Statista,,8.235,8.778,26.74,14.014,-4.476,24.226,10.742,10.566,6.527,6.667
Luxembourg,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,7.393,8.407,19.722,16.187,2.771,26.719,14.556,14.436,7.753,8.293
Luxembourg,eCommerce,Revenue Change,Beverages,percent,Statista,,9.114,9.795,35.08,22.207,2.974,31.916,19.815,19.112,8.644,9.498
Luxembourg,eCommerce,Revenue Change,Electronics,percent,Statista,,6.089,5.874,26.02,7.237,-19.585,21.303,3.048,2.629,1.784,1.618
Luxembourg,eCommerce,Revenue Change,Fashion,percent,Statista,,7.826,8.215,18.293,18.402,2.242,25.335,13.182,12.187,7.813,7.917
Luxembourg,eCommerce,Revenue Change,Food,percent,Statista,,11.893,9.124,52.998,16.983,-8.678,12.345,1.502,2.103,3.28,2.363
Luxembourg,eCommerce,Revenue Change,Furniture,percent,Statista,,5.554,6.318,33.983,4.92,-11.625,35.874,14.851,14.847,7.048,7.869
Luxembourg,eCommerce,Revenue Change,Media,percent,Statista,,6.684,3.598,28.862,7.296,-9.788,9.842,0.044,-0.786,1.497,0.781
Luxembourg,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,14.226,18.012,28.992,13.831,-2.066,18.672,6.952,6.794,5.904,5.488
Luxembourg,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,2.441,2.386,2.199,2.573,2.791,2.575,3.155,3.543,3.975,4.175,4.431
Luxembourg,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.376,0.364,0.358,0.394,0.414,0.395,0.472,0.516,0.564,0.58,0.602
