Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Malaysia,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,20.04,,,,,,
Malaysia,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,30.162,,,,,,
Malaysia,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,24.595,,,,,,
Malaysia,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,15.992,,,,,,
Malaysia,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,9.21,,,,,,
Malaysia,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,47.47,,,,,,
Malaysia,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,52.53,,,,,,
Malaysia,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,30.556,,,,,,
Malaysia,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,53.889,,,,,,
Malaysia,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,15.556,,,,,,
Malaysia,eCommerce,Revenue,Total,billion USD (US$),Statista,2.266,3.171,4.278,6.144,8.574,9.078,11.65,13.85,16.5,18.07,19.84
Malaysia,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.328,0.428,0.547,0.731,0.971,1.082,1.367,1.646,1.994,2.185,2.41
Malaysia,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.008,0.012,0.016,0.025,0.043,0.044,0.052,0.058,0.064,0.07,0.076
Malaysia,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.669,0.989,1.397,1.999,2.729,2.827,3.895,4.804,5.925,6.461,7.11
Malaysia,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.589,0.82,1.116,1.699,2.54,2.725,3.311,3.826,4.437,4.872,5.335
Malaysia,eCommerce,Revenue,Food,billion USD (US$),Statista,0.028,0.04,0.054,0.085,0.152,0.158,0.186,0.208,0.233,0.257,0.282
Malaysia,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.251,0.341,0.447,0.558,0.741,0.737,1.031,1.261,1.539,1.687,1.865
Malaysia,eCommerce,Revenue,Media,billion USD (US$),Statista,0.122,0.165,0.208,0.31,0.378,0.398,0.463,0.505,0.547,0.592,0.633
Malaysia,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.271,0.376,0.492,0.737,1.021,1.108,1.348,1.541,1.762,1.942,2.13
Malaysia,eCommerce,Revenue Change,Total,percent,Statista,,39.938,34.91,43.619,39.551,5.878,28.332,18.884,19.134,9.515,9.795
Malaysia,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,30.628,27.744,33.601,32.854,11.443,26.34,20.41,21.142,9.579,10.297
Malaysia,eCommerce,Revenue Change,Beverages,percent,Statista,,42.857,37.446,58.666,68.134,3.225,16.98,11.38,11.99,9.061,8.252
Malaysia,eCommerce,Revenue Change,Electronics,percent,Statista,,47.818,41.268,43.092,36.518,3.591,37.779,23.338,23.335,9.046,10.045
