Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Mexico,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,22.166,,,,,,
Mexico,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,30.795,,,,,,
Mexico,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.971,,,,,,
Mexico,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,15.849,,,,,,
Mexico,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,7.22,,,,,,
Mexico,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.31,,,,,,
Mexico,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.69,,,,,,
Mexico,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.624,,,,,,
Mexico,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,30.591,,,,,,
Mexico,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.785,,,,,,
Mexico,eCommerce,Revenue,Total,billion USD (US$),Statista,10,14.1,19.24,28.97,38.78,37.99,50.66,60.48,72.45,78.75,86.07
Mexico,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.841,1.219,1.715,2.509,3.452,3.551,4.538,5.423,6.509,7.099,7.779
Mexico,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.255,0.416,0.645,1.02,1.513,1.595,2.106,2.621,3.294,3.605,3.987
Mexico,eCommerce,Revenue,Electronics,billion USD (US$),Statista,3.062,4.394,6.01,8.833,11.67,10.87,15.09,17.85,21.08,22.83,24.82
Mexico,eCommerce,Revenue,Fashion,billion USD (US$),Statista,1.466,2.11,2.928,4.409,5.949,6.057,7.642,8.988,10.58,11.47,12.48
Mexico,eCommerce,Revenue,Food,billion USD (US$),Statista,0.464,0.755,1.173,2.452,3.749,4.346,6.236,8.33,11.12,12.2,13.62
Mexico,eCommerce,Revenue,Furniture,billion USD (US$),Statista,1.781,2.374,3.098,4.372,5.622,5.018,7.256,8.603,10.18,11.12,12.19
Mexico,eCommerce,Revenue,Media,billion USD (US$),Statista,0.728,0.9,1.076,1.38,1.541,1.392,1.528,1.545,1.554,1.586,1.606
Mexico,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,1.406,1.935,2.591,3.996,5.284,5.161,6.266,7.119,8.134,8.839,9.588
Mexico,eCommerce,Revenue Change,Total,percent,Statista,,41,36.454,50.572,33.863,-2.037,33.351,19.384,19.792,8.696,9.295
Mexico,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,44.929,40.689,46.297,37.585,2.868,27.795,19.502,20.026,9.064,9.579
Mexico,eCommerce,Revenue Change,Beverages,percent,Statista,,62.867,55.195,58.066,48.333,5.42,32.038,24.454,25.677,9.441,10.596
Mexico,eCommerce,Revenue Change,Electronics,percent,Statista,,43.501,36.777,46.972,32.118,-6.855,38.822,18.29,18.095,8.302,8.717
Mexico,eCommerce,Revenue Change,Fashion,percent,Statista,,43.929,38.768,50.581,34.929,1.815,26.168,17.613,17.713,8.412,8.806
Mexico,eCommerce,Revenue Change,Food,percent,Statista,,62.891,55.364,109.037,52.896,15.924,43.488,33.579,33.493,9.712,11.639
