Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Montenegro,eCommerce,Revenue,Total,million USD (US$),Statista,62.68,73.44,86.59,114.1,141,142.8,188,219.5,255.4,278.3,304
Montenegro,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,6.036,7.008,8.249,10.1,12.51,13.48,17.96,21.36,25.44,27.73,30.42
Montenegro,eCommerce,Revenue,Beverages,million USD (US$),Statista,1.325,1.739,2.346,3.07,4.376,4.503,5.834,6.825,8.05,8.738,9.526
Montenegro,eCommerce,Revenue,Electronics,million USD (US$),Statista,23.24,26.69,30.94,40.4,48.65,46.11,60.27,68.63,76.71,83.41,90.47
Montenegro,eCommerce,Revenue,Fashion,million USD (US$),Statista,17.63,20.28,23.55,30.38,36.35,39.37,51.89,62.02,74.22,80.89,88.77
Montenegro,eCommerce,Revenue,Food,million USD (US$),Statista,2.839,3.703,4.765,8.036,11.86,12.98,17.66,21.9,27.41,30.25,33.67
Montenegro,eCommerce,Revenue,Furniture,million USD (US$),Statista,5.636,6.479,7.514,9.097,11.38,10.18,13.91,15.86,18.01,19.53,21.19
Montenegro,eCommerce,Revenue,Media,million USD (US$),Statista,1.488,2.032,2.572,3.82,4.538,4.468,5.27,5.53,5.773,6.096,6.36
Montenegro,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,4.497,5.511,6.65,9.173,11.39,11.73,15.24,17.39,19.82,21.66,23.61
Montenegro,eCommerce,Revenue Change,Total,percent,Statista,,17.167,17.906,31.77,23.576,1.277,31.653,16.755,16.355,8.966,9.235
Montenegro,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,16.103,17.708,22.439,23.861,7.754,33.234,18.931,19.101,9.002,9.701
Montenegro,eCommerce,Revenue Change,Beverages,percent,Statista,,31.245,34.905,30.861,42.541,2.902,29.558,16.987,17.949,8.547,9.018
Montenegro,eCommerce,Revenue Change,Electronics,percent,Statista,,14.845,15.924,30.575,20.421,-5.221,30.709,13.871,11.773,8.734,8.464
Montenegro,eCommerce,Revenue Change,Fashion,percent,Statista,,15.031,16.124,29.002,19.651,8.308,31.801,19.522,19.671,8.987,9.742
Montenegro,eCommerce,Revenue Change,Food,percent,Statista,,30.433,28.679,68.646,47.586,9.444,36.055,24.009,25.16,10.361,11.306
Montenegro,eCommerce,Revenue Change,Furniture,percent,Statista,,14.957,15.975,21.067,25.096,-10.545,36.64,14.019,13.556,8.44,8.5
Montenegro,eCommerce,Revenue Change,Media,percent,Statista,,36.559,26.575,48.523,18.796,-1.543,17.95,4.934,4.394,5.595,4.331
Montenegro,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,22.548,20.668,37.94,24.169,2.985,29.923,14.108,13.974,9.284,9.003
Montenegro,eCommerce,Average Revenue per User,Total,USD (US$),Statista,409.9,406.9,393.1,474.2,543.6,519.9,644.6,736.7,839.5,893.9,960.1
Montenegro,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,108.6,103.6,103.1,107.9,117.5,111.5,135.3,150.5,168.4,170.2,174.9
Montenegro,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,49.48,50.27,54.62,58.78,70.41,62.76,72.57,78.36,85.82,85.59,86.66
Montenegro,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,276.8,260.2,252.9,280.1,291.4,243,288.3,307.5,323.3,328.4,335.9
Montenegro,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,219.1,204.8,198.7,217.7,224.1,212.4,252.7,279.7,311.6,313.9,321.3
Montenegro,eCommerce,Average Revenue per User,Food,USD (US$),Statista,112.7,113.8,118,163.6,202.9,192.4,233.7,267.4,310.8,315.1,325.7
Montenegro,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,212.2,167,145.6,138.9,140.4,105.2,126.5,131.5,137.1,135.3,135.3
Montenegro,eCommerce,Average Revenue per User,Media,USD (US$),Statista,23.34,26.89,29.35,37.98,40.07,35.87,39.15,38.69,38.16,37.64,37
Montenegro,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,93.2,80.25,73.72,81.15,82.3,71.19,80.65,83.95,87.98,87.52,87.94
Montenegro,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Montenegro,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Montenegro,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Montenegro,eCommerce,Online & Offline Split,Offline,percent,Statista,96.812,96.495,96.052,94.656,93.715,93.047,92.277,91.322,90.25,,
Montenegro,eCommerce,Online & Offline Split,Online,percent,Statista,3.188,3.505,3.948,5.344,6.285,6.953,7.723,8.678,9.75,,
Montenegro,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,63.049,62.026,61.313,61.055,61.08,60.495,60.003,59.543,59.152,,
Montenegro,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,36.951,37.974,38.687,38.945,38.92,39.505,39.997,40.457,40.848,,
