Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Morocco,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,20.585,,,,,,
Morocco,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,32.278,,,,,,
Morocco,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,26.188,,,,,,
Morocco,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,14.007,,,,,,
Morocco,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,6.94,,,,,,
Morocco,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,44.093,,,,,,
Morocco,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,55.907,,,,,,
Morocco,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.101,,,,,,
Morocco,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,30.435,,,,,,
Morocco,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.464,,,,,,
Morocco,eCommerce,Revenue,Total,million USD (US$),Statista,819.9,936.9,"1,072","1,457","1,698","1,624","2,212","2,637","3,154","3,418","3,737"
Morocco,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,51.34,64.35,80.1,109.5,136.3,138.9,176.3,210.3,253.2,275.8,302.8
Morocco,eCommerce,Revenue,Beverages,million USD (US$),Statista,1.416,2.031,2.822,4.435,6.048,5.72,6.724,7.402,8.204,8.83,9.454
Morocco,eCommerce,Revenue,Electronics,million USD (US$),Statista,384.5,436.4,489.9,653.8,741.9,691,"1,025","1,263","1,557","1,690","1,860"
Morocco,eCommerce,Revenue,Fashion,million USD (US$),Statista,145.3,170.2,200.3,280.5,335.9,338.7,423.8,495.5,581.8,630.5,687.2
Morocco,eCommerce,Revenue,Food,million USD (US$),Statista,3.734,5.399,7.542,14.44,20.31,18.45,20.79,21.87,23.1,24.31,25.32
Morocco,eCommerce,Revenue,Furniture,million USD (US$),Statista,114.4,123.3,135.5,173,195.1,170.4,241.7,281.7,328.4,353.7,383.9
Morocco,eCommerce,Revenue,Media,million USD (US$),Statista,26.52,27.9,30.08,40.95,47.39,45.44,53.09,56.81,59.86,64.05,67.95
Morocco,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,92.64,107.2,125.3,180.8,215.3,215.3,264.3,300.8,341.9,370,400.5
Morocco,eCommerce,Revenue Change,Total,percent,Statista,,14.27,14.42,35.914,16.541,-4.358,36.207,19.213,19.606,8.37,9.333
Morocco,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,25.341,24.476,36.704,24.475,1.908,26.926,19.285,20.399,8.926,9.79
Morocco,eCommerce,Revenue Change,Beverages,percent,Statista,,43.432,38.946,57.158,36.37,-5.423,17.552,10.083,10.835,7.63,7.067
Morocco,eCommerce,Revenue Change,Electronics,percent,Statista,,13.498,12.259,33.456,13.475,-6.861,48.336,23.22,23.278,8.542,10.059
Morocco,eCommerce,Revenue Change,Fashion,percent,Statista,,17.137,17.685,40.04,19.75,0.834,25.125,16.918,17.417,8.371,8.993
Morocco,eCommerce,Revenue Change,Food,percent,Statista,,44.59,39.693,91.461,40.651,-9.158,12.683,5.195,5.624,5.238,4.155
Morocco,eCommerce,Revenue Change,Furniture,percent,Statista,,7.78,9.895,27.675,12.775,-12.66,41.843,16.549,16.578,7.704,8.538
Morocco,eCommerce,Revenue Change,Media,percent,Statista,,5.204,7.814,36.137,15.726,-4.115,16.835,7.007,5.369,7,6.089
