Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Netherlands,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.604,,,,,,
Netherlands,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,22.041,,,,,,
Netherlands,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,19.87,,,,,,
Netherlands,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.91,,,,,,
Netherlands,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,20.575,,,,,,
Netherlands,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.923,,,,,,
Netherlands,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.077,,,,,,
Netherlands,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.409,,,,,,
Netherlands,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,29.399,,,,,,
Netherlands,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,35.192,,,,,,
Netherlands,eCommerce,Revenue,Total,billion USD (US$),Statista,16.27,17.93,19.92,26.54,30.49,28.78,36.18,40.91,46.29,49.43,52.99
Netherlands,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,1.283,1.456,1.664,2.22,2.575,2.585,3.208,3.704,4.278,4.623,5.017
Netherlands,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.511,0.581,0.673,1.025,1.291,1.305,1.634,1.909,2.239,2.426,2.641
Netherlands,eCommerce,Revenue,Electronics,billion USD (US$),Statista,4.249,4.758,5.336,6.892,7.823,6.58,8.127,8.625,9.159,9.639,10.11
Netherlands,eCommerce,Revenue,Fashion,billion USD (US$),Statista,5.725,6.175,6.712,8.527,9.426,9.273,11.23,12.62,14.12,14.97,15.94
Netherlands,eCommerce,Revenue,Food,billion USD (US$),Statista,0.467,0.525,0.601,0.953,1.228,1.427,2.041,2.71,3.593,3.935,4.394
Netherlands,eCommerce,Revenue,Furniture,billion USD (US$),Statista,1.817,2.011,2.258,3.235,3.882,3.445,4.928,5.753,6.668,7.199,7.804
Netherlands,eCommerce,Revenue,Media,billion USD (US$),Statista,0.332,0.359,0.393,0.537,0.613,0.573,0.652,0.681,0.702,0.732,0.758
Netherlands,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,1.889,2.062,2.278,3.152,3.651,3.595,4.359,4.908,5.527,5.901,6.319
Netherlands,eCommerce,Revenue Change,Total,percent,Statista,,10.203,11.099,33.233,14.883,-5.608,25.712,13.074,13.151,6.783,7.202
Netherlands,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,13.484,14.286,33.413,15.991,0.388,24.101,15.461,15.497,8.065,8.523
Netherlands,eCommerce,Revenue Change,Beverages,percent,Statista,,13.49,15.935,52.303,25.951,1.084,25.211,16.83,17.287,8.352,8.862
Netherlands,eCommerce,Revenue Change,Electronics,percent,Statista,,11.979,12.148,29.16,13.508,-15.889,23.511,6.128,6.191,5.241,4.886
Netherlands,eCommerce,Revenue Change,Fashion,percent,Statista,,7.86,8.696,27.041,10.543,-1.623,21.104,12.378,11.886,6.02,6.48
Netherlands,eCommerce,Revenue Change,Food,percent,Statista,,12.302,14.441,58.632,28.87,16.205,43.027,32.778,32.583,9.519,11.665
Netherlands,eCommerce,Revenue Change,Furniture,percent,Statista,,10.677,12.282,43.268,20,-11.257,43.048,16.741,15.905,7.963,8.404
Netherlands,eCommerce,Revenue Change,Media,percent,Statista,,8.072,9.532,36.743,13.975,-6.4,13.78,4.338,3.086,4.361,3.469
Netherlands,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,9.158,10.475,38.367,15.831,-1.534,21.252,12.595,12.612,6.767,7.084
Netherlands,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.546,1.608,1.689,2.157,2.352,2.134,2.652,3.027,3.459,3.657,3.905
Netherlands,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.302,0.313,0.324,0.4,0.428,0.397,0.467,0.519,0.578,0.6,0.629
Netherlands,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.216,0.226,0.239,0.331,0.379,0.352,0.413,0.459,0.512,0.526,0.545
Netherlands,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.72,0.719,0.708,0.805,0.809,0.608,0.691,0.691,0.695,0.685,0.679
Netherlands,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.891,0.889,0.886,1.03,1.041,0.942,1.075,1.154,1.238,1.249,1.272
Netherlands,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.21,0.217,0.227,0.327,0.383,0.409,0.548,0.692,0.874,0.907,0.965
Netherlands,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,0.652,0.65,0.652,0.833,0.884,0.707,0.94,1.023,1.111,1.124,1.148
Netherlands,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.078,0.076,0.074,0.09,0.091,0.077,0.081,0.08,0.079,0.078,0.076
Netherlands,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",thousand USD (US$),Statista,0.392,0.384,0.379,0.47,0.487,0.43,0.481,0.509,0.541,0.541,0.546
Netherlands,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,54.135,53.379,52.289,51.018,49.925,49.085,47.915,46.729,45.543,,
Netherlands,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,23.799,24.053,23.699,23.278,22.941,22.706,22.624,22.49,22.356,,
