Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Nigeria,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,34.208,,,,,,
Nigeria,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,37.251,,,,,,
Nigeria,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.455,,,,,,
Nigeria,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,6.09,,,,,,
Nigeria,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,41.028,,,,,,
Nigeria,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,58.972,,,,,,
Nigeria,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,32.112,,,,,,
Nigeria,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.083,,,,,,
Nigeria,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,39.805,,,,,,
Nigeria,eCommerce,Revenue,Total,billion USD (US$),Statista,1.978,2.715,3.65,5.295,7.601,6.616,9.019,10.34,11.93,12.95,14.06
Nigeria,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.129,0.191,0.279,0.429,0.656,0.592,0.749,0.845,0.962,1.055,1.151
Nigeria,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.009,0.016,0.026,0.04,0.064,0.057,0.072,0.081,0.092,0.1,0.108
Nigeria,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.895,1.16,1.474,2.035,2.78,2.4,3.602,4.337,5.249,5.683,6.205
Nigeria,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.384,0.553,0.766,1.118,1.649,1.502,1.909,2.154,2.448,2.67,2.903
Nigeria,eCommerce,Revenue,Food,billion USD (US$),Statista,0.028,0.048,0.079,0.15,0.277,0.234,0.271,0.275,0.28,0.295,0.305
Nigeria,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.247,0.363,0.514,0.733,1.062,0.811,1.136,1.244,1.37,1.48,1.586
Nigeria,eCommerce,Revenue,Media,billion USD (US$),Statista,0.121,0.148,0.183,0.28,0.351,0.335,0.429,0.472,0.506,0.556,0.602
