Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Norway,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,15.328,,,,,,
Norway,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,23.362,,,,,,
Norway,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.304,,,,,,
Norway,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.833,,,,,,
Norway,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,16.173,,,,,,
Norway,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.317,,,,,,
Norway,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.683,,,,,,
Norway,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,36.216,,,,,,
Norway,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,30.946,,,,,,
Norway,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.838,,,,,,
Norway,eCommerce,Revenue,Total,billion USD (US$),Statista,6.561,7.219,7.891,10.27,10.9,10.34,13.07,14.87,16.94,18.05,19.35
Norway,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.962,1.055,1.148,1.45,1.517,1.471,1.761,1.961,2.184,2.327,2.488
Norway,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.229,0.267,0.31,0.469,0.525,0.528,0.659,0.769,0.9,0.969,1.05
Norway,eCommerce,Revenue,Electronics,billion USD (US$),Statista,1.583,1.712,1.831,2.163,2.243,1.846,2.3,2.426,2.549,2.617,2.69
Norway,eCommerce,Revenue,Fashion,billion USD (US$),Statista,1.767,1.939,2.115,2.807,2.948,2.951,3.635,4.151,4.724,5.056,5.438
Norway,eCommerce,Revenue,Food,billion USD (US$),Statista,0.199,0.231,0.264,0.428,0.469,0.545,0.779,1.033,1.366,1.493,1.665
Norway,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.817,0.925,1.038,1.36,1.467,1.334,1.954,2.335,2.769,2.998,3.275
Norway,eCommerce,Revenue,Media,billion USD (US$),Statista,0.253,0.253,0.252,0.313,0.324,0.278,0.295,0.292,0.29,0.291,0.291
Norway,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.752,0.838,0.932,1.279,1.405,1.389,1.689,1.907,2.156,2.297,2.459
Norway,eCommerce,Revenue Change,Total,percent,Statista,,10.031,9.308,30.129,6.131,-5.108,26.397,13.782,13.887,6.548,7.246
Norway,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,9.73,8.806,26.324,4.609,-3.072,19.722,11.382,11.382,6.538,6.916
Norway,eCommerce,Revenue Change,Beverages,percent,Statista,,16.685,16.061,51.407,11.988,0.651,24.8,16.588,17.093,7.618,8.346
Norway,eCommerce,Revenue Change,Electronics,percent,Statista,,8.12,6.98,18.12,3.695,-17.714,24.617,5.458,5.081,2.672,2.775
Norway,eCommerce,Revenue Change,Fashion,percent,Statista,,9.78,9.055,32.74,5.001,0.11,23.175,14.197,13.803,7.02,7.561
Norway,eCommerce,Revenue Change,Food,percent,Statista,,15.776,14.492,61.875,9.73,16.12,42.938,32.6,32.321,9.244,11.51
Norway,eCommerce,Revenue Change,Furniture,percent,Statista,,13.238,12.277,30.979,7.89,-9.09,46.497,19.494,18.604,8.276,9.245
Norway,eCommerce,Revenue Change,Media,percent,Statista,,-0.08,-0.302,23.927,3.509,-14.08,6.095,-1.037,-0.741,0.328,0.054
Norway,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,11.408,11.334,37.15,9.876,-1.142,21.563,12.932,13.033,6.569,7.046
