Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Poland,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.228,,,,,,
Poland,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,26.032,,,,,,
Poland,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,28.148,,,,,,
Poland,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,18.148,,,,,,
Poland,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,14.444,,,,,,
Poland,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,51.799,,,,,,
Poland,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,48.201,,,,,,
Poland,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.866,,,,,,
Poland,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,30.185,,,,,,
Poland,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.949,,,,,,
Poland,eCommerce,Revenue,Total,billion USD (US$),Statista,9.046,9.773,10.67,13.34,14.92,14.04,18.55,21.5,24.92,26.6,28.64
Poland,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,1.319,1.445,1.595,1.958,2.194,2.205,2.909,3.492,4.21,4.528,4.932
Poland,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.02,0.024,0.029,0.039,0.048,0.045,0.056,0.063,0.071,0.077,0.083
Poland,eCommerce,Revenue,Electronics,billion USD (US$),Statista,2.051,2.335,2.658,3.478,4.029,3.579,4.959,5.73,6.609,7.069,7.606
Poland,eCommerce,Revenue,Fashion,billion USD (US$),Statista,3.615,3.704,3.847,4.523,4.807,4.696,6.004,6.956,8.062,8.534,9.142
Poland,eCommerce,Revenue,Food,billion USD (US$),Statista,0.053,0.062,0.074,0.114,0.139,0.132,0.163,0.182,0.203,0.222,0.24
Poland,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.719,0.816,0.938,1.182,1.38,1.21,1.817,2.172,2.586,2.806,3.071
Poland,eCommerce,Revenue,Media,billion USD (US$),Statista,0.152,0.168,0.186,0.254,0.289,0.26,0.302,0.312,0.32,0.331,0.341
Poland,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,1.117,1.218,1.344,1.797,2.034,1.914,2.343,2.59,2.863,3.034,3.222
Poland,eCommerce,Revenue Change,Total,percent,Statista,,8.037,9.178,25.023,11.844,-5.898,32.123,15.903,15.907,6.742,7.669
Poland,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,9.553,10.381,22.759,12.053,0.501,31.927,20.041,20.561,7.553,8.922
Poland,eCommerce,Revenue Change,Beverages,percent,Statista,,19.821,21.103,34.132,22.511,-5.5,23.787,12.378,12.678,7.75,7.741
Poland,eCommerce,Revenue Change,Electronics,percent,Statista,,13.847,13.833,30.85,15.842,-11.169,38.558,15.547,15.34,6.96,7.597
Poland,eCommerce,Revenue Change,Fashion,percent,Statista,,2.462,3.861,17.572,6.279,-2.309,27.853,15.856,15.9,5.855,7.124
Poland,eCommerce,Revenue Change,Food,percent,Statista,,18.502,19.304,52.791,22.271,-5.328,23.65,11.87,11.765,8.952,8.488
Poland,eCommerce,Revenue Change,Furniture,percent,Statista,,13.578,14.846,26.067,16.751,-12.319,50.165,19.538,19.061,8.507,9.444
Poland,eCommerce,Revenue Change,Media,percent,Statista,,9.836,10.806,37.015,13.527,-9.803,15.899,3.479,2.337,3.692,2.806
Poland,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,9.042,10.345,33.705,13.189,-5.9,22.414,10.542,10.541,5.973,6.196
Poland,eCommerce,Average Revenue per User,Total,USD (US$),Statista,522.3,536.5,560.3,670.2,710.5,646.5,844.9,988.8,"1,158","1,225","1,314"
Poland,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,190.1,190.9,192.4,215.3,220.8,203.4,251.2,287,329.9,336.4,349.4
Poland,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,5.666,6.058,6.512,7.717,8.388,7.19,8.251,8.781,9.392,9.546,9.77
Poland,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,208,211.8,213.7,248.1,255.7,204.9,262.4,287.9,315.8,318.5,325.5
Poland,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,368,338.8,315.4,333.4,318.8,284.8,340.7,374.4,412.5,413.8,422.6
Poland,eCommerce,Average Revenue per User,Food,USD (US$),Statista,15.74,16.65,17.63,23.79,25.82,22.16,25.4,26.92,28.57,29.35,30.25
Poland,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,161.7,162.1,165.2,185.7,192.4,153,215,243.4,275,282.4,294.5
Poland,eCommerce,Average Revenue per User,Media,USD (US$),Statista,21.65,21.23,21.11,26.01,26.93,22.66,24.8,24.54,24.05,23.92,23.71
Poland,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,140.8,137.7,136.2,163.5,165.7,141.4,160,167.3,175.4,175,176.2
Poland,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,40.466,40.466,37.696,37.251,36.464,35.79,35.06,34.249,33.439,,
Poland,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,31.473,31.473,29.319,29.195,28.869,28.589,28.22,27.741,27.262,,
Poland,eCommerce,Revenue Share Payment Types,Cash on delivery,percent,Statista,13.42,13.42,11.518,10.635,9.762,9.028,8.369,7.766,7.164,,
Poland,eCommerce,Revenue Share Payment Types,Direct debits,percent,Statista,5.058,5.058,4.712,4.58,4.5,4.417,4.304,4.182,4.06,,
Poland,eCommerce,Revenue Share Payment Types,E-Invoice,percent,Statista,1.653,1.653,1.571,2.043,2.643,3.427,4.436,5.726,7.016,,
Poland,eCommerce,Revenue Share Payment Types,E-wallet,percent,Statista,7.93,7.93,12.042,13.191,14.712,15.756,16.695,17.501,18.307,,
Poland,eCommerce,Revenue Share Payment Types,Other,percent,Statista,0,0,3.141,3.104,3.05,2.993,2.917,2.834,2.752,,
Poland,eCommerce,Revenue Share Cross-border,Cross-border,percent,Statista|ecommercedb.com,5.645,5.796,5.952,6.077,6.178,6.258,6.32,6.368,6.405,,
Poland,eCommerce,Revenue Share Cross-border,Domestic,percent,Statista|ecommercedb.com,94.355,94.204,94.048,93.923,93.822,93.742,93.68,93.632,93.595,,
Poland,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Poland,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Poland,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Poland,eCommerce,Online & Offline Split,Offline,percent,Statista,92.542,92.323,92.047,90.455,89.741,88.767,87.615,86.254,84.718,,
Poland,eCommerce,Online & Offline Split,Online,percent,Statista,7.458,7.677,7.953,9.545,10.259,11.233,12.385,13.746,15.282,,
Poland,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,65.24,63.393,61.85,60.584,59.313,58.228,57.145,56.97,56.804,,
