Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Portugal,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.766,,,,,,
Portugal,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,21.792,,,,,,
Portugal,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,26.171,,,,,,
Portugal,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.422,,,,,,
Portugal,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,13.849,,,,,,
Portugal,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,51.324,,,,,,
Portugal,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,48.676,,,,,,
Portugal,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,32.807,,,,,,
Portugal,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,34.872,,,,,,
Portugal,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.321,,,,,,
Portugal,eCommerce,Revenue,Total,billion USD (US$),Statista,2.928,3.181,3.481,4.607,5.305,5.036,6.712,7.848,9.184,9.903,10.76
Portugal,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.36,0.391,0.428,0.563,0.649,0.652,0.861,1.033,1.244,1.345,1.471
Portugal,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.029,0.031,0.034,0.046,0.053,0.05,0.062,0.069,0.078,0.083,0.089
Portugal,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.792,0.858,0.93,1.216,1.382,1.204,1.691,1.948,2.24,2.414,2.617
Portugal,eCommerce,Revenue,Fashion,billion USD (US$),Statista,1.022,1.11,1.217,1.578,1.815,1.846,2.457,2.964,3.575,3.868,4.232
Portugal,eCommerce,Revenue,Food,billion USD (US$),Statista,0.049,0.054,0.059,0.09,0.109,0.102,0.125,0.138,0.152,0.164,0.177
