Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Qatar,eCommerce,Revenue,Total,billion USD (US$),Statista,2.002,2.216,2.363,2.972,3.409,3.66,4.667,5.351,6.1,6.606,7.167
Qatar,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.133,0.145,0.159,0.192,0.224,0.245,0.303,0.356,0.42,0.454,0.494
Qatar,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.037,0.042,0.049,0.07,0.086,0.101,0.135,0.168,0.208,0.228,0.252
Qatar,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.519,0.551,0.577,0.708,0.751,0.677,0.81,0.877,0.933,0.984,1.036
Qatar,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.627,0.668,0.693,0.757,0.898,1.019,1.265,1.466,1.695,1.827,1.98
Qatar,eCommerce,Revenue,Food,billion USD (US$),Statista,0.192,0.245,0.272,0.443,0.527,0.662,0.934,1.062,1.189,1.321,1.452
Qatar,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.28,0.297,0.316,0.401,0.433,0.414,0.557,0.66,0.784,0.842,0.914
Qatar,eCommerce,Revenue,Media,billion USD (US$),Statista,0.037,0.058,0.065,0.092,0.11,0.117,0.139,0.157,0.176,0.193,0.21
Qatar,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.176,0.21,0.233,0.31,0.38,0.424,0.523,0.604,0.695,0.758,0.828
Qatar,eCommerce,Revenue Change,Total,percent,Statista,,10.716,6.612,25.794,14.684,7.374,27.529,14.657,13.982,8.296,8.494
Qatar,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,9.175,9.288,21.248,16.25,9.648,23.679,17.489,17.883,8.03,8.891
Qatar,eCommerce,Revenue Change,Beverages,percent,Statista,,11.297,17.924,41.902,23.023,18.033,33.37,24.402,24.093,9.493,10.652
Qatar,eCommerce,Revenue Change,Electronics,percent,Statista,,6.177,4.72,22.604,6.207,-9.881,19.648,8.268,6.36,5.425,5.327
Qatar,eCommerce,Revenue Change,Fashion,percent,Statista,,6.605,3.634,9.265,18.597,13.512,24.106,15.93,15.632,7.75,8.408
Qatar,eCommerce,Revenue Change,Food,percent,Statista,,27.395,11.091,62.813,19.156,25.55,41.098,13.691,11.907,11.13,9.924
Qatar,eCommerce,Revenue Change,Furniture,percent,Statista,,6.315,6.143,27.087,7.891,-4.359,34.749,18.434,18.683,7.399,8.658
Qatar,eCommerce,Revenue Change,Media,percent,Statista,,56.596,12.425,40.845,19.73,6.635,18.831,12.77,11.978,9.469,8.853
Qatar,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,18.891,10.805,33.394,22.535,11.599,23.352,15.521,14.973,9.156,9.161
Qatar,eCommerce,Average Revenue per User,Total,thousand USD (US$),Statista,1.748,1.619,1.344,1.602,1.702,1.71,2.06,2.297,2.547,2.699,2.878
Qatar,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",thousand USD (US$),Statista,0.267,0.242,0.238,0.259,0.265,0.258,0.291,0.314,0.342,0.344,0.351
Qatar,eCommerce,Average Revenue per User,Beverages,thousand USD (US$),Statista,0.142,0.131,0.136,0.168,0.181,0.188,0.225,0.254,0.287,0.291,0.3
Qatar,eCommerce,Average Revenue per User,Electronics,thousand USD (US$),Statista,0.756,0.65,0.589,0.619,0.564,0.442,0.47,0.458,0.442,0.43,0.42
Qatar,eCommerce,Average Revenue per User,Fashion,thousand USD (US$),Statista,0.881,0.777,0.713,0.684,0.715,0.719,0.804,0.851,0.903,0.904,0.915
Qatar,eCommerce,Average Revenue per User,Food,thousand USD (US$),Statista,0.773,0.817,0.8,1.137,1.184,1.312,1.658,1.708,1.742,1.796,1.838
Qatar,eCommerce,Average Revenue per User,Furniture,thousand USD (US$),Statista,0.952,0.796,0.718,0.773,0.701,0.577,0.687,0.721,0.766,0.757,0.759
Qatar,eCommerce,Average Revenue per User,Media,thousand USD (US$),Statista,0.073,0.094,0.093,0.115,0.121,0.115,0.124,0.128,0.132,0.134,0.136
Qatar,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",thousand USD (US$),Statista,0.352,0.326,0.306,0.346,0.359,0.342,0.369,0.38,0.393,0.394,0.397
Qatar,eCommerce,Online & Offline Split,Offline,percent,Statista,88.838,89,88.795,86.656,85.834,84.555,83.021,81.762,80.249,,
Qatar,eCommerce,Online & Offline Split,Online,percent,Statista,11.162,11,11.205,13.344,14.166,15.445,16.979,18.238,19.751,,
Qatar,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,69.606,68.523,67.674,65.812,65.472,64.624,63.758,63.548,63.514,,
Qatar,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,30.394,31.477,32.326,34.188,34.528,35.376,36.242,36.452,36.486,,
Qatar,eCommerce,Users,Total,million users,Statista,1.145,1.369,1.758,1.855,2.003,2.14,2.266,2.33,2.395,2.448,2.49
Qatar,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,0.499,0.601,0.667,0.741,0.844,0.949,1.043,1.135,1.229,1.318,1.409
Qatar,eCommerce,Users,Beverages,million users,Statista,0.264,0.319,0.361,0.414,0.474,0.537,0.599,0.662,0.726,0.782,0.84
Qatar,eCommerce,Users,Electronics,million users,Statista,0.687,0.847,0.98,1.143,1.332,1.533,1.725,1.916,2.111,2.287,2.466
Qatar,eCommerce,Users,Fashion,million users,Statista,0.712,0.86,0.972,1.106,1.256,1.416,1.572,1.723,1.877,2.02,2.164
Qatar,eCommerce,Users,Food,million users,Statista,0.248,0.3,0.34,0.389,0.446,0.505,0.563,0.622,0.682,0.735,0.79
Qatar,eCommerce,Users,Furniture,million users,Statista,0.294,0.373,0.44,0.519,0.617,0.718,0.811,0.916,1.023,1.112,1.205
Qatar,eCommerce,Users,Media,million users,Statista,0.511,0.616,0.698,0.797,0.909,1.018,1.124,1.229,1.336,1.437,1.539
Qatar,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,0.501,0.643,0.76,0.896,1.058,1.24,1.417,1.591,1.769,1.926,2.086
Qatar,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,18.306,21.601,23.567,25.731,28.798,31.841,34.419,36.904,39.356,41.656,43.917
Qatar,eCommerce,Penetration Rate,Beverages,percent,Statista,9.693,11.451,12.763,14.366,16.171,18.017,19.781,21.503,23.242,24.712,26.194
Qatar,eCommerce,Penetration Rate,eCommerce,percent,Statista,42.021,49.222,62.061,64.379,68.348,71.816,74.8,75.726,76.707,77.34,77.64
Qatar,eCommerce,Penetration Rate,Electronics,percent,Statista,25.212,30.462,34.605,39.668,45.468,51.431,56.947,62.268,67.626,72.244,76.875
Qatar,eCommerce,Penetration Rate,Fashion,percent,Statista,26.128,30.925,34.306,38.382,42.854,47.532,51.91,55.996,60.113,63.81,67.48
Qatar,eCommerce,Penetration Rate,Food,percent,Statista,9.114,10.767,12.001,13.509,15.206,16.942,18.6,20.219,21.854,23.236,24.63
Qatar,eCommerce,Penetration Rate,Furniture,percent,Statista,10.777,13.418,15.525,18.012,21.063,24.085,26.784,29.773,32.785,35.145,37.571
Qatar,eCommerce,Penetration Rate,Media,percent,Statista,18.745,22.15,24.648,27.661,31.023,34.173,37.113,39.934,42.786,45.395,47.971
Qatar,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,18.38,23.127,26.83,31.091,36.089,41.622,46.789,51.719,56.683,60.846,65.051
Qatar,Electronics,Revenue,Total,billion USD (US$),Statista,0.519,0.551,0.577,0.708,0.751,0.677,0.81,0.877,0.933,0.984,1.036
Qatar,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,0.4,0.422,0.439,0.554,0.574,0.502,0.612,0.667,0.712,0.75,0.79
Qatar,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,0.119,0.129,0.138,0.153,0.178,0.175,0.198,0.21,0.221,0.234,0.246
Qatar,Electronics,Revenue Change,Total,percent,Statista,,6.177,4.72,22.604,6.207,-9.881,19.648,8.268,6.36,5.425,5.327
Qatar,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,5.469,4.106,26.288,3.45,-12.444,21.851,8.975,6.724,5.344,5.373
Qatar,Electronics,Revenue Change,Household Appliances,percent,Statista,,8.554,6.722,10.891,16.191,-1.618,13.325,6.086,5.208,5.684,5.18
Qatar,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,755.6,650.4,588.9,619.1,564,441.9,469.8,458,442,430.2,420.2
Qatar,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,626.1,538.4,488.3,533.1,477.8,368.6,403.1,395.8,383.5,374.1,366.3
Qatar,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,262.9,228.1,206.1,191.4,186.9,155.8,153.7,146,138.6,134.5,130.5
Qatar,Electronics,Online & Offline Split,Offline,percent,Statista,64.354,63.486,62.857,57.439,56.674,54.284,52.86,50.798,49.186,,
Qatar,Electronics,Online & Offline Split,Online,percent,Statista,35.646,36.514,37.143,42.561,43.326,45.716,47.14,49.202,50.814,,
Qatar,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,56.55,55.465,54.603,53.926,53.412,53.013,52.709,52.479,52.304,,
Qatar,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,43.45,44.535,45.397,46.074,46.588,46.987,47.291,47.521,47.696,,
Qatar,Electronics,Users by Segment,Total,million users,Statista,0.687,0.847,0.98,1.143,1.332,1.533,1.725,1.916,2.111,2.287,2.466
Qatar,Electronics,Users by Segment,Consumer Electronics,million users,Statista,0.639,0.783,0.899,1.04,1.201,1.362,1.518,1.685,1.856,2.004,2.157
Qatar,Electronics,Users by Segment,Household Appliances,million users,Statista,0.453,0.567,0.67,0.8,0.952,1.123,1.291,1.442,1.597,1.74,1.885
Qatar,Electronics,Penetration Rate by Segment,Consumer Electronics,percent,Statista,23.439,28.16,31.75,36.098,40.967,45.722,50.118,54.765,59.456,63.323,67.244
Qatar,Electronics,Penetration Rate by Segment,Electronics,percent,Statista,25.212,30.462,34.605,39.668,45.468,51.431,56.947,62.268,67.626,72.244,76.875
Qatar,Electronics,Penetration Rate by Segment,Household Appliances,percent,Statista,16.638,20.389,23.651,27.768,32.486,37.689,42.607,46.86,51.15,54.97,58.771
Qatar,Consumer Electronics,Revenue,Total,million USD (US$),Statista,399.9,421.7,439,554.5,573.6,502.2,611.9,666.9,711.7,749.7,790
Qatar,Consumer Electronics,Revenue,Computing,million USD (US$),Statista,65.91,71.18,74.76,88.66,93.57,79.61,96.66,102.5,108.5,113.1,118
Qatar,Consumer Electronics,Revenue,Other Consumer Electronics,million USD (US$),Statista,142.4,150.3,156.4,196.4,201.2,175.7,213.2,231.6,245.9,258.7,272.2
Qatar,Consumer Electronics,Revenue,Telephony,million USD (US$),Statista,117.4,122.5,127.6,171.3,169.5,154.3,188.1,210.5,226.3,240,254.5
Qatar,Consumer Electronics,Revenue,"TV, Radio & Multimedia",million USD (US$),Statista,72.69,76.32,78.87,96.52,107.8,91.39,112.7,121.1,129.7,136.7,144.2
Qatar,Consumer Electronics,Revenue,TV Peripheral Devices,million USD (US$),Statista,1.411,1.382,1.415,1.576,1.526,1.256,1.379,1.294,1.175,1.172,1.15
Qatar,Consumer Electronics,Revenue Change,Total,percent,Statista,,5.469,4.106,26.288,3.45,-12.444,21.851,8.975,6.724,5.344,5.373
Qatar,Consumer Electronics,Revenue Change,Computing,percent,Statista,,7.997,5.032,18.585,5.539,-14.922,21.418,5.993,5.913,4.25,4.308
Qatar,Consumer Electronics,Revenue Change,Other Consumer Electronics,percent,Statista,,5.541,4.056,25.543,2.476,-12.704,21.356,8.628,6.211,5.197,5.198
Qatar,Consumer Electronics,Revenue Change,Telephony,percent,Statista,,4.347,4.119,34.303,-1.084,-8.964,21.887,11.911,7.536,6.028,6.059
Qatar,Consumer Electronics,Revenue Change,"TV, Radio & Multimedia",percent,Statista,,4.993,3.351,22.368,11.667,-15.207,23.284,7.476,7.15,5.395,5.441
Qatar,Consumer Electronics,Revenue Change,TV Peripheral Devices,percent,Statista,,-2.013,2.396,11.323,-3.144,-17.715,9.808,-6.131,-9.216,-0.299,-1.822
Qatar,Consumer Electronics,Average Revenue per User,Total,USD (US$),Statista,626.1,538.4,488.3,533.1,477.8,368.6,403.1,395.8,383.5,374.1,366.3
Qatar,Consumer Electronics,Average Revenue per User,Computing,USD (US$),Statista,147.4,129.8,118.8,121.8,111.3,83.47,90.96,86.87,83.52,80.63,78.15
Qatar,Consumer Electronics,Average Revenue per User,Other Consumer Electronics,USD (US$),Statista,278.7,239.9,217.4,236,209.5,161.2,175.5,171.8,165.6,161.4,157.7
Qatar,Consumer Electronics,Average Revenue per User,Telephony,USD (US$),Statista,229.8,195.5,177.4,205.9,176.5,141.6,154.9,156.2,152.4,149.7,147.5
Qatar,Consumer Electronics,Average Revenue per User,"TV, Radio & Multimedia",USD (US$),Statista,284.5,243.6,219.3,232,224.4,167.7,185.5,179.7,174.8,170.6,167.1
Qatar,Consumer Electronics,Average Revenue per User,TV Peripheral Devices,USD (US$),Statista,7.363,5.882,5.247,5.05,4.237,3.072,3.028,2.561,2.11,1.948,1.778
Qatar,Consumer Electronics,Online & Offline Split,Offline,percent,Statista,62.845,62.161,61.686,55.061,54.874,52.595,51.331,49.161,47.43,,
Qatar,Consumer Electronics,Online & Offline Split,Online,percent,Statista,37.155,37.839,38.314,44.939,45.126,47.405,48.669,50.839,52.57,,
Qatar,Consumer Electronics,Mobile/Desktop Split,Desktop,percent,Statista,56.467,55.376,54.509,53.842,53.319,52.923,52.619,52.391,52.218,,
Qatar,Consumer Electronics,Mobile/Desktop Split,Mobile,percent,Statista,43.533,44.624,45.491,46.158,46.681,47.077,47.381,47.609,47.782,,
Qatar,Consumer Electronics,Users,Total,million users,Statista,0.639,0.783,0.899,1.04,1.201,1.362,1.518,1.685,1.856,2.004,2.157
Qatar,Consumer Electronics,Users,Computing,million users,Statista,0.447,0.548,0.629,0.728,0.84,0.954,1.063,1.179,1.299,1.403,1.51
Qatar,Consumer Electronics,Users,Other Consumer Electronics,million users,Statista,0.511,0.627,0.719,0.832,0.96,1.09,1.214,1.348,1.485,1.603,1.726
Qatar,Consumer Electronics,Users,Telephony,million users,Statista,0.511,0.627,0.719,0.832,0.96,1.09,1.214,1.348,1.485,1.603,1.726
Qatar,Consumer Electronics,Users,"TV, Radio & Multimedia",million users,Statista,0.255,0.313,0.36,0.416,0.48,0.545,0.607,0.674,0.742,0.802,0.863
Qatar,Consumer Electronics,Users,TV Peripheral Devices,million users,Statista,0.192,0.235,0.27,0.312,0.36,0.409,0.455,0.505,0.557,0.601,0.647
Qatar,Consumer Electronics,Penetration Rate,Computing,percent,Statista,16.407,19.712,22.225,25.269,28.677,32.005,35.082,38.335,41.619,44.328,47.074
Qatar,Consumer Electronics,Penetration Rate,Consumer Electronics,percent,Statista,23.439,28.16,31.75,36.098,40.967,45.722,50.118,54.765,59.456,63.323,67.244
Qatar,Consumer Electronics,Penetration Rate,Other Consumer Electronics,percent,Statista,18.751,22.528,25.4,28.879,32.774,36.577,40.094,43.812,47.564,50.66,53.799
Qatar,Consumer Electronics,Penetration Rate,Telephony,percent,Statista,18.751,22.528,25.4,28.879,32.774,36.577,40.094,43.812,47.564,50.66,53.799
Qatar,Consumer Electronics,Penetration Rate,"TV, Radio & Multimedia",percent,Statista,9.376,11.264,12.7,14.439,16.387,18.289,20.047,21.906,23.782,25.33,26.9
Qatar,Consumer Electronics,Penetration Rate,TV Peripheral Devices,percent,Statista,7.032,8.448,9.525,10.829,12.29,13.716,15.035,16.429,17.837,18.998,20.175
Qatar,Household Appliances,Revenue,Total,million USD (US$),Statista,119.2,129.4,138.1,153.1,177.9,175,198.4,210.4,221.4,234,246.1
Qatar,Household Appliances,Revenue,Major Appliances,million USD (US$),Statista,54.24,58.88,62.56,69.3,81.98,82.55,94.18,100.6,106.7,113.4,120.1
Qatar,Household Appliances,Revenue,Other Household Appliances,million USD (US$),Statista,26.8,29.1,31.05,34.44,40.01,39.36,44.61,47.32,49.79,52.74,55.59
Qatar,Household Appliances,Revenue,Small Appliances,million USD (US$),Statista,38.14,41.41,44.46,49.39,55.92,53.12,59.56,62.53,64.94,67.78,70.42
Qatar,Household Appliances,Revenue Change,Total,percent,Statista,,8.554,6.722,10.891,16.191,-1.618,13.325,6.086,5.208,5.684,5.18
Qatar,Household Appliances,Revenue Change,Major Appliances,percent,Statista,,8.552,6.259,10.761,18.31,0.694,14.088,6.787,6.048,6.361,5.847
Qatar,Household Appliances,Revenue Change,Other Household Appliances,percent,Statista,,8.554,6.722,10.891,16.191,-1.618,13.325,6.086,5.208,5.937,5.405
Qatar,Household Appliances,Revenue Change,Small Appliances,percent,Statista,,8.558,7.38,11.075,13.217,-5.007,12.139,4.977,3.856,4.379,3.888
Qatar,Household Appliances,Average Revenue per User,Total,USD (US$),Statista,262.9,228.1,206.1,191.4,186.9,155.8,153.7,146,138.6,134.5,130.5
Qatar,Household Appliances,Average Revenue per User,Major Appliances,USD (US$),Statista,299.1,259.5,233.5,216.5,215.3,183.8,182.4,174.4,167,163,159.2
Qatar,Household Appliances,Average Revenue per User,Other Household Appliances,USD (US$),Statista,295.6,256.5,231.8,215.2,210.1,175.2,172.8,164.1,155.9,151.6,147.4
Qatar,Household Appliances,Average Revenue per User,Small Appliances,USD (US$),Statista,105.2,91.26,82.98,77.17,73.42,59.12,57.69,54.22,50.84,48.7,46.7
Qatar,Household Appliances,Online & Offline Split,Offline,percent,Statista,68.629,67.228,66.145,64.283,61.611,59.094,57.248,55.579,54.349,,
Qatar,Household Appliances,Online & Offline Split,Online,percent,Statista,31.371,32.772,33.855,35.717,38.389,40.906,42.752,44.421,45.651,,
Qatar,Household Appliances,Mobile/Desktop Split,Desktop,percent,Statista,56.828,55.756,54.901,54.229,53.709,53.309,53.004,52.772,52.596,,
Qatar,Household Appliances,Mobile/Desktop Split,Mobile,percent,Statista,43.172,44.244,45.099,45.771,46.291,46.691,46.996,47.228,47.404,,
Qatar,Household Appliances,Users,Total,million users,Statista,0.453,0.567,0.67,0.8,0.952,1.123,1.291,1.442,1.597,1.74,1.885
Qatar,Household Appliances,Users,Major Appliances,million users,Statista,0.181,0.227,0.268,0.32,0.381,0.449,0.516,0.577,0.639,0.696,0.754
Qatar,Household Appliances,Users,Other Household Appliances,million users,Statista,0.091,0.113,0.134,0.16,0.19,0.225,0.258,0.288,0.319,0.348,0.377
Qatar,Household Appliances,Users,Small Appliances,million users,Statista,0.363,0.454,0.536,0.64,0.762,0.898,1.032,1.153,1.277,1.392,1.508
Qatar,Household Appliances,Penetration Rate,Household Appliances,percent,Statista,16.638,20.389,23.651,27.768,32.486,37.689,42.607,46.86,51.15,54.97,58.771
Qatar,Household Appliances,Penetration Rate,Major Appliances,percent,Statista,6.655,8.155,9.46,11.107,12.994,15.076,17.043,18.744,20.46,21.988,23.509
Qatar,Household Appliances,Penetration Rate,Other Household Appliances,percent,Statista,3.328,4.078,4.73,5.554,6.497,7.538,8.521,9.372,10.23,10.995,11.755
Qatar,Household Appliances,Penetration Rate,Small Appliances,percent,Statista,13.31,16.311,18.921,22.214,25.989,30.151,34.086,37.488,40.92,43.976,47.017
Qatar,"Beauty, Health, Personal & Household Care",Revenue,Total,million USD (US$),Statista,132.9,145.1,158.6,192.3,223.6,245.2,303.2,356.2,419.9,453.7,494
Qatar,"Beauty, Health, Personal & Household Care",Revenue,Beauty Care,million USD (US$),Statista,33.92,36.04,38.96,46.56,55.57,59.92,72.75,83.79,96.64,104.2,112.9
Qatar,"Beauty, Health, Personal & Household Care",Revenue,Health Care,million USD (US$),Statista,0.547,0.659,0.798,0.939,1.182,1.399,1.871,2.38,3.056,3.332,3.695
Qatar,"Beauty, Health, Personal & Household Care",Revenue,Household Care,million USD (US$),Statista,14.7,15.95,17.36,21.34,24.97,30.76,42.58,55.72,72.75,79.14,87.88
Qatar,"Beauty, Health, Personal & Household Care",Revenue,Personal Care,million USD (US$),Statista,83.78,92.5,101.5,123.5,141.9,153.1,186,214.4,247.5,267,289.5
Qatar,"Beauty, Health, Personal & Household Care",Revenue Change,Total,percent,Statista,,9.175,9.288,21.248,16.25,9.648,23.679,17.489,17.883,8.03,8.891
Qatar,"Beauty, Health, Personal & Household Care",Revenue Change,Beauty Care,percent,Statista,,6.247,8.105,19.501,19.367,7.814,21.415,15.173,15.346,7.829,8.383
Qatar,"Beauty, Health, Personal & Household Care",Revenue Change,Health Care,percent,Statista,,20.511,21.167,17.681,25.846,18.337,33.728,27.246,28.371,9.047,10.898
Qatar,"Beauty, Health, Personal & Household Care",Revenue Change,Household Care,percent,Statista,,8.493,8.836,22.927,17.01,23.174,38.432,30.842,30.567,8.782,11.042
Qatar,"Beauty, Health, Personal & Household Care",Revenue Change,Personal Care,percent,Statista,,10.406,9.742,21.66,14.871,7.913,21.509,15.24,15.462,7.875,8.426
Qatar,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Total,USD (US$),Statista,266.5,241.6,237.7,259.4,264.9,258.4,290.8,313.8,341.8,344.1,350.7
Qatar,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,97.15,85.68,83.39,89.72,94.07,90.21,99.68,105.4,112.4,112.9,114.5
Qatar,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Health Care,USD (US$),Statista,1.712,1.713,1.869,1.98,2.189,2.304,2.804,3.276,3.886,3.949,4.099
Qatar,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Household Care,USD (US$),Statista,77.58,69.87,68.46,75.77,77.87,85.31,107.5,129.1,155.8,158,164.2
