Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Romania,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,14.213,,,,,,
Romania,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,23.824,,,,,,
Romania,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,24.847,,,,,,
Romania,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.517,,,,,,
Romania,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,13.599,,,,,,
Romania,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,51.125,,,,,,
Romania,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,48.875,,,,,,
Romania,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,33.333,,,,,,
Romania,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.203,,,,,,
Romania,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.463,,,,,,
Romania,eCommerce,Revenue,Total,billion USD (US$),Statista,1.4,1.798,2.374,4.177,5.966,5.597,7.582,8.89,10.43,11.46,12.58
Romania,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.211,0.291,0.408,0.631,0.911,0.886,1.199,1.437,1.73,1.908,2.109
Romania,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.008,0.011,0.015,0.024,0.035,0.032,0.041,0.046,0.052,0.057,0.062
Romania,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.237,0.337,0.485,0.821,1.228,1.099,1.618,1.939,2.321,2.571,2.85
Romania,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.662,0.805,1.004,1.935,2.744,2.628,3.486,4.077,4.762,5.218,5.712
Romania,eCommerce,Revenue,Food,billion USD (US$),Statista,0.033,0.044,0.061,0.111,0.163,0.146,0.181,0.197,0.215,0.233,0.25
Romania,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.04,0.051,0.068,0.108,0.152,0.126,0.188,0.218,0.252,0.279,0.306
Romania,eCommerce,Revenue,Media,billion USD (US$),Statista,0.051,0.057,0.066,0.091,0.103,0.089,0.105,0.108,0.111,0.114,0.117
Romania,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.158,0.203,0.268,0.455,0.629,0.591,0.764,0.867,0.985,1.077,1.173
Romania,eCommerce,Revenue Change,Total,percent,Statista,,28.41,32.029,75.94,42.805,-6.181,35.468,17.257,17.294,9.86,9.802
Romania,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,38.086,40.069,54.784,44.347,-2.783,35.327,19.888,20.396,10.249,10.578
Romania,eCommerce,Revenue Change,Beverages,percent,Statista,,33.777,36.726,64.193,43.789,-8.314,27.452,12.771,13.115,8.936,8.496
Romania,eCommerce,Revenue Change,Electronics,percent,Statista,,42.048,43.864,69.432,49.482,-10.447,47.199,19.846,19.67,10.78,10.851
Romania,eCommerce,Revenue Change,Fashion,percent,Statista,,21.534,24.698,92.765,41.82,-4.241,32.668,16.94,16.804,9.574,9.468
Romania,eCommerce,Revenue Change,Food,percent,Statista,,33.854,36.77,83.132,47.486,-10.597,23.771,9.043,8.893,8.541,7.299
Romania,eCommerce,Revenue Change,Furniture,percent,Statista,,28.692,33.334,58.996,40.858,-17.565,49.732,16.042,15.533,10.377,10.038
Romania,eCommerce,Revenue Change,Media,percent,Statista,,10.292,16.894,38.144,12.617,-13.525,17.715,3.064,2.456,3.016,2.292
Romania,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,28.236,32.53,69.551,38.133,-6.014,29.27,13.525,13.564,9.364,8.885
Romania,eCommerce,Average Revenue per User,Total,USD (US$),Statista,268.6,298.8,315,500.6,648.1,576,741.9,851.9,979.2,"1,049","1,132"
Romania,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,83.1,101.4,122.9,159.6,204,178.5,221.9,249.3,283.5,292.9,306.1
Romania,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,6.026,6.91,7.875,11.06,13.76,11.14,12.85,13.44,14.18,14.33,14.54
Romania,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,63.36,77.38,93.43,134.7,176,140.2,187.9,210.6,236.9,245.1,256
Romania,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,177.5,187,197.4,328,407.2,348.1,420.5,457.6,500.1,510.5,524.7
Romania,eCommerce,Average Revenue per User,Food,USD (US$),Statista,26.06,29.89,34.08,53.37,68.12,53.79,60.26,60.93,61.89,62.31,62.54
Romania,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,25.71,27.38,29.51,39.11,46.18,32.79,43.59,46.27,49.29,49.96,50.95
Romania,eCommerce,Average Revenue per User,Media,USD (US$),Statista,17.64,17.05,17.41,21.47,22.03,17.65,19.55,19.13,18.66,18.39,18.09
Romania,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,56.32,60.9,66.41,95.24,111.7,91.04,105.4,110.3,123.9,125.9,129.8
Romania,eCommerce,Online & Offline Split,Offline,percent,Statista,97.91,97.529,96.965,95.021,93.192,92.58,91.808,90.867,89.791,,
Romania,eCommerce,Online & Offline Split,Online,percent,Statista,2.09,2.471,3.035,4.979,6.808,7.42,8.192,9.133,10.209,,
Romania,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,66.227,63.544,61.373,59.929,58.698,57.891,57.365,56.863,56.363,,
Romania,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,33.773,36.456,38.627,40.071,41.302,42.109,42.635,43.137,43.637,,
Romania,eCommerce,Users,Total,million users,Statista,5.213,6.019,7.537,8.344,9.204,9.717,10.22,10.436,10.65,10.918,11.116
Romania,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,2.537,2.871,3.319,3.955,4.466,4.964,5.402,5.765,6.104,6.512,6.891
Romania,eCommerce,Users,Beverages,million users,Statista,1.349,1.574,1.888,2.208,2.551,2.889,3.192,3.442,3.69,3.978,4.253
Romania,eCommerce,Users,Electronics,million users,Statista,3.744,4.354,5.188,6.097,6.974,7.841,8.611,9.21,9.798,10.489,11.132
Romania,eCommerce,Users,Fashion,million users,Statista,3.732,4.305,5.086,5.9,6.739,7.55,8.29,8.91,9.522,10.221,10.886
Romania,eCommerce,Users,Food,million users,Statista,1.269,1.48,1.776,2.076,2.399,2.716,3.001,3.236,3.47,3.74,3.999
Romania,eCommerce,Users,Furniture,million users,Statista,1.543,1.865,2.307,2.769,3.302,3.834,4.318,4.721,5.12,5.576,6.015
Romania,eCommerce,Users,Media,million users,Statista,2.907,3.316,3.796,4.252,4.667,5.038,5.354,5.64,5.922,6.19,6.437
Romania,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,2.805,3.326,4.042,4.779,5.627,6.491,7.248,7.862,7.951,8.557,9.035
Romania,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,12.911,14.719,17.139,20.559,23.347,26.083,28.515,30.569,32.513,34.857,37.068
Romania,eCommerce,Penetration Rate,Beverages,percent,Statista,6.864,8.07,9.751,11.479,13.339,15.18,16.847,18.25,19.655,21.292,22.876
Romania,eCommerce,Penetration Rate,eCommerce,percent,Statista,26.526,30.856,38.921,43.374,48.12,51.056,53.947,55.335,56.729,58.436,59.793
Romania,eCommerce,Penetration Rate,Electronics,percent,Statista,19.048,22.323,26.79,31.695,36.46,41.198,45.456,48.837,52.19,56.142,59.881
Romania,eCommerce,Penetration Rate,Fashion,percent,Statista,18.989,22.069,26.265,30.667,35.231,39.671,43.76,47.244,50.722,54.706,58.558
Romania,eCommerce,Penetration Rate,Food,percent,Statista,6.455,7.588,9.169,10.793,12.543,14.274,15.841,17.16,18.482,20.021,21.51
Romania,eCommerce,Penetration Rate,Furniture,percent,Statista,7.852,9.563,11.915,14.391,17.263,20.146,22.794,25.033,27.275,29.844,32.357
Romania,eCommerce,Penetration Rate,Media,percent,Statista,14.788,16.999,19.604,22.101,24.397,26.473,28.264,29.903,31.546,33.134,34.627
Romania,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,14.27,17.049,20.873,24.842,29.416,34.105,38.258,41.687,42.351,45.803,48.599
Romania,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.569,,,,,,
Romania,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,22.566,,,,,,
Romania,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.286,,,,,,
Romania,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.599,,,,,,
Romania,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,12.979,,,,,,
Romania,Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,42.92,,,,,,
Romania,Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,57.08,,,,,,
Romania,Electronics,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,36.863,,,,,,
Romania,Electronics,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.627,,,,,,
Romania,Electronics,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.51,,,,,,
Romania,Electronics,Revenue,Total,billion USD (US$),Statista,0.237,0.337,0.485,0.821,1.228,1.099,1.618,1.939,2.321,2.571,2.85
Romania,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,0.143,0.209,0.305,0.528,0.792,0.672,1.036,1.239,1.477,1.639,1.817
Romania,Electronics,Revenue,Household Appliances,billion USD (US$),Statista,0.094,0.127,0.18,0.294,0.435,0.427,0.582,0.701,0.844,0.933,1.033
Romania,Electronics,Revenue Change,Total,percent,Statista,,42.048,43.864,69.432,49.482,-10.447,47.199,19.846,19.67,10.78,10.851
Romania,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,46.404,45.579,73.01,50.133,-15.162,54.164,19.567,19.229,10.92,10.892
Romania,Electronics,Revenue Change,Household Appliances,percent,Statista,,35.423,41.044,63.36,48.312,-1.869,36.242,20.343,20.45,10.535,10.777
Romania,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,63.36,77.38,93.43,134.7,176,140.2,187.9,210.6,236.9,245.1,256
Romania,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,40.05,51.04,63.46,95.11,127.5,98.46,141.1,160.4,182.3,192.2,204
Romania,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,38.92,44.19,50.64,68.78,86.25,72.56,87.13,95.61,105.9,107.5,110.3
Romania,Electronics,Online & Offline Split,Offline,percent,Statista,95.76,94.234,91.944,86.652,81.047,78.391,75.096,71.183,66.897,,
Romania,Electronics,Online & Offline Split,Online,percent,Statista,4.24,5.766,8.056,13.348,18.953,21.609,24.904,28.817,33.103,,
Romania,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,65.881,63.11,60.881,59.47,58.251,57.445,56.927,56.433,55.94,,
Romania,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,34.119,36.89,39.119,40.53,41.749,42.555,43.073,43.567,44.06,,
Romania,Electronics,Users by Segment,Total,million users,Statista,3.744,4.354,5.188,6.097,6.974,7.841,8.611,9.21,9.798,10.489,11.132
Romania,Electronics,Users by Segment,Consumer Electronics,million users,Statista,3.574,4.105,4.807,5.549,6.216,6.826,7.344,7.725,8.102,8.527,8.905
Romania,Electronics,Users by Segment,Household Appliances,million users,Statista,2.417,2.883,3.549,4.268,5.048,5.888,6.681,7.327,7.967,8.675,9.365
Romania,Electronics,Penetration Rate by Segment,Consumer Electronics,percent,Statista,18.182,21.044,24.821,28.842,32.496,35.869,38.766,40.96,43.158,45.639,47.902
Romania,Electronics,Penetration Rate by Segment,Electronics,percent,Statista,19.048,22.323,26.79,31.695,36.46,41.198,45.456,48.837,52.19,56.142,59.881
Romania,Electronics,Penetration Rate by Segment,Household Appliances,percent,Statista,12.3,14.78,18.328,22.187,26.392,30.941,35.266,38.85,42.439,46.435,50.373
Romania,Household Appliances,Revenue,Total,million USD (US$),Statista,94.08,127.4,179.7,293.6,435.4,427.3,582.1,700.5,843.8,932.7,"1,033"
Romania,Household Appliances,Revenue,Major Appliances,million USD (US$),Statista,48.82,66.11,93.25,152.2,225.7,221.2,301,361.8,435.2,481.1,532.8
Romania,Household Appliances,Revenue,Other Household Appliances,million USD (US$),Statista,17.73,24.01,33.86,55.31,82.04,80.5,109.7,132,159,175.7,194.7
Romania,Household Appliances,Revenue,Small Appliances,million USD (US$),Statista,27.54,37.29,52.6,86.06,127.7,125.6,171.4,206.8,249.6,275.9,305.7
