Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Singapore,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,12.627,,,,,,
Singapore,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,22.403,,,,,,
Singapore,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.931,,,,,,
Singapore,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.32,,,,,,
Singapore,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.719,,,,,,
Singapore,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,47.556,,,,,,
Singapore,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,52.444,,,,,,
Singapore,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,34.522,,,,,,
Singapore,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,34.407,,,,,,
Singapore,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.07,,,,,,
Singapore,eCommerce,Revenue,Total,billion USD (US$),Statista,1.611,2.211,2.985,4.559,6.265,6.414,8.232,9.605,11.21,12.3,13.48
Singapore,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.281,0.342,0.407,0.519,0.637,0.692,0.877,1.039,1.234,1.345,1.474
Singapore,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.095,0.126,0.165,0.265,0.383,0.433,0.569,0.698,0.856,0.946,1.05
Singapore,eCommerce,Revenue,Electronics,billion USD (US$),Statista,0.351,0.526,0.736,1.257,1.684,1.54,1.953,2.168,2.4,2.601,2.798
Singapore,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.395,0.551,0.754,1.108,1.626,1.761,2.221,2.618,3.089,3.41,3.761
