Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
South Africa,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,24.323,,,,,,
South Africa,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,36.022,,,,,,
South Africa,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.123,,,,,,
South Africa,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,11.515,,,,,,
South Africa,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,3.02,,,,,,
South Africa,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,52.032,,,,,,
South Africa,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,47.968,,,,,,
South Africa,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,39.283,,,,,,
South Africa,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,28.895,,,,,,
South Africa,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.822,,,,,,
South Africa,eCommerce,Revenue,Total,billion USD (US$),Statista,4.406,4.672,5.011,6.445,7.162,7.068,9.193,10.9,12.99,13.92,15.1
South Africa,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.481,0.515,0.558,0.686,0.76,0.82,1.066,1.321,1.649,1.777,1.949
South Africa,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.088,0.095,0.105,0.146,0.185,0.175,0.199,0.215,0.236,0.249,0.263
South Africa,eCommerce,Revenue,Electronics,billion USD (US$),Statista,1.339,1.387,1.44,1.719,1.821,1.809,2.565,3.173,3.928,4.202,4.581
South Africa,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.448,0.519,0.602,0.806,0.947,1.002,1.274,1.538,1.864,2.02,2.213
South Africa,eCommerce,Revenue,Food,billion USD (US$),Statista,0.243,0.264,0.291,0.481,0.565,0.534,0.606,0.652,0.704,0.748,0.791
