Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Turkey,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,21.15,,,,,,
Turkey,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,28.558,,,,,,
Turkey,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.731,,,,,,
Turkey,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,16.764,,,,,,
Turkey,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,7.8,,,,,,
Turkey,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,45.906,,,,,,
Turkey,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,54.094,,,,,,
Turkey,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.21,,,,,,
Turkey,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.009,,,,,,
Turkey,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.781,,,,,,
Turkey,eCommerce,Revenue,Total,billion USD (US$),Statista,11.16,11.56,12.65,18.32,21.58,20.87,29.58,36.05,43.93,47.3,51.58
Turkey,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.552,0.618,0.725,1.042,1.292,1.335,1.815,2.25,2.804,3.058,3.377
Turkey,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.019,0.026,0.036,0.06,0.085,0.085,0.111,0.132,0.159,0.174,0.192
Turkey,eCommerce,Revenue,Electronics,billion USD (US$),Statista,4.734,4.918,5.356,7.908,9.197,8.374,12.6,15.36,18.64,20.08,21.91
Turkey,eCommerce,Revenue,Fashion,billion USD (US$),Statista,3.067,3.084,3.3,4.54,5.271,5.575,7.725,9.721,12.24,13.12,14.32
Turkey,eCommerce,Revenue,Food,billion USD (US$),Statista,0.08,0.111,0.154,0.311,0.462,0.412,0.48,0.507,0.536,0.57,0.598
Turkey,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.724,0.757,0.838,1.122,1.319,1.198,1.868,2.322,2.879,3.128,3.446
Turkey,eCommerce,Revenue,Media,billion USD (US$),Statista,0.181,0.202,0.252,0.38,0.519,0.541,0.691,0.759,0.826,0.913,0.995
Turkey,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,1.802,1.845,1.995,2.955,3.435,3.351,4.29,4.998,5.844,6.253,6.745
Turkey,eCommerce,Revenue Change,Total,percent,Statista,,3.584,9.429,44.822,17.795,-3.29,41.735,21.873,21.859,7.671,9.049
Turkey,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,11.97,17.192,43.803,23.992,3.328,35.955,23.967,24.622,9.058,10.432
Turkey,eCommerce,Revenue Change,Beverages,percent,Statista,,38.25,39.156,68.239,42.18,-0.481,30.825,19.297,20.03,9.824,10.206
Turkey,eCommerce,Revenue Change,Electronics,percent,Statista,,3.887,8.906,47.647,16.3,-8.949,50.466,21.905,21.354,7.725,9.114
Turkey,eCommerce,Revenue Change,Fashion,percent,Statista,,0.554,7.004,37.576,16.101,5.767,38.565,25.838,25.913,7.19,9.146
Turkey,eCommerce,Revenue Change,Food,percent,Statista,,38.124,38.954,102.077,48.362,-10.844,16.533,5.687,5.717,6.228,4.88
Turkey,eCommerce,Revenue Change,Furniture,percent,Statista,,4.657,10.696,33.842,17.558,-9.174,55.927,24.304,23.988,8.649,10.166
Turkey,eCommerce,Revenue Change,Media,percent,Statista,,11.449,24.864,51.113,36.612,4.236,27.614,9.857,8.854,10.458,8.974
Turkey,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,2.386,8.13,48.12,16.244,-2.445,28.021,16.503,16.927,6.999,7.868
Turkey,eCommerce,Average Revenue per User,Total,USD (US$),Statista,444.1,392.7,381.1,492.4,528.5,474,602.8,674.3,756.9,762.8,780.4
Turkey,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,52.24,48.94,50.12,63.33,70.2,64.17,78.61,89.43,102.5,103.9,107.2
Turkey,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,3.636,3.979,4.606,6.524,7.96,6.912,8.007,8.738,9.635,9.744,9.961
Turkey,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,295.7,256.5,243.8,311.9,320.8,263,363.4,413.8,470.1,475.5,490
Turkey,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,211.6,173.6,157.9,185.1,186.3,172.9,215.4,248.6,288.2,285.5,290.1
Turkey,eCommerce,Average Revenue per User,Food,USD (US$),Statista,16.77,18.34,21.19,36.06,45.91,35.72,36.87,35.65,34.61,33.85,32.94
Turkey,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,118.1,96.72,88.02,97.42,96.57,74.5,102,114.9,129.7,129.2,131.5
Turkey,eCommerce,Average Revenue per User,Media,USD (US$),Statista,17.13,15.63,16.6,21.5,25.67,24,27.9,28.31,28.54,29.38,30.03
Turkey,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,165.7,134.7,120.3,148.7,146.5,122.5,137.2,145,154.5,151.8,151.4
Turkey,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,7.398,7.252,7.483,7.667,7.722,7.754,7.73,7.715,7.699,,
Turkey,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,80.219,80.608,80.519,80.556,80.353,80.253,80.198,80.116,80.034,,
Turkey,eCommerce,Revenue Share Payment Types,Cash on delivery,percent,Statista,4.934,4.837,4.486,4.167,3.858,3.598,3.377,3.185,2.993,,
Turkey,eCommerce,Revenue Share Payment Types,Direct debits,percent,Statista,1.829,1.793,1.85,1.806,1.819,1.826,1.821,1.817,1.813,,
Turkey,eCommerce,Revenue Share Payment Types,E-Invoice,percent,Statista,1.321,1.295,1.33,1.361,1.378,1.394,1.408,1.42,1.432,,
Turkey,eCommerce,Revenue Share Payment Types,E-wallet,percent,Statista,3.236,3.172,3.257,3.333,3.75,4.051,4.346,4.629,4.913,,
Turkey,eCommerce,Revenue Share Payment Types,Other,percent,Statista,1.063,1.042,1.075,1.111,1.119,1.124,1.12,1.118,1.116,,
Turkey,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Turkey,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Turkey,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Turkey,eCommerce,Online & Offline Split,Offline,percent,Statista,95.402,95.531,95.4,93.919,93.22,92.281,91.196,89.9,88.389,,
Turkey,eCommerce,Online & Offline Split,Online,percent,Statista,4.598,4.469,4.6,6.081,6.78,7.719,8.804,10.1,11.611,,
Turkey,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,73.223,68.403,63.361,58.883,55.736,54.009,52.249,51.737,51.235,,
Turkey,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,26.777,31.597,36.639,41.117,44.264,45.991,47.751,48.263,48.765,,
Turkey,eCommerce,Users,Total,million users,Statista,25.123,29.44,33.208,37.203,40.836,44.032,49.079,53.465,58.037,62.008,66.096
Turkey,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,10.57,12.635,14.457,16.447,18.399,20.804,23.085,25.157,27.365,29.427,31.506
Turkey,eCommerce,Users,Beverages,million users,Statista,5.091,6.43,7.733,9.183,10.701,12.264,13.845,15.135,16.48,17.9,19.293
Turkey,eCommerce,Users,Electronics,million users,Statista,16.011,19.175,21.97,25.356,28.666,31.836,34.684,37.124,39.648,42.242,44.715
Turkey,eCommerce,Users,Fashion,million users,Statista,14.492,17.767,20.902,24.534,28.292,32.244,35.871,39.106,42.481,45.954,49.377
Turkey,eCommerce,Users,Food,million users,Statista,4.787,6.046,7.271,8.635,10.062,11.532,13.018,14.231,15.496,16.831,18.141
Turkey,eCommerce,Users,Furniture,million users,Statista,6.129,7.83,9.525,11.513,13.658,16.08,18.319,20.215,22.195,24.21,26.203
Turkey,eCommerce,Users,Media,million users,Statista,10.556,12.891,15.159,17.681,20.233,22.556,24.762,26.813,28.948,31.059,33.119
Turkey,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,10.876,13.7,16.585,19.874,23.446,27.343,31.275,34.479,37.825,41.206,44.558
Turkey,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,13.031,15.344,17.329,19.502,21.635,24.315,26.856,29.145,31.561,33.769,35.961
Turkey,eCommerce,Penetration Rate,Beverages,percent,Statista,6.277,7.809,9.268,10.888,12.583,14.334,16.107,17.534,19.007,20.541,22.021
Turkey,eCommerce,Penetration Rate,eCommerce,percent,Statista,30.972,35.755,39.804,44.111,48.018,51.462,57.097,61.941,66.936,71.158,75.441
Turkey,eCommerce,Penetration Rate,Electronics,percent,Statista,19.739,23.288,26.334,30.065,33.708,37.208,40.351,43.009,45.727,48.475,51.037
Turkey,eCommerce,Penetration Rate,Fashion,percent,Statista,17.865,21.577,25.054,29.09,33.268,37.685,41.731,45.305,48.994,52.735,56.359
Turkey,eCommerce,Penetration Rate,Food,percent,Statista,5.902,7.342,8.715,10.238,11.832,13.478,15.145,16.487,17.872,19.315,20.706
Turkey,eCommerce,Penetration Rate,Furniture,percent,Statista,7.556,9.509,11.416,13.651,16.06,18.794,21.312,23.419,25.598,27.782,29.908
Turkey,eCommerce,Penetration Rate,Media,percent,Statista,13.013,15.656,18.17,20.964,23.791,26.362,28.807,31.064,33.387,35.641,37.801
Turkey,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,13.408,16.638,19.879,23.564,27.569,31.957,36.385,39.944,43.624,47.287,50.858
Turkey,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,19.858,,,,,,
Turkey,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,29.362,,,,,,
Turkey,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,29.078,,,,,,
Turkey,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,15.319,,,,,,
Turkey,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,6.38,,,,,,
