Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
United Kingdom,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,13.916,,,,,,
United Kingdom,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,23.228,,,,,,
United Kingdom,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.452,,,,,,
United Kingdom,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.038,,,,,,
United Kingdom,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,18.365,,,,,,
United Kingdom,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,51.319,,,,,,
United Kingdom,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,48.681,,,,,,
United Kingdom,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,34.423,,,,,,
United Kingdom,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,31.867,,,,,,
United Kingdom,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.71,,,,,,
United Kingdom,eCommerce,Revenue,Total,billion USD (US$),Statista,125.4,129.1,134.2,163.4,177.5,164.1,211.7,239.7,271,286.2,304.8
United Kingdom,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,12.6,13.23,13.88,16.71,18.93,18.37,23.33,26.9,31.09,33.01,35.38
United Kingdom,eCommerce,Revenue,Beverages,billion USD (US$),Statista,6.07,6.34,6.691,9.239,10.11,9.972,12.82,14.92,17.3,18.5,19.94
United Kingdom,eCommerce,Revenue,Electronics,billion USD (US$),Statista,26.24,26.57,26.96,31.92,34.03,28.15,36.9,39.87,42.88,44.65,46.67
United Kingdom,eCommerce,Revenue,Fashion,billion USD (US$),Statista,38.89,40.35,42.27,49.15,54.05,51.47,63.79,71.38,79.5,83.88,89.09
United Kingdom,eCommerce,Revenue,Food,billion USD (US$),Statista,5.076,5.215,5.498,8.819,9.558,9.758,13.03,15.77,19.11,20.56,22.4
United Kingdom,eCommerce,Revenue,Furniture,billion USD (US$),Statista,16.4,16.7,17.23,20.16,20.41,18.28,27.96,33.93,40.87,43.27,46.64
United Kingdom,eCommerce,Revenue,Media,billion USD (US$),Statista,3.061,3.165,3.35,4.456,4.968,4.428,5.077,5.205,5.325,5.614,5.862
United Kingdom,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,17.08,17.49,18.27,22.94,25.46,23.72,28.82,31.69,34.9,36.73,38.82
United Kingdom,eCommerce,Revenue Change,Total,percent,Statista,,2.951,3.95,21.759,8.629,-7.549,29.007,13.226,13.058,5.609,6.499
United Kingdom,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,5,4.913,20.389,13.285,-2.958,27.001,15.302,15.576,6.176,7.18
United Kingdom,eCommerce,Revenue Change,Beverages,percent,Statista,,4.448,5.536,38.081,9.427,-1.365,28.56,16.381,15.952,6.936,7.784
United Kingdom,eCommerce,Revenue Change,Electronics,percent,Statista,,1.258,1.468,18.398,6.61,-17.279,31.083,8.049,7.55,4.128,4.524
United Kingdom,eCommerce,Revenue Change,Fashion,percent,Statista,,3.754,4.758,16.276,9.969,-4.773,23.936,11.898,11.376,5.509,6.211
United Kingdom,eCommerce,Revenue Change,Food,percent,Statista,,2.738,5.427,60.404,8.38,2.092,33.531,21.028,21.179,7.588,8.949
United Kingdom,eCommerce,Revenue Change,Furniture,percent,Statista,,1.829,3.174,17.005,1.24,-10.436,52.954,21.352,20.454,5.872,7.788
United Kingdom,eCommerce,Revenue Change,Media,percent,Statista,,3.398,5.845,33.015,11.49,-10.87,14.657,2.521,2.305,5.427,4.418
