Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ukraine,eCommerce,Revenue,Total,million USD (US$),Statista,"1,268","1,605","1,979","2,916","3,728","1,050","2,951","3,594","4,355","4,586","4,923"
Ukraine,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",million USD (US$),Statista,226.5,265.1,304,363.2,432.8,121.2,316,361.3,413.6,422.4,439.3
Ukraine,eCommerce,Revenue,Beverages,million USD (US$),Statista,25.24,35.53,49.82,112.8,151.7,43.26,114.1,136.3,163.8,172.4,184.3
Ukraine,eCommerce,Revenue,Electronics,million USD (US$),Statista,492.4,588.9,694.6,944.5,"1,120",293.8,866.9,"1,046","1,243","1,282","1,349"
Ukraine,eCommerce,Revenue,Fashion,million USD (US$),Statista,284,384.2,490.5,794.6,"1,006",284.2,769.2,930.6,"1,120","1,187","1,280"
Ukraine,eCommerce,Revenue,Food,million USD (US$),Statista,106.1,153.2,218.9,380.6,590.5,186.8,552.8,729.9,963.6,"1,052","1,174"
Ukraine,eCommerce,Revenue,Furniture,million USD (US$),Statista,46.23,53.98,62.95,76.56,95.03,24.14,73.93,87.76,102.8,104.8,108.8
Ukraine,eCommerce,Revenue,Media,million USD (US$),Statista,19.37,30.77,38.47,56.77,66.74,17.83,43.39,45.75,47.52,48.27,49.15
Ukraine,eCommerce,Revenue,"Toys, Hobby & DIY",million USD (US$),Statista,67.72,93.33,119.9,186.7,266.6,78.91,214.9,255.8,300.3,317.1,338.8
Ukraine,eCommerce,Revenue Change,Total,percent,Statista,,26.627,23.308,47.325,27.866,-71.833,181.031,21.762,21.181,5.313,7.347
Ukraine,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,17.024,14.684,19.472,19.149,-71.997,160.756,14.319,14.495,2.118,3.994
Ukraine,eCommerce,Revenue Change,Beverages,percent,Statista,,40.788,40.208,126.403,34.502,-71.484,163.777,19.459,20.134,5.268,6.902
Ukraine,eCommerce,Revenue Change,Electronics,percent,Statista,,19.612,17.935,35.986,18.532,-73.753,195.024,20.672,18.805,3.12,5.243
Ukraine,eCommerce,Revenue Change,Fashion,percent,Statista,,35.28,27.682,61.992,26.535,-71.734,170.632,20.991,20.376,5.999,7.813
Ukraine,eCommerce,Revenue Change,Food,percent,Statista,,44.432,42.865,73.881,55.12,-68.369,196,32.037,32.008,9.19,11.553
Ukraine,eCommerce,Revenue Change,Furniture,percent,Statista,,16.762,16.621,21.608,24.136,-74.597,206.229,18.716,17.14,1.9,3.821
Ukraine,eCommerce,Revenue Change,Media,percent,Statista,,58.854,25.031,47.578,17.565,-73.283,143.328,5.435,3.868,1.588,1.816
Ukraine,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,37.816,28.466,55.709,42.804,-70.402,172.361,19.006,17.421,5.576,6.862
Ukraine,eCommerce,Average Revenue per User,Total,USD (US$),Statista,119.4,125.8,126.9,168.4,196.8,51.58,136.6,159.6,185.9,189.6,198.2
Ukraine,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,50.68,49.11,48.79,51.93,56.15,14.3,34.66,37.55,40.98,39.94,39.91
Ukraine,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,10.73,12.41,14.72,28.88,34.17,8.713,20.94,23.38,26.39,26.06,26.35
