Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
United States,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,15.829,,,,,,
United States,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,24.575,,,,,,
United States,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,22.079,,,,,,
United States,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,19.635,,,,,,
United States,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.882,,,,,,
United States,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,50.584,,,,,,
United States,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,49.416,,,,,,
United States,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.509,,,,,,
United States,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.132,,,,,,
United States,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.36,,,,,,
United States,eCommerce,Revenue,Total,billion USD (US$),Statista,458.8,502.6,552.1,706.4,862.4,904.9,"1,111","1,281","1,479","1,581","1,703"
United States,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,38.95,44.53,51.11,65.91,87.44,94.72,113.4,129.8,148.5,160.1,173
United States,eCommerce,Revenue,Beverages,billion USD (US$),Statista,23.21,26.78,30.99,44.62,59.14,68.87,88.77,109.4,134.7,145.3,158.9
United States,eCommerce,Revenue,Electronics,billion USD (US$),Statista,87.57,95.15,103.3,120.1,137.6,126.5,150.1,160.5,170.8,178.1,185.6
United States,eCommerce,Revenue,Fashion,billion USD (US$),Statista,89.54,102,115.8,144.8,180.7,197.3,236.7,269.7,305,328,353.5
United States,eCommerce,Revenue,Food,billion USD (US$),Statista,19.49,22.31,25.53,35.41,41.52,56.78,85.33,121.7,172.2,185.8,207.2
