Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Vietnam,eCommerce,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,17.515,,,,,,
Vietnam,eCommerce,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,31.115,,,,,,
Vietnam,eCommerce,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.44,,,,,,
Vietnam,eCommerce,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,17.515,,,,,,
Vietnam,eCommerce,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,8.41,,,,,,
Vietnam,eCommerce,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,49.413,,,,,,
Vietnam,eCommerce,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,50.587,,,,,,
Vietnam,eCommerce,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,36.613,,,,,,
Vietnam,eCommerce,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,33.181,,,,,,
Vietnam,eCommerce,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,30.206,,,,,,
Vietnam,eCommerce,Revenue,Total,billion USD (US$),Statista,3.627,5.004,6.681,9.485,12.79,12.81,16.57,19.44,22.95,24.96,27.24
Vietnam,eCommerce,Revenue,"Beauty, Health, Personal & Household Care",billion USD (US$),Statista,0.364,0.494,0.653,0.876,1.138,1.206,1.505,1.772,2.11,2.309,2.536
Vietnam,eCommerce,Revenue,Beverages,billion USD (US$),Statista,0.073,0.105,0.145,0.211,0.317,0.334,0.414,0.486,0.578,0.631,0.692
Vietnam,eCommerce,Revenue,Electronics,billion USD (US$),Statista,1.385,1.929,2.593,3.703,4.803,4.516,6.036,7.055,8.272,8.873,9.562
Vietnam,eCommerce,Revenue,Fashion,billion USD (US$),Statista,0.568,0.782,1.047,1.523,2.123,2.231,2.746,3.176,3.699,4.07,4.471
Vietnam,eCommerce,Revenue,Food,billion USD (US$),Statista,0.132,0.184,0.245,0.431,0.803,0.955,1.328,1.733,2.277,2.519,2.827
Vietnam,eCommerce,Revenue,Furniture,billion USD (US$),Statista,0.541,0.753,1.011,1.284,1.65,1.546,2.112,2.494,2.947,3.226,3.544
Vietnam,eCommerce,Revenue,Media,billion USD (US$),Statista,0.111,0.133,0.156,0.217,0.247,0.241,0.267,0.273,0.277,0.286,0.293
Vietnam,eCommerce,Revenue,"Toys, Hobby & DIY",billion USD (US$),Statista,0.453,0.625,0.831,1.242,1.705,1.779,2.157,2.448,2.792,3.049,3.318
Vietnam,eCommerce,Revenue Change,Total,percent,Statista,,37.965,33.513,41.97,34.844,0.156,29.352,17.32,18.056,8.758,9.135
Vietnam,eCommerce,Revenue Change,"Beauty, Health, Personal & Household Care",percent,Statista,,35.685,32.106,34.089,29.968,5.975,24.793,17.741,19.074,9.431,9.831
Vietnam,eCommerce,Revenue Change,Beverages,percent,Statista,,43.896,38.227,45.241,50.665,5.358,23.99,17.226,18.872,9.262,9.65
Vietnam,eCommerce,Revenue Change,Electronics,percent,Statista,,39.278,34.422,42.808,29.706,-5.975,33.658,16.882,17.25,7.265,7.765
Vietnam,eCommerce,Revenue Change,Fashion,percent,Statista,,37.575,33.939,45.463,39.396,5.087,23.084,15.659,16.467,10.03,9.853
Vietnam,eCommerce,Revenue Change,Food,percent,Statista,,38.776,33.224,76.165,86.354,18.929,39.058,30.497,31.391,10.628,12.227
Vietnam,eCommerce,Revenue Change,Furniture,percent,Statista,,39.19,34.334,27.003,28.505,-6.303,36.611,18.087,18.164,9.467,9.857
Vietnam,eCommerce,Revenue Change,Media,percent,Statista,,19.964,17.169,39.589,13.766,-2.59,11.01,2.283,1.317,3.467,2.304
Vietnam,eCommerce,Revenue Change,"Toys, Hobby & DIY",percent,Statista,,37.781,32.96,49.53,37.279,4.34,21.248,13.491,14.052,9.205,8.823
Vietnam,eCommerce,Average Revenue per User,Total,USD (US$),Statista,138.1,146.1,168.6,208,246.9,222.3,263,290.6,323.7,333.5,347.3
Vietnam,eCommerce,Average Revenue per User,"Beauty, Health, Personal & Household Care",USD (US$),Statista,31.76,33.15,37.99,43.91,51.14,49.35,57.05,62.62,69.78,72.53,76.06
Vietnam,eCommerce,Average Revenue per User,Beverages,USD (US$),Statista,11.42,12.65,15.12,18.91,24.8,23.13,25.81,27.91,30.69,31.17,31.98
Vietnam,eCommerce,Average Revenue per User,Electronics,USD (US$),Statista,80.16,85.2,97.93,120.4,136.3,114.3,138.6,148,159.2,158.7,159.8
Vietnam,eCommerce,Average Revenue per User,Fashion,USD (US$),Statista,32.66,34.34,39.79,51.19,64.47,62.29,71.67,77.94,85.46,90.28,95.57
Vietnam,eCommerce,Average Revenue per User,Food,USD (US$),Statista,22.06,23.53,27.12,41.16,66.74,70.28,87.95,105.9,128.6,132.3,138.9
Vietnam,eCommerce,Average Revenue per User,Furniture,USD (US$),Statista,72.02,75.46,84.88,91.96,102.8,86.95,110,122.2,136,141.6,148.9
Vietnam,eCommerce,Average Revenue per User,Media,USD (US$),Statista,9.192,8.392,8.502,10.13,10.03,8.731,8.808,8.308,7.787,7.525,7.237
Vietnam,eCommerce,Average Revenue per User,"Toys, Hobby & DIY",USD (US$),Statista,34.25,35.8,40.48,51.54,60.49,55.01,59.49,61.72,64.61,64.98,65.63
Vietnam,eCommerce,Revenue Share Payment Types,Bank transfer,percent,Statista,25.616,25.49,26.678,27.533,28.272,28.88,29.306,29.705,30.103,,
Vietnam,eCommerce,Revenue Share Payment Types,Cards,percent,Statista,19.808,20.203,20.522,20.902,21.284,21.643,22.012,22.331,22.65,,
Vietnam,eCommerce,Revenue Share Payment Types,Cash on delivery,percent,Statista,35.763,35.587,33.561,31.696,29.961,28.451,27.174,26.026,24.878,,
Vietnam,eCommerce,Revenue Share Payment Types,Direct debits,percent,Statista,1.847,1.838,1.924,1.986,2.039,2.083,2.113,2.142,2.171,,
Vietnam,eCommerce,Revenue Share Payment Types,E-Invoice,percent,Statista,0,0,0,0,0,0,0,0,0,,
Vietnam,eCommerce,Revenue Share Payment Types,E-wallet,percent,Statista,11.112,11.057,11.543,11.962,12.363,12.732,13.092,13.408,13.723,,
Vietnam,eCommerce,Revenue Share Payment Types,Other,percent,Statista,5.853,5.824,5.772,5.921,6.081,6.211,6.303,6.389,6.474,,
Vietnam,eCommerce,Comparable Estimates - eCommerce (Southeast Asia),*Statista,billion USD (US$),,28.85,40.7,56.22,84.2,124.6,126.4,158.5,183.2,212.5,230.3,249.7
Vietnam,eCommerce,Comparable Estimates - eCommerce (Southeast Asia),"Google, Temasek and Bain & Company",billion USD (US$),,,,,74,120,,,,,,
Vietnam,eCommerce,Online & Offline Split,Offline,percent,Statista,97.08,96.209,95.257,93.714,91.931,91.328,90.537,89.575,88.408,,
Vietnam,eCommerce,Online & Offline Split,Online,percent,Statista,2.92,3.791,4.743,6.286,8.069,8.672,9.463,10.425,11.592,,
Vietnam,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,58.605,56.248,54.488,52.747,51.452,50.322,49.196,48.073,46.935,,
Vietnam,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,41.395,43.752,45.512,47.253,48.548,49.678,50.804,51.927,53.065,,
Vietnam,eCommerce,Users,Total,million users,Statista,26.269,34.241,39.627,45.603,51.779,57.62,62.992,66.88,70.901,74.848,78.441
Vietnam,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,11.47,14.908,17.189,19.942,22.245,24.439,26.371,28.295,30.237,31.828,33.34
Vietnam,eCommerce,Users,Beverages,million users,Statista,6.38,8.297,9.59,11.134,12.797,14.451,16.058,17.409,18.823,20.249,21.635
Vietnam,eCommerce,Users,Electronics,million users,Statista,17.276,22.641,26.482,30.744,35.24,39.495,43.545,47.659,51.966,55.903,59.828
Vietnam,eCommerce,Users,Fashion,million users,Statista,17.398,22.762,26.321,29.747,32.934,35.819,38.316,40.757,43.28,45.082,46.779
Vietnam,eCommerce,Users,Food,million users,Statista,5.999,7.801,9.018,10.469,12.033,13.589,15.099,16.37,17.699,19.04,20.343
Vietnam,eCommerce,Users,Furniture,million users,Statista,7.507,9.974,11.913,13.959,16.044,17.78,19.197,20.412,21.669,22.792,23.811
Vietnam,eCommerce,Users,Media,million users,Statista,12.042,15.828,18.295,21.438,24.638,27.564,30.34,32.892,35.564,38.067,40.498
Vietnam,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,13.239,17.451,20.516,24.096,28.183,32.346,36.265,39.66,43.218,46.918,50.557
Vietnam,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,12.124,15.603,17.819,20.487,22.66,24.698,26.451,28.178,29.906,31.271,32.551
Vietnam,eCommerce,Penetration Rate,Beverages,percent,Statista,6.745,8.684,9.942,11.439,13.035,14.604,16.107,17.337,18.617,19.896,21.123
Vietnam,eCommerce,Penetration Rate,eCommerce,percent,Statista,27.768,35.838,41.08,46.85,52.745,58.229,63.182,66.605,70.125,73.54,76.583
Vietnam,eCommerce,Penetration Rate,Electronics,percent,Statista,18.262,23.697,27.454,31.584,35.897,39.913,43.677,47.463,51.398,54.926,58.411
Vietnam,eCommerce,Penetration Rate,Fashion,percent,Statista,18.391,23.824,27.286,30.56,33.548,36.198,38.432,40.589,42.806,44.294,45.671
Vietnam,eCommerce,Penetration Rate,Food,percent,Statista,6.342,8.165,9.348,10.756,12.257,13.732,15.145,16.302,17.505,18.708,19.862
Vietnam,eCommerce,Penetration Rate,Furniture,percent,Statista,7.935,10.439,12.35,14.341,16.343,17.968,19.255,20.328,21.432,22.394,23.247
Vietnam,eCommerce,Penetration Rate,Media,percent,Statista,12.73,16.566,18.967,22.024,25.098,27.856,30.432,32.756,35.174,37.402,39.539
Vietnam,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,13.995,18.264,21.269,24.755,28.709,32.688,36.375,39.496,42.744,46.099,49.36
Vietnam,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,18.036,,,,,,
Vietnam,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,32.321,,,,,,
Vietnam,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.75,,,,,,
Vietnam,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,16.429,,,,,,
Vietnam,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,9.46,,,,,,
Vietnam,Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,44.643,,,,,,
Vietnam,Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,55.357,,,,,,
Vietnam,Electronics,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,37.759,,,,,,
Vietnam,Electronics,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,30.29,,,,,,
Vietnam,Electronics,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.95,,,,,,
Vietnam,Electronics,Revenue,Total,billion USD (US$),Statista,1.385,1.929,2.593,3.703,4.803,4.516,6.036,7.055,8.272,8.873,9.562
Vietnam,Electronics,Revenue,Consumer Electronics,billion USD (US$),Statista,1.233,1.726,2.33,3.345,4.282,3.931,5.264,6.098,7.077,7.56,8.105
